Cooler Classic 33,Club - Men ,20,8,2022
Hartland,WI,2022-08-20,2022-08-21
https://play.usaultimate.org/events/Cooler-Classic-33/schedule/Men/Club-Men/
Kansas City Smokestack,1
0,Everett Arruda
01,Stephen Karst
04,Gabriel Valencia
06,John Aucar
07,Darien Parr
10,Brock Hicks
11,Tim Robbins
13,Colin Iglehart
15,Mark Stedem
17,Michael Montesano
19,Branden Schneider
22,Eugene Wentworth
24,Cameron Hunter
25,Anthony Chartier
26,Luke Grieger
28,Andrew Curry
29,Spencer Roberts
33,Karl Kraemer
34,Sam Habel
44,Benton Habel
59,Jordan Becquer
74,Ethan Knobloch
88,Matthew Price
97,Aaron Johnson
98,Matthew Beers
99,Jonah Larsen
b,r,e,a,k
DeMo,2
0,Brad McKeen
0,Brett DeHoogh
0,Brian Goode
0,Camden Boyde
0,Carter Genrick
0,Cody Sevcik
0,Curtis Nuzback
0,Jacob Thomae
0,Jaden Alamsya
0,Joseph Kosterman
0,Justin  Hua
0,Matt Adams
0,Michael Grant
0,Niko Beauchamp
0,Piers Collier
0,Devon Lord
0,Evan Ford
0,Hunter May
0,Andrew McCartan
0,Austin DeHoogh
0,Tim Scarrow
0,Timothy Swanson
10,Robert Mitchell McCarthy
11,Ben Ransom
20,Huynh Vo
71,Dayton Wright
b,r,e,a,k
Knights of Ni,4
 ,Joe M Rogers
 ,Sam Resnick
0,Samuel Bumsted
0,Samuel Fronek
0,Justin Wollin
0,Matthew Racky
0,Max Wolpert
0,Max Seffren
0,Michael Sauer
0,Nick  Snyder
0,Patrick La Course
0,Andrew Dornbush
0,Ashton Robinson
0,Beau Finley 
0,Benjamin Rubin
0,Bif Reiser
0,Brendan Gessner
0,Brian LaFrance
0,Dan Scal
0,Grayson Pangburn
0,Jakob Yedo
0,Jason Finkelstein
0,Joe Simonelli
b,r,e,a,k
Scythe,3
 ,Daniel Forsyth
 ,Grant Maynard
 ,Sean Rock
 ,Tyler Roberts
0,William Schmitt
0,Travis Pratt
0,Tristan Kelly
0,Nich Rush
0,Gavin Helligso
0,Isaiah  Moore
0,Derek Vallis
0,Aaron Bowles
0,Cayle Jones
0,Chas Busch
13,Ben Melcher
14,Michael Kovash
19,Stewart Buckley
20,Josh Kryzer
26,David Forsyth
34,Joshua Adams
44,Timothy Hoarty
51,Dominic Vavala
62,Blake Krapfl
b,r,e,a,k
Cryptic,5
0,Oliver Bostian
01,Jacob Arnold
02,Daniel Neese
04,Duncan Shay
06,Joshua  Vierke
07,Trevor Diederichs
10,Nathan Bielecki
12,David Lopez
14,Cole Davis
18,Avery Bandstra
19,Michael (Max) Vinyon
21,Ben Masterson
22,Kyle Lavrisa
23,Nick Schoon
24,Jason Chen
25,Chase Everett
27,Lucas Boyle
30,Nolan Cochran
33,Ian Taylor
34,Zach Frevert
36,Ryan Moore
52,Eric  Clifton
63,Gage Sears
91,Thomas Helm
b,r,e,a,k
MKE,12
 ,Connor Wozniak
 ,Damon Woodward
 ,Elliot Shager
 ,Elliott Blackburn
 ,Eric Koo
 ,Francis Nuguid
 ,Gunnar Thompson
 ,Jason Moens
 ,Alex Martinich
 ,Nicholas Becker
 ,Patrick Guarasci
 ,Reid Lancaster
 ,Ryan Waller
0,Steven Wagner
0,Zach Thompson
0,Peter Kuenzle
0,Blair Weber
0,Bryan Geenen
0,Jordan Liff
0,Joseph Branca
0,Kyle Gasiorowicz
0,Jack Drolen
0,Jackson McCausland
0,David Castillo
0,Elias Magallanes Jr.
b,r,e,a,k
Enigma,13
 ,Gabriel Cabrera
 ,Jarod Garel
 ,Landon Hunter
0,Avery Moeller
0,Daniel MacManus
0,David Collins
0,Nathan Ploeger
0,Nathanael Olander
0,Sean Shields
0,Taylor Chatfield
0,Tobiah Weyer
10,Riley Ulmer
24,Andrew Greenfield
33,Andrew Fassler
82,Markus Ernst
b,r,e,a,k
Rubicon Rapids,20
03,Hannah Frede
08,Jeremiah Cantrall
09,Brian Peller
10,Joel Van Eeckhout
13,Tim Pietz
15,Daniel Pietz
16,Jake Tee
17,Spencer Pischke
18,Samuel Pietz
23,Caleb Gamble
30,Stephen Cantrall
31,Caleb Hummel
32,Isaac Gamble
35,Eli Baumann
42,Joshua Hummel
88,Dan Hummel
99,Lucas Frede
b,r,e,a,k
HouSE,14
 ,Blake Kiefner
 ,David Ashmore
 ,Nick Lilla
0,Nick Waring
0,Taylor Zorn
0,Theodore Reimer
0,Tim Pecharich
0,TIM KULIGOSKI
0,Zachary Kozmer
0,Curtis Knaack
0,Benjamin Koh
0,Jack Dipaolo
0,Jimmy Chaudoin
0,Junior Zambrano
0,Justin Rummelhart
0,Kyle Baker
0,Luke Ehlert
0,Matthew Rodway
0,Nicholas Dunn
12,David Zickus
15,Ryan O'Reilly
16,Benjamin Tompkins
20,Brett Robinson
22,Jacob Stock
23,Glenn Kaboskey
34,Justin Brockmann
b,r,e,a,k
Nain Rouge,6
 ,Aidan Vogel
 ,Chris Walsh
 ,Esau Gotlieb
 ,Francisco Sara
 ,Joshua Bolt
 ,Liam Scobey-Polacheck
 ,Matthew Bell
 ,Spencer Weiss
 ,Zach Jaromin
 ,Zach Wanger
0,Tyler Mitchuson
0,Rees McDevitt
0,Ryan Yergin
0,Kenneth Debacker
0,Jeffrey Gao
0,David Innis
0,Erik Huemiller
0,Alex Barber
b,r,e,a,k
Timber,19
 ,Aaron Lichtenwalner 
 ,Anthony Moore
 ,Brian Ristau
 ,Logan Mueller
 ,Mark Pollard
0,Avery Diederich
0,Christopher Mills
0,Derek McCaslin
0,Isaac  Shimek
0,Joshua Van Abel
0,Kirk Prince
0,Kristen Adams
12,Chad Heldt
13,Cory Ladwig
15,Daniel Rowan
16,Tate Klauck
23,Ryan Zdroik
37,Matthew Krause
45,Thomas Mattimiro
69,Logan Roy
