Southwest D-I College Men's Regionals,College - Men ,8,5,2022
Davis,CA,2022-05-07,2022-05-08
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2022/schedule/Men/CollegeMen/
Cal Poly-SLO,1
 ,Matt Miller
0,Peter Lenz
0,Rafael Castillo
0,James Whealan
0,Joseph Thachet
0,Keaton Orser
0,Alex Nelson
0,Anton Orme
0,Bailey Prochaska
0,Carson Crouch
0,Charles Camilli
0,Dodger Middlebrook
0,Emmet Holton
0,Evan Stock
0,Garrett Bush
0,Kyle Lew
0,Leo Lauritzen
0,Sander Fogarty
0,Seamus Robinson
0,Zach Riley
23,Jake Thorne
27,Kenrick Koo
31,Samuel Wedegaertner
42,Keaton Bates
81,Calvin Brown
b,r,e,a,k
California,2
0,Gavin May
01,Julian Baxandall
02,Hiro Schmidt
04,Samuel Laur
05,Robert McCabe
06,Kushal Khangaonkar
07,Zachary Fletcher
08,Drew Palmer
09,Evan Kandell
12,Brendan White
13,Emery Goulet
14,Dexter Clyburn
16,Andrew Roy
20,Owen Zuidema
28,Donovan Mierlak
29,Vincent Su
32,Evan Magsig
33,Lucas Intagliata
69,Camden Mah
87,Max Williams
88,Nathaniel Burrill
97,Eric Johnson
99,Vikram Deepak
b,r,e,a,k
California-Santa Cruz,5
0,Aaron Mercado
0,Aidan Curry
0,Aidin Terris
0,Andrew Grosso
0,Benjamin Pratt
0,Blake Sanchez
0,David Sanchez Venegas
0,Davin Sieu
0,Devin Acuna
0,Dylan Burns
0,Elijah Gibbs
0,Ethan Kleinman
0,Graham Freifeld
0,Jaxon Davrill
0,Justin Cheng
0,Kien Warren
0,Liam Jay
0,Louis Loduha
0,Mario Ambrose
0,Matan Maoz
0,Milo Kagiwada
0,Nathan Johnson
0,Noah Chang-Linenberg
0,Ryan Liu
0,Samuel Kaplan
0,Tate Pieper
0,William Snyder
0,Xaul  Starr
0,Zack Renick
b,r,e,a,k
UCLA,3
0,Akhil Nori
0,Bryan  Cloutier
0,Calvin Bird
0,Cameron Gray
0,Daniel Lin
0,Drew Letvin
0,Edouardo Honig
0,Ian Geertsen
0,Jackson Jewett
0,Jakob Kinoy
0,Ka Lok Ethan Lau
0,Louis Gosart
0,Luca Spycher
0,Marshall Wildmann
0,Matthew Barcellos
0,Meelan Shari
0,Michael Tao
0,Reilly Berberian
0,Riley Kirkman-Davis
0,Sam Hirschhorn
0,Varun Patro
0,Zack  Hirschhorn
b,r,e,a,k
California-Santa Barbara,8
 ,Andras Zolyomi
 ,Christian Van Stralen
 ,Colin Baylis
 ,Everett Grass
 ,Max Combs
 ,Ryan Ridenour
0,Derek Rojas
0,Austin Covey
10,Daniel Hwang
11,Brendan McGuinness
12,Dosym Kunhardt
13,Ralph Martini
14,Maxwell Fong
15,Leo Ford
16,Xavier Prochaska
19,Liam Ereneta
21,Jason Zeidman
22,Logan Rogers
23,Grayson Arensdorf
23,Ian Ilgenfritz
24,Austin Thornburgh
26,Rowan King
27,Ryan Barry
31,Jackson Hill
32,Ryan Oswalt
55,Christian Go
57,Ricky Brokaw
77,Charlie Rous
81,Rhys Gretsch
99,Travers Tobis
b,r,e,a,k
Stanford,4
0,Ammar Alinur
0,Angel Ortiz
0,Anthony Chen
0,Ari Webb
0,Aristotle Marangu
0,Baker Sharp
0,Cameron Kilpatrick
0,Charles Shi
0,Charlie Shors
0,Colin Grant
0,Guillermo Wenrich
0,Isandro Malik
0,James Reed
0,Jerred Smith
0,John Kulikowski
0,Jonathan Victorino
