TCT Pro-Elite Challenge (Colorado Cup) 2022,Club - Mixed ,9,7,2022
Aurora,CO,2022-07-09,2022-07-10
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-Colorado-Cup-2022/schedule/Mixed/Club-Mixed
BFG,1
 ,David Zhou
 ,Jennifer Ricaurte
 ,Kimberly Schlesinger
 ,Mario O'Brien
 ,Reid Koss
0,Martin Le
0,Corbin Atack
0,Emily  Cai
0,Jack Verzuh
0,Jason Yun
0,Andrew Hagen
11,Austin Barden
12,Kaitlynne Roling
14,Mohammud Tilmo
15,Eliana Moskovitz
17,Thomas Li
18,Conor Belfield
23,Linnea Soo
24,Cheryl Hsu
25,Tommy Lin
28,Leah Bar-On Simmons
30,Sarah Benditt
32,Alissa Soo
62,Karen Hill
66,Sam Pickel
88,Linh Hoang
b,r,e,a,k
Kansas City United,12
 ,Drew Taylor
 ,Jessica Tiller
0,Joe Young
0,Joe Wheelock
0,Jordan Eissner
0,Nadine Rowen
0,Patrick Abeli
0,Peter (PJ) Matulka
0,Ryan Tuschhoff
0,"Sam ""Suds"" Ward"
0,Sowmya Ragothaman
0,Spencer Patterson
0,Stephanie Rupp
0,Taylor Hession
0,Taylor Cauthon
0,Thomas Schreiber
0,Eliza Hutchings
0,Janani Ragothaman
0,Jeffrey Rehm
0,Allen Jones
0,Brett Hidaka
0,Caitlin Lisk
0,Christian Simpson
0,Clare Frantz
0,Courtney Walbe
b,r,e,a,k
shame.,8
 ,Ashley Daly Morgan
 ,Kelcie Glick
0,Kevin Johnson
0,Kyra Khoroujnikova
0,Ethan Peck
0,Helen Eifert
0,Jacob Juszak
0,Casey Wu
0,David Wiseman
0,Megan Maxfield
0,Owen Westbrook
0,Sam Goldstein
14,Jade McLaughlin
15,Spencer Tibbs
20,C Ryan Morgan
22,Elizabeth Murphy
23,Peter Raines
25,Marilyn Reich
27,Chris Gauen
33,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
52,Nicholas Snuszka
56,Danielle Love
88,Kasey Anderson
97,Sarah Pesch
b,r,e,a,k
Minnesota Star Power,13
0,Robin Fassett-Carman
02,Michelle Christy
06,Allyson Fenton
07,Neal Johnson
08,Kevin Ruda
10,Tristan Grovender
11,Rachel Thompson
12,Erin McFadden
14,Brennan Johnson
16,Lisa Barnes
18,Audra Bialik
19,Henry Mans
20,Kajsa Beatty
21,Tyler Mahony
28,Nick Heid
29,Kelsey Peterson
31,Bradley Malmsten
34,Jack Povilaitis
42,Lena Nyblade
44,Chuck  Dudek
45,Tracie Anderson
62,Rebecca Kline
63,Alex Kraft
88,Joey Tillman
97,Steven Anderson
99,Kelsey Mueller
b,r,e,a,k
Polar Bears,7
 ,Aaron Shi
 ,Qingyun Lu
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
07,Charles Cao
11,Carolyn Drewry
12,Ziyue Chen
13,Robert Yeagle
14,Jason Shnipes
16,Vincenzo Vitiello
17,Margot Stert
18,Nicholas Alexander
19,Alexander Pan
20,Maddy Fisher
22,Andrew Ouyang
24,Jesse Song
29,Dulcy Docken
32,Margo Donahue
33,Anna MacNaughton
35,Piers MacNaughton
36,Sara Nolan
40,Mac Taylor
72,Devin Drewry
90,Saul Wildavsky
97,Ryan Hoffman
b,r,e,a,k
Flight Club,14
 ,Alex Flamm
 ,Ciaran Shaughnessy
 ,Holly Lin
 ,John Stavinga
 ,Michael Armstrong
0,Nicholas Wetzel
0,Noel Brennan
0,Scott Harper
0,Thomas Echols
0,Will Sweeney
0,Jordan Rainwater
0,Emma Price
0,Lucia Wei
