2023 Mid-Atlantic Mixed Regional Championship,Club - Mixed ,30,9,2023
Frederica,DE,2023-09-30,2023-10-01
https://play.usaultimate.org/events/2023-Mid-Atlantic-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
AMP,1
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,Patrick Sherlock,Andrea Desabato
01,Delrico Johnson
02,Sam Grossberg
03,Rachel Alfano
04,Raha Mozaffari
05,Lindsay McKenna
06,Thomas Nye
08,Jordan Rhyne
10,Spencer DeRoos
13,Eric Witmer
15,Layne Dodge
16,Grace Maroon
18,Sumi Onoe
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
27,Luke Greenley
34,Olivia Steinberg
36,Adilina Malave
44,Max Charles
53,Will Helenski
54,Henry Ing
55,Michael Campanella
70,Jake Butrica
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
HVAC,8
teamInfo,,"Washington DC, District of Columbia",,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
0,Carolyn Fante
0,Carolyn Ng
0,Clara Honigberg
0,Emily Askew
0,Grace Laudeman
0,Harrison Wolfson
0,Izolina Travers
0,Josh Levin
0,Karen Shim
0,Kyle Williamson
0,Olivia Arellano
0,Patrick Kenney
0,Shannon Sullivan
0,Travis Lynch
5,Cody Smith
10,Lydia Schaar
13,Austin Pelli
17,Landrum Beard 
17,Stephen Ng
27,Tyler Coleman
33,Julianna Gohman
34,Austin Alvarado
51,Alexander Daley
57,Eleanor  Heil
81,Ben Frattini
95,Maggie Graves
b,r,e,a,k
Legion,10
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
0,Asha Gillette
0,Caleb Weldy
0,Katherine Clark
0,Krista Habermas
0,Matthew Glasgow
0,McKenzie Ross
0,Stacy Gardner
0,Walter Lewis
1,Rupert Armentrout
2,Kevin Habermas
3,Ashley Mast
8,Shawn Messick
12,Jonathan Mast
14,Andrew Lewis
24,Victoria Dissmore
25,Elizabeth Ware
32,Jenna Bibby
34,Benjamin Barnett
37,Brandon Lison
77,Matthew Sutherland
82,Hannah VerasAlba
87,Austin Heston
b,r,e,a,k
Rally,2
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/DCRallyUltimate,https://twitter.com/RallyUltimate
1,Zachary Norrbom
2,Katina Russell
3,Franklin Ahrens
4,Ellen Mueller
5,Graham Turner
6,Thomas Piper
8,Kristin Franke
10,Jonathan McRae
12,Eva Turner
15,Emma Colavincenzo
18,Margaret Pendleton
19,Noah Newberger
20,Stephanie Piperno
21,Jin-Mi Matsunaga
23,Sami Smalling
24,Anthony McLean
27,Rebecca Driver
28,Claire Lee
30,Jake Kovalic
33,Olivia Monroe
42,Ben Sadis
54,Genevieve Leo
55,Gabriel Webster
56,Jimmy Clarke
80,Xavier Maxstadt
99,Alan Kolick
b,r,e,a,k
Revival,7
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RevivalFlatball,
0,Jameson Hinkle
1,Griffin Schutte
3,Kate Marston
4,Mimi Tran
6,Rebekah Forrer
7,Catherine Grossman
10,Matthew Reynolds
11,Skye Whitlow
12,Tyler Davis
13,Keys Pattie
16,Donald Clark
17,Cullen Monahan
18,Brittany Taylor
21,Akram Abudheer
22,Mary Molly Rowland
24,Tim Jackson
25,Crystal Lowery
29,Rachel Shannon
31,Hannah Elledge
33,Sam Bean
38,Ariel Vogel
48,Benjamin Broser
59,Laura  Cataño Silva
64,Victoria Davis
87,Griffin Lang
89,Nicholas Gigliotti
b,r,e,a,k
Farm Show,9
teamInfo,,"Harrisburg, Pennsylvania",,https://www.facebook.com/farmshowulti,
0,Brianna Smith
0,Brittney Brown
0,Elizabeth Burke
0,Emily Higley
0,Hunter Weibley
0,Jake Ritchey
0,Jordan Winey
0,Kerianne Durkin
0,Kristen Dietrick
0,Spencer Whitcomb
0,Zachary McIntire
4,Nicole Singiser
6,Jordan Roof
7,Bradley Dussinger
11,Justus Sturtevant
15,Rebecca Holmes
15,Christopher Man
16,Jennifer Dai
18,Seth Canetti
19,Theresa Diffendal
22,Evan Novacek
28,Andrew Clancy
30,Jadin Stoffel
32,Zack Hunsberger
55,Timothy Brubaker
78,Keith Zuckerman
b,r,e,a,k
Loco,3
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/wcmixed/,https://twitter.com/loco_ultimate
0,Alison Joyce
0,Brandon Pastor
0,Jack Steketee
0,Jackie Weiss
0,Janet  Ro
0,Elena Lopez
0,Emily Smulowitz
0,Kristin Thomas
0,Leo Warren
0,Sabrina Bonaci
0,Sarah Roberts
0,Shawn Dacey
6,Victoria Wischerth
6,Jessica Brand
10,Belle Sullivan
10,Ryan Dealy
12,Justin Keller
14,Joshua Norton
21,Becklin Davis
21,Regina Esser
36,Ethan Holmgren
37,Max Trifillis
69,Steven Broome
84,Matt Lubitz
85,Chase Rawlins
91,Kenneth Wells
b,r,e,a,k
Greater Baltimore Anthem,6
teamInfo,,"Baltimore, Maryland",,,https://twitter.com/AnthemUltimate/status/1617652961299279872?s=20&t=gFOPhZpWzglqQWxTQUxcTA
coaches,Andrew Creighton,Anya Lagasse
0,Nate Harnish
01,Francesca Corna
03,Jessika Turner-Sears
04,Collin Stokes
05,Jack Engle
06,Molly Fisher
08,Grant Kern
10,Elias White
11,Mitchell Lauer
12,Destiny Lim
18,Stacy Lu
19,Kyle Morgan
21,Claudia Wang
22,Julia Richardson
23,Kelly Simons
24,Simeon Lee
25,Ian Piper
26,Annette Kukunas
28,Tjia Ern Lau
37,Scott Wheeler
44,Stephanie Coward
52,Aaron Collins
72,Justin Creighton
73,Mark Flores
86,Justin Solis
88,Selina Cheng
b,r,e,a,k
PS,13
teamInfo,,"Allentown, Pennsylvania",,https://www.facebook.com/peepshowultimate/?ref=bookmarks,
0,Beth Hooks
0,Catherine Spellman
0,Emily Polefka
0,Aaron Mos
0,Abigail Vogel
0,Jennifer Fiore
0,Kaitlin Watts
0,Karen Hranek
0,Kevin Liu
0,Kimberly Polefka
0,Matthew Foley
0,Matthew Congdon
0,Matthew Mos
0,Luke Laubscher
0,Samuel DeVine
0,Timothy East
0,Zachary Sizemore
1,Steven Parker
6,Liam Allen
14,Seval Kanik
34,Emily Parker
45,Jordan Chang
52,Alyson Brokaw
57,Nick Wilgruber
60,Emma Brinton
69,Man Nguyen
b,r,e,a,k
ColorBomb,12
teamInfo,,"Philadelphia, Pennsylvania",https://www.colorbombulti.com/home,,https://twitter.com/ColorBombUlti
coaches,Jy Francis,Eli Steiker-Ginzberg
0,Brandon Daniel-Morales
0,Keshav Patel
0,Ryan Jin
01,Ava Paulson
03,Jeremy Eland
04,Chor In Lam
07,Angelina Ngo
09,Jason Hawkins
10,Linda Liu
11,Diana Huang
16,Jy Francis
18,Eli Steiker-Ginzberg
19,Lauren Sitlinger
22,Bethany Eldridge
23,Moriah Kam
24,Imani Holness
25,Nate Little
32,Erica Brown
33,Tyler Dickinson
44,Grace Christensen
58,Simon Covington
71,Saamir Baker
90,Rona Liu-Zhong
95,Sarah Rowley
95,Danny Le
99,Jacob Prunes
b,r,e,a,k
Jughandle,5
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
0,Robert Altieri
01,Jessep Macfarlane
02,Maya Karl
04,Kaitlyn Dermen
07,Thomas Johnson
08,Jeff Shipkin
09,Ryan Lee
11,Jonathan Casey
13,Andrés Rodríguez Hernández
14,Colin Cahill
18,Ayaaz Versi
19,Rachel Tigol
20,Rebecca Casey
25,Laine Cravotta
27,Cara Silvestri
33,Jana Graham
43,Marissa Coolidge
45,Dean  Klimek
58,Santiago Oliveros Vidal
69,Joshua Simpson
70,Benish Benjamin
76,Sean Allan
78,Emma Ignaszewski
81,Eitan Gerstle
97,Kelly Skewis
99,Elena Adams
b,r,e,a,k
Pittsburgh Port Authority,4
teamInfo,,"Pittsburgh, Pennsylvania",https://tinyurl.com/xteamvalues,,https://twitter.com/portauth0rity
0,Ben Banyas
0,Benjamin Attal
0,CAROLINE NOFZINGER
0,Dylan Best
0,Henry Zou
0,Isaac Smith
0,Jacob Christian
0,Jenna Nold
0,Katy Holt
0,Lauren McFaden
0,Michaela Cushing-Daniels
0,Patrick McMullen
0,Rachel Swindell
0,Taylor Conroy
2,Jessie Sun
7,Katie Schreiber
8,Vivian Shen
9,Victoria Chen
11,Owen Watt
11,Harry Park
12,Nicole Fiorentino
17,Kimaya Hayes
18,Jed Farber
24,Alexander Thomas
52,Ellis Baehr
95,Siddharth Yende
b,r,e,a,k
Brackish,11
teamInfo,,"Hampton, Virginia",,https://www.facebook.com/BrackishUlti/,@BrackishUlti
0,Tim Slade
01,Ben Slade
02,Michael Wong
03,Shawna Zielstorff
05,Jared Schwallie
07,Taylor Brooks
08,James Godwin
11,Danny Wilson
12,Elizabeth Bradley
17,Krista Bueno
20,Torin Porter
21,Margaret (Peggy) Whitney
22,Matthew Taleghani
26,Paolo Yalung
32,Maggie Lincoln
36,Christophe Snead
