2023 USA Ultimate Masters Championships,Masters - Mixed ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Mixed/Masters-Mixed/
Atlanta Fawkes,7
teamInfo,,"Atlanta, Georgia",,,
00,Aileen Thomas
00,Anh Spinks
00,Bryan Sansbury
00,Byron Liu
00,Caroline Taylor
00,Cate Boezi
00,Chad Borer
00,Christo Ferguson
00,Cori Bradham
00,Dana Bidot
00,Jakeem Polk
00,Joseph Oaks
00,Katherine Smith
00,Katie Gainer
00,Kelvin Williams
00,Matthew Hardman
00,Meeri Chang
00,Merideth Byl
00,Michael Venezia
00,Nick Spiva
00,Paige Carver
00,Sam Gainer
00,Samantha Hill
00,Stacie Coleman
00,Taylor Hide
00,Timothy Brady
00,William Carmichael
b,r,e,a,k
SOS,1
teamInfo,,"Seattle, Washington",,,
01,Colin Clauset
02,Christopher Vandervoort
03,Iris Lippert
05,Julia James
06,Claudia Vasquez
08,Luke Jesperson
10,Katherine Speck
11,Lindsey Miller
15,Cameron Hunter
18,Anna Chute
19,Meagan Brown
21,Alex Fussell
22,Edward Harmoush
23,Todd Sliva
26,Andi Coleman
27,Tom Crawford
28,Kimberly Schlesinger
30,Sarah Benditt
32,Daniel Walton
33,Cody Rebholz
36,Alyssa Kelly
40,Ky Lewis IV
51,Isaac Entz
55,Lindsay Simon
64,Ezra Schiff
79,Bryan Bernard
99,Kyle Terriere
b,r,e,a,k
Hey Babe,10
teamInfo,,"Minneapolis, Minnesota",,,
7,Tom Bassett
00,Vu Nguyen
00,Daniel Schultz
00,Erik Bredesen
00,Jessie Lambert
00,Kristina Golling
00,Megan Asturias
00,Michael Swain
00,Patrick Jensen
00,Patrick Cashman
00,Roberto Caballero Jr
00,Sam Pepe
09,Tyler McKean
10,Alex Kensgaard
11,Alyson Gagner
12,Michael Tschida
16,Lindsay Trosvig
17,Mikhail Golben
19,Brian Larson
26,Alex (Wei Yuh) Chang
31,Anna Shanedling
38,Aly Fassett-Carman
48,Brenna Sund
78,Jeremy Keiser
b,r,e,a,k
Beached Whales,16
teamInfo,,"Boston, Massachusetts",,,
00,Adam Johnston
00,Amana Vander-Heyden
00,Andrew Applegate
00,Ashton Wollett
00,Cici Wang
00,Dang Khoa DuBay-Dang
00,Ian Darling
00,Jared Jandreau
00,Jessica Jandreau
00,John Sullivan
00,Jonathan Kinsky
00,Kylie Thibodeau-Harvey
00,Lewis Seton
00,Lillian Huang
00,Mark Lessard
00,Mary Matthews
00,Meredith Duffy
00,Nathan Buck
00,Niki Lesniak
00,Paul Rees II
00,Scott Stailing
b,r,e,a,k
Cool Biz,8
teamInfo,,"Oakland, California",,,
00,Adam Farren
00,Andrew Hooker
00,Barrs Lang
00,COLYN FLYNN
00,Corey Lee
00,Deanna Bjorkquist
00,Devin Drewry
00,Iris Leung
00,James Pollard
00,James Sheridan
00,Kate Schlag
00,Matthew Crawford
