Filling the Void 2023,Club - Men ,22,7,2023
Wingate,NC,2023-07-22,2023-07-23
https://play.usaultimate.org/events/Filling-the-Void-2023/schedule/Men/Club-Men/
baNC,1
teamInfo,,"Charlotte, North Carolina",,,
0,Alex Ballentine
0,Ben Simmons
0,Brian Trowbridge
0,Jason Chung
0,Kevin Mateer
0,Kevin Zhang
0,Michael Sweeney
0,Nick Talone
0,Ransome Martin
0,Samuel Lee
0,Tejas Sivarajakumar
1,Hunter Frederick
2,Jerrel Bushel
3,Colin White
3,Diego Collazo
4,Wesley Dudas
9,Frederick Hennighausen
21,Erik Messina
22,Jack Simmons
29,Mason Cary
42,Oliver Vickers Batzdorf
51,Damian Delgado
59,Thomas Yoxsimer
69,Bryce Markel
88,Christopher Saacks
92,John Colyer
b,r,e,a,k
Triumph,4
teamInfo,,"Raleigh, North Carolina",https://forms.gle/V7pmwbz4Ht1PoyfJ6,,
00,Daniel West
00,James Carter
00,Michael Carter
02,Kyle Davis
03,Michael Paniagua
05,Quinlan Collier
06,Robert Scott-Williams
11,Josh Louie
12,Brandon Cousar
17,Zach Bradshaw
18,Ryan Norris
19,Ethan Bolthouse
22,Andrew Clegg
24,Evan McGinn
25,Daniel Huggins
29,Mitchell O'Connor
32,Christopher Heim
34,Jason Zwierzynski
41,Michael Wetzel
42,Abhishek Komandur
45,Rees Braam
69,Stefan Isaza
87,Benj Thomsen
99,Dillon Lesniak
b,r,e,a,k
Power Point Ultimate,9
teamInfo,,"Augusta, Georgia",,,
0,Aeden Cummings
02,Alex Moses
03,DANTE TOLLEFSON
07,Adelius Johnson
13,Nathan Massey
13,Samuel Acevedo
14,Cristobal Ibanez
17,Max Williams
20,Simon Austin
24,Patrick Thompson
31,Cayman Bickerstaff
34,Taylor  Austin 
36,Kaden Wittig
42,Jaxon Turner
44,Jude Crandell
68,Aaron Tafoya
b,r,e,a,k
Space Cowboys,5
teamInfo,,"Greenville, South Carolina",,https://www.facebook.com/groups/spacecowboysultimate/,https://twitter.com/SpaceCowboysUlt
0,J Seymour
1,Andrew Wetzel
2,Logan McMillen
3,Andrew Allen
4,Ryland Bristow
5,Ian Stone
6,Ethan Phillips
8,Jonathan Brennan
9,Thomas Loar
10,Chris Dwight
13,Jacob Luksik
15,Matt Green
18,Jake Barton
19,Kenneth Peters
21,David Wingo
22,Caleb  Gunter
24,Lucas Skidmore
27,Jacob Goyne
29,Cameron Ramsey
31,Tucker McMillen
39,MICHAEL PREUS
44,James Lowell
68,Zac Patterson
79,Patrick Fossing
88,BLAKE HUFFMAN
99,michael hayes
b,r,e,a,k
Stag,8
teamInfo,,"Tampa, Florida",,,https://twitter.com/tampastagparty
0,Mohammed Judeh
0,Ryan Thomas
0,Scott DeLuca
0,Thomas Kiefer
0,Tri Do
1,Christopher Pitillo
9,Dario Milano
10,David Peterson
11,Dustin McKee
14,Keagan Gustin
22,Richie Kelman-Smart
69,Christopher Bright
99,Sabastian  McCain 
b,r,e,a,k
Bloom,3
teamInfo,,"Orlando, Florida",,,
0,Chris Que
01,Rene Muzquiz
03,August Specht
04,Christopher Patrick
05,Robert Matthew Hankin
07,Michael Berg
13,Cory Radcliff
16,Kyle O'Connor
18,Andrew Cox
19,Alex Schmoling
22,Tim Lootens
23,Aidan Earnest
25,Reese Holiday
26,Scott Sakow
29,Clayton Partlow
50,Oscar Patterson
55,Bradley  Paul
66,William Herrington
88,Thomas Milana
99,Noah Dowdy
b,r,e,a,k
Cash Crop 2,2
teamInfo,,"Chapel Hill, North Carolina",,,
1,Aaron Wei
2,Elijah Danley
7,Leonardo Tapia
8,Henry Everett
9,Gage Rogers
10,John Bradley
11,Reed Burkert
12,Bailey Roberts
14,Bodhi Harmony
15,Matti Lee
16,Max Goetz
17,Wesley Britt
20,Thomas Williams
22,Josh Singleton
24,Kalen Morrison
25,Jayden Feagans
34,Noah Bush
43,Fletcher Hayden
59,Alexander Tayyeb
77,Christopher Humphrey
80,Will Scudder
88,Henry Chen
99,Nathan Khot
b,r,e,a,k
Charleston Heat Stroke,6
teamInfo,,"Charleston, South Carolina",,https://www.facebook.com/CharlestonHeatStroke,https://twitter.com/HeatStrokeCHS
0,Blake Paulson
0,Cannon Yarborough
0,David VanAuker
0,Hunter Nadeau
0,Jett Kirshtein
0,Justin Morrison
0,Logan Johnston
0,Matt Hardie
0,Paul Marotta
0,Sean Timmons
0,Sylvester Norris
1,Nicholas Hocking
3,Adam Bailey
5,Aaron Crockett
8,Mike Sasko
10,Sean Erdenbrack
13,Ryan Wartenberg
18,Oddom Vong
22,Matt Hunt
25,Sambath Vong
b,r,e,a,k
John Doe,7
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/johndoeultimate,@JohnDoeUlti
0,Aidan Mitchell
0,Andre Garcia
0,Brandon Fleming
0,Carter Monroe
0,Cooper Glavin
0,Dylan Deshler
0,Jonathan Bledsoe
0,Joshua  Krause
0,Nicholas Roller
0,Niko Paulson
0,Otis Peterson
0,Owen Edwards
2,Justin Fang
8,Jonathan Phillips
12,John Recchia
14,Chad Rahtz
21,Samuel Fitzhugh
24,Tyler Byrum
36,Graham McDonald
42,Nick Rinehart
57,Christopher O'Mara
77,Max Shevchenko
81,Parsa Abedi
88,Thomas Richards
b,r,e,a,k
Oakay,11
teamInfo,,"Raleigh, North Carolina",,,
0,Justin Melkun
0,Kurtis Wang
0,Matthew Baker
0,Nicolas Munsen
0,Rashaad Saunders
0,Roy kasher
0,Sassan Fahim
0,Steven (Alex) Fischer
0,Will Armstrong
0,Allen Meese
0,Benjamin Crosbie
0,Zachary Weiser
02,Ari Pena
12,Adam Becker
13,Calvin McPhail-Snyder
30,William Wyman
84,Joshua Lewis
b,r,e,a,k
Queen City Kings,10
teamInfo,,"Charlotte, North Carolina",,,
0,Brooks Fleming
0,Carter Kletch
0,Daniel Eure
0,Daniel Dabnis
0,Emory Blackshir
0,Erik Kirby
0,Ethan Niedzwiedz
0,Gautam Das
0,Jack Walsh
0,Jake Hutchinson
0,Juan Mancera
0,Kartik Sethuraman
0,Malcolm Duellman
0,Matthew Alexander
0,Max Povejsil
0,Sathvik Avulapati
0,Shawn Cook
4,Nicholas Lopez
8,Jackson  Dye
11,Timothy Rees
12,Nathan Silvestri
14,Simon Jenkins
19,Jordan Knox
24,Nate Sutherland
24,Parker Shahdad
