TCT Pro-Elite Challenge West 2023,Club - Women ,8,7,2023
Corvallis,OR,2023-07-08,2023-07-09
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-West-2023/schedule/Women/Club-Women/
Molly Brown,1
teamInfo,,"Denver/Boulder, Colorado",http://www.mollybrownultimate.com/,https://www.facebook.com/MollyBrownTown,https://twitter.com/MollyBrownTown
coaches,Andrew Lovseth,Alexia McCaskill
2,Marlee Akerson
4,Mei Hecht
5,Abbie Gillach
6,Samantha Peletier
9,Bailey Shigley
16,Megan Cousins
21,Rena Kawabata
22,Alyssa Perez
27,Saioa Lostra
28,Jordan Stockdale
52,Claire Chastain
b,r,e,a,k
Traffic,4
teamInfo,,"Vancouver, British Columbia CA",,https://www.facebook.com/TrafficUltimate,https://twitter.com/traffic_ulti/
coaches,Matthew Doyle
0,Grace Huang
0,Jada Lim
0,Juli Ohsada
0,Marie-Ève Beauchemin
0,Nicola Parker
0,Alicia Brolly
0,Catherine Menzies
12,Daisy Lin
20,Catie Akune
b,r,e,a,k
Seattle Riot,6
teamInfo,,"Seattle, Washington",http://seattleriot.org/,https://www.facebook.com/SeattleRiot,https://twitter.com/SeattleRiot
02,Alexa Yadama
04,Sharon Tsao
06,Lauren Holzman
08,Rachel Bradshaw
10,Shira Stern
12,Nicole Cramer
13,Jessica Crowley
16,Lilliana Werner
19,Josie Gillett
20,Aria Kischner
22,Valerie Pinillos
25,Catherine Chung
26,Ada Wright
27,Julia Snyder
28,Amber Lee
30,Brogan Jones
31,Ikran Elmi
32,Lauren Meyer
36,Alyssa Kelly
44,Abbie Abramovich
62,Karen Hill
63,Carly Campana
b,r,e,a,k
Nightlock,7
teamInfo,,"Bay Area, California",http://www.nightlockult.com/,https://www.facebook.com/NightlockUlt/,https://twitter.com/nightlockult/
b,r,e,a,k
Underground,9
teamInfo,,"Seattle, Washington",,https://www.facebook.com/SeattleUnderground,https://twitter.com/UG_Seattle
b,r,e,a,k
Fury,2
teamInfo,,"San Francisco, California",http://furyultimate.com/,https://www.facebook.com/furyultimate/,https://twitter.com/furyultimate
coaches,Idris Nolan
0,Allyson Tsuji
0,Anika Quon
0,Cree Howard
0,Dena Elimelech
0,Irene Scazzieri
0,Jessica O'Connor
0,Julianna Werffeli
0,Kanari Imanishi
0,Maggie Ruden
0,Magon Liu
0,Marisa Mead
0,Samantha Loop
0,Lisa Couper
0,Shayla Harris
4,Lorraine Guerin
03,Sharon Lin
11,Carolyn Finney
19,Anna Thompson
25,Han Chen
29,Kirstin Johnson
b,r,e,a,k
Flipside,3
teamInfo,,"San Diego, California",https://beultimate.com/collections/california-flipside-fan-store-2022,https://www.instagram.com/flipsideultimate/,https://twitter.com/flipsideulti
coaches,Carlo Mosca
01,Maggie O'Connor
02,Alexandra Diaz
03,Stephanie Yen
04,Kristen Pojunis
05,Kaela Helton
06,Malia Smith
07,Blair Messner
08,Alisha Stoun
09,Rebeca Ellis
10,Dena Slattery
11,Avery Jones
12,Jasmine Childress
15,Megan Maxfield
18,Kaitlyn Weaver
20,Kelli Iwamoto
24,Avalon Igawa
25,Samantha Wool
30,Merideth Byl
77,Charlotte Sue
88,Laura Blume
94,Tanya Bearson
b,r,e,a,k
Schwa,5
teamInfo,,"Portland, Oregon",https://www.oregonschwa.com/,https://www.facebook.com/schwaultimate,https://twitter.com/SchwaUltimate
0,Claudia Tajima
0,Danielle Runzo
0,Elizabeth Longmire
0,Angelica Chambers
0,Aubri Bishop
0,Mariel Hammond
0,Morgan Caldwell
0,Rachel Hess
0,Talia Barth
1,Grace Alston
2,Acacia Hahn
8,Julia Butterfield
9,Brenna Bailey
11,Rachel Egan
14,Julianna Galian
16,Yausi Khajavei
18,Julia Sherwood
19,Georgina Tetlow
22,Natalie Hancock
26,Shaelynn Davis
27,Hayley Wahlroos
28,Shannon Dennehy
47,Madeleine Franz
99,Noelle Takahashi
b,r,e,a,k
Colorado Small Batch,8
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SmallBatchUltimate/,https://twitter.com/SmallBatchUlti
2,Alexis  Rosas
3,Amaya Krutsinger
5,Hannah Mimmack
6,Alexandra Guy
7,Carolyn Vlach
8,Kirsten Fahlbusch
9,Emily Kraus
10,Annie Geoghegan
11,Nori Catalano
12,Taylor Smith
13,Emma Massey
14,Claire Morrissy
19,Rachel Litz
21,Elyse Bartucci
22,Erin O'Connor
26,Jessica Larson
31,Kelsey Mueller
38,Katie Ciaglo
41,Katherine Macri
44,Aelish Aoki
55,Charlotte Bokhof
84,Nicole Havel
b,r,e,a,k
Portland Rain Check,10
teamInfo,,"Portland, Oregon",,,
0,Elise Hollowell
0,Emily Hays
0,Erin Jenkins
0,Isabella  Quattrucci
0,Makenzi Zent
0,Raychel Teman
0,Rebecca Sokol-Snyder
0,Stefka Waite
0,Abby Dunn
0,Anna Zimmerman
11,Kelly Marx
16,Dharma Prime
32,Ysabella Zaloudek-Luba
81,Lilly Zeitlin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Molly Brown,Underground,0,0,"07/08/2023, 08:30",Pool A,Scheduled
Seattle Riot,Nightlock,0,0,"07/08/2023, 08:30",Pool A,Scheduled
Molly Brown,Seattle Riot,0,0,"07/08/2023, 10:15",Pool A,Scheduled
Traffic,Nightlock,0,0,"07/08/2023, 10:15",Pool A,Scheduled
Molly Brown,Traffic,0,0,"07/08/2023, 13:45",Pool A,Scheduled
Seattle Riot,Underground,0,0,"07/08/2023, 13:45",Pool A,Scheduled
Nightlock,Underground,0,0,"07/08/2023, 15:30",Pool A,Scheduled
Traffic,Seattle Riot,0,0,"07/08/2023, 15:30",Pool A,Scheduled
Molly Brown,Nightlock,0,0,"07/09/2023, 08:00",Pool A,Scheduled
Traffic,Underground,0,0,"07/09/2023, 08:00",Pool A,Scheduled
pool,Pool B
Fury,Portland Rain Check,0,0,"07/08/2023, 08:30",Pool B,Scheduled
Schwa,Colorado Small Batch,0,0,"07/08/2023, 08:30",Pool B,Scheduled
Fury,Schwa,0,0,"07/08/2023, 10:15",Pool B,Scheduled
Flipside,Colorado Small Batch,0,0,"07/08/2023, 10:15",Pool B,Scheduled
Fury,Flipside,0,0,"07/08/2023, 13:45",Pool B,Scheduled
Schwa,Portland Rain Check,0,0,"07/08/2023, 13:45",Pool B,Scheduled
