2024 Big Sky Women's Sectional Championship,Club - Women ,7,9,2024
Salt Lake City,UT,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-Big-Sky-Womens-Sectional-Championship/schedule/Women/Club-Women/
Dark Sky,1
teamInfo,,"Utah, Utah",,,
0,Stacy Gaskill
1,Mackenzie Perkett
2,Brooke Stanislawski
3,Kate Moulton
4,Lily Terpstra
5,Ellie Sjordal 
6,Janna Coulter
7,Courtney Connole
8,Molly Robbins
9,Anna McClurkan
13,Kate Barry
15,Sailor Ong
16,Nicole Merrill
17,Jesse Dewey
18,Audrey Selfridge
19,Hannah Bruns
19,Kellie Koester
22,Kyra Khoroujnikova
28,Lucia Mason
29,Brittany McCready
33,Amy Norris
38,Cori Bigham
46,Quincey McKeen
48,Kat Songer
52,Serena Hochmuth
72,Carly Atwell
b,r,e,a,k
Swell,2
teamInfo,,"Salt Lake City, Utah",,,
0,Gabrielle Aufderheide
0,Jasmine Bowman
0,Juliana Landis
02,Jessica Horii
03,Maggie Bale
04,Lily Nygard
05,Lindsay Darlow
07,Jane Putnam
12,Emily Dalley
14,Meghan Campano
15,Evelyn Nazarit
19,Sarah DeMaria
20,Elise Francis
22,Spencer Ewing
25,Shannon Anderson
26,Claire Schwyhart
28,Jess Olsen
29,Erin Gong
33,Camille van Ginkel
44,Maisie Prendergast
66,Leah Smith
b,r,e,a,k
s,t,a,g,e,s
brackets,Final
bracket,Final
Dark Sky,Swell,0,0,"09/07/2024, 11:00",Final,Scheduled
b,r,e,a,k
