Kleinman Eruption 2024,Club - Mixed ,10,8,2024
Vancouver,WA,2024-08-10,2024-08-11
https://play.usaultimate.org/events/Kleinman-Eruption-2024/schedule/Mixed/Club-Mixed
Spoke,1
teamInfo,,"Seattle, Washington",,,
0,Jessica Crowley
0,Karen Hill
0,Kate Crawford
0,Ky Lewis IV
0,Lauren Holzman
0,Maddy Grassy
0,Nico Darringer
0,Oliver Hirn
0,Rebecca Shapiro
3,Gabriel Ryan
10,Melanie Lindsey
12,Brent Lo
17,Molly Wieringa
17,Jacob Lambert
24,Stephen Burkot
24,Andrew Lynch
27,Tom Crawford
29,Max Sevier
44,Grace Young
b,r,e,a,k
Bullet Train,6
teamInfo,,"Seattle, Washington",http://bullettrainultimate.com,,https://twitter.com/BulletTrainUlti
0,Linxin Chen
0,Manish Tulzapur
0,Megan Baunsgard
0,Rachel Beaton
0,Ryan Shin
0,Sarah Teichman
0,Sarah Piersall
0,Vincent Chase
0,Yonatan Tadesse
0,Yuanning Wu
1,Kevin Rogers
2,Tien Hoang
3,Luke Garrison
4,Brian Wandrei
7,Allen Rishel
9,Robert  Luo
16,Hank Buttleman
18,Chris Roach
26,Sam Weiler
42,Chauncey Holland
47,Juliana Williams
66,Ziqi Zhao
b,r,e,a,k
Heat Wave,13
teamInfo,,"Richland , Washington",,,
0,Cora Wessman
0,Jacob Cmelik
0,Kevin Fiedler
0,Matt Bode
0,Megan  Wasson
0,Jeremy Tucknies
0,Sarah Leichty
0,Trevor Kilgannon
6,Josh Zylstra
8,Sierra Wallace
9,Jasmine Woo
27,Erol Cromwell
64,Samantha Jo Johnson
b,r,e,a,k
Squid Inc.,7
teamInfo,,"Bellingham, Washington",,,
00,Anna Nakae
01,Derrick Hirsch
02,Audrey Schwabe
03,Grace Pierstorff
04,Lauren Schneider
05,Patrick Taylor
09,Darren Duquette
10,Trish Benson
14,Kimberly Seitz
16,Niko Butt
17,Brian Roach
18,Isabelle  Mucke
19,Zach Schneider
21,Scott Maxa
22,Jordan Goff
23,Caitie Sheban
26,Nathan White
31,Kyle  Griffin
33,Margo Heffron
56,Catherine Heggie
71,Christopher Penuelas
73,Ruby Volker
89,James Kozanitis
b,r,e,a,k
SkyLab,12
teamInfo,,"Portland, Oregon",,,
0,Abigail Harper
0,Cate Stone
0,Edward Unruh
0,Kiley Thompson
00,Jared Alvarez
06,Diane Walters
09,Richard Willms
11,Lydia Manning
14,John Allan
20,Carolyn Brand
20,Carolyn Brand
33,Taylor Balkom
37,Fiona Solliday
42,Graham Ray
52,Serena Badgley
55,Michael Frank
66,Troy Carpenter
88,Bo Liu
89,Anthony Shu
99,Phoenix Bruner
b,r,e,a,k
Smack!,2
teamInfo,,"Seattle, Washington",,,
0,Anna Pettis
0,Calvin Dodge
0,Kayla Pianh
0,Molly Gallagher
0,Samuel  Hannah
0,Sarah Benditt
0,Sophia Dellapenta
0,Zach Sadow-Hasenberg
3,Goda Raslan
7,Graham Manson
10,Evan Reding
16,Milo Brown
17,Sheila Robles
22,Jack Verzuh
23,Greta Eisenbrey
24,Bre Gauthier
31,Connor Dougherty
36,Kamal Raslan
47,Alyssa Kelly
95,Jamie Kauffman
96,Julien Butwin
b,r,e,a,k
Seattle Soft Serve,8
teamInfo,,"Central District, Washington",,,https://twitter.com/SeattleSofties
0,Diane Simunek
0,George Silva
0,Jimmy Longley
0,Jon Fok
0,Laura Manson
0,Leanne Beyel
0,Luke Jesperson
0,Peter Geertz-Larson
0,Rebecca Leong
0,Robby Anderst
0,Ruriko Araki
0,Sam Felton
0,Serene Hastings
0,Thomas Rosatto
1,Sam Landesberg
2,Genavie Boots
2,Kevin Black
21,Alex Fussell
28,Jace Barley
29,Trong Pham
33,Samuel Hotaling
42,Claire Kimball
60,Aidan Malone
68,Joseph Gooden
91,Valerie Leone
99,Wade Hankin
b,r,e,a,k
Porch Bears,5
teamInfo,,"Portland, Oregon",,,
0,Andrew Schwartz
0,Carey Jacquinot
0,Casey Clapp
0,David Marble
0,Grant Cole
0,Ian Lawson
0,Jacob Artz
0,Jon Snyder
0,Joseph Leo Pepper
0,Kayla Nowlin
0,Kim Dorr
0,Lauren Lynch
0,Lyudmila Likhonina
0,Samuel Adamson
0,Siri Bohacek
3,Kendall Jorgensen
3,Daniel Young
11,Emily Flanders
23,Max Vogel
23,Rheggie  enrique carranza
26,Austin Kelly
28,Brandy Turcotte
28,Tahlia Hodes
42,Kenzie Wingard
56,Valerie Peacock
69,Helen Mead
b,r,e,a,k
Drip,11
teamInfo,,"Corvallis, Oregon",https://instagram.com/corvallisdrip?igshid=M2RkZGJiMzhjOQ==,,
01,Jack Weinberg
04,Joshua Wright
05,Nicholas Borninski
07,Luther Grulke
08,Cecilia Seldera-Bahnson
09,Gerald Aggrey
12,Colleen Barr
13,Ethan Quesada
14,Katie Horsley
17,Cyrus Dupuy
18,Joshua Munger
19,Whitney Mount-Rubenfeld
23,Sierra Johnson
24,Daphne Guo
26,Anna Odewald
27,Seth Lockard
28,Austin Davidson
33,Hank Pratte
41,Savanah Espinosa
44,Wyatt Schrumpf
64,Dharma Prime
66,Katherine Quillin
74,Matthew Baccary
81,Lena Freebury
b,r,e,a,k
American Barbecue,4
teamInfo,,"San Francisco, California",www.abbq.org,www.facebook.com/ABBQfamily/,@ABBQfamily
0,Conrad Walsh
0,Elise Bruguera
0,Georgia  Van der Linden
0,Isabel Clayter
0,Kai Agueros
0,Karen Reyes
0,Kayla Hickey
0,Liam Kreiss
0,Molica Anderson
0,Myron Liu
0,Nicholas Murphy
0,Nicholas Weiss
0,Noel Arsenault
0,Samuel Du
0,Simone Ong
0,Thalia  Tzetos
0,Caela Brazelton
6,Jackson Knox
8,Chenxi Sun
8,Adam Wulkan
16,Jason Seidler
18,Zack Seidler
23,Trevor Aquino
26,Liam Kilbridge
36,Jenna Weiner
b,r,e,a,k
Grit City,3
teamInfo,,"Tacoma, Washington",www.gritcityultimate.com,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
2,Hunter Hill
01,Nicholas Mahan
03,Andrew Page
04,Melissa Ostendorf
07,Zachery Laycock
08,Sarah Ciambrone
09,Zac Nix
10,Jake Dunoyer
11,Nicholas Poolman
12,Veronica Tse
13,Jessica Haga
15,Molly Russell
16,Christina Chelf
22,Maryjo Sampang
24,Crystal Still
30,Brandon Ishise
35,Jeffrey Abeshima
36,Kira Belnap
39,Michael Leaumont
42,Riley Meinershagen
55,Alishia Orloff
57,Matthew Ostendorf
64,Kenneth Lawler
69,Carl Richmond
88,Eleanor Hoekman
99,Rebecca Dorety
b,r,e,a,k
Choco Ghost House,9
teamInfo,,"Portland, Oregon",,,
0,Emily Cebron
0,Erik Sandersen
0,Hayley Shanks
0,Annie Jamison
0,Maren Saly
0,Natalie Georgitsa
0,Robert Bradley
0,Scott Nellis
0,Veronica Vest
8,Aryeh Kempler-DeLugach
10,Ian Fouts
12,Julie Felberg
14,Keith Lundquist
14,James Cebron
19,Jesse Prichard
19,Van Duong
20,Reilly Aldrich
22,Aaron Hursey
28,Jamie Hoover
30,Josh Spieth
42,Steve Mahoney
47,Lukas Dumestre
83,Matthew Wilensky
99,Kiarra Ko-Madden
b,r,e,a,k
Garbage,10
teamInfo,,"Seattle, Washington",,,
0,Adlai Felser
0,Alexander Whiting
0,Cal (Christopher) Lee
0,Carson Mailler
0,Ellen Mesnik
0,Isaac Davis
0,Lauren Louderback
0,Nathan Ashcraft
0,Noah Webster
0,Ryan Haddeland
0,Sam Schumer
0,Samuel Hart
0,Steven Kwan
