Midas' Entanglement,Club - Men ,27,7,2024
Columbus,MS,2024-07-27,2024-07-28
https://play.usaultimate.org/events/Midas-Entanglement/schedule/Men/Club-Men/
Second Nature,1
teamInfo,,"Huntsville, Alabama",,,
0,Benjamin Forton
0,Daniel Hurley
0,Gideon Miller
0,Horace Wilson
0,Jere Goldsmith
0,Joshua Kolby
0,Kevin Matis
0,Matthew Street
3,Corey Sweet
4,Riley Bong
5,Steven Deng
8,Logan Ashwell
14,Tanner Coleman
15,Dominic Kenyon
18,Alec Minnicks
34,John Shields
38,William Cox
54,Elijah McKinley
54,Riley Park
55,Aaron Aberle
78,Gunnar Etzkorn
99,Colby Bong
b,r,e,a,k
Alliance 2,4
teamInfo,,"Alabama, Alabama",,,
2,Robert Strickland
6,Matt Williams
8,Jordan Gibbs
9,Lee Thomas
15,Zachary Reynolds
26,Dalton Brewer
32,Gray King
34,Andrew Record
36,Sean Kang
38,Joshua  Logan
42,Thomas Reed
44,Amir Brown
45,Mac Spiller
47,Clayton Hightower
50,Cern Tanopajai
50,Malik Kaigler-Beasley
54,Connor Hall
64,Conley Brooks
71,Justin Weaver
77,Joshua Scheuer Haeker
89,Joshua Reed
94,Isaac Warren
97,Aj Thomas
99,Kobe Groce
b,r,e,a,k
Battleship,2
teamInfo,,"Mobile, Alabama",,,
0,Adam Barbosa
0,Alexander Chiang
0,Boston Morgan
0,Brandon Brown
0,Fredrick Norfleet
0,Joseph Reosti
0,Matthew Eaise
0,Nathan Tadlock
0,Shannon Ammons
0,Stephen Fick
0,Tyler Brackett
1,Caleb Dickey
2,David Hernandez
5,James Hudson
7,Justin Archie
9,Matthew Glenzer
11,Zack Phillips
22,Sean Smitherman
b,r,e,a,k
Golden Triangle Ultimate,6
teamInfo,,"Golden Triangle, Mississippi",https://www.instagram.com/goldentriangleultimate?igsh=c3JwM3BncHl1aW45&utm_source=qr,,
0,Madison Glidewell
0,Matthew Morin
0,Robert Capps
3,Matt Blaylock
7,Mark Breland
10,Dawson Archer
10,Jake Russell
14,James Tindell
22,Benjamin Ogden
24,Zachary Crane
75,Jesse Boswell
b,r,e,a,k
Cookie Mon$terz,3
teamInfo,,"$, Mississippi",,,
0,Andrew Ohrberg
01,Will Kalahar
05,Daniel Grisham
05,Ethan Kilpatrick
07,Peyton Raggio
07,Daniel Jones
12,Aaliyan Mohammed 
14,Eli Justice
15,Noah Windham
18,Daniel Lancaster
18,Trey  Leonard
34,Timothy Griffith
b,r,e,a,k
Watchmen,5
teamInfo,,"Nashville, Tennessee",,,https://x.com/NashWatchmen?s=20
2,Ben Adams
5,Zachary Steffey
8,Jack Waite
9,William Rollins
10,Daniel Caracappa
12,Zachary De Craene
13,Spencer Kerch
16,Davis Camp
19,Khamkorn Inthavong
22,Andy Warrick
25,Brandon Bagwell
26,Nilai Sheth
29,Kanu Shetkar
34,James Shaw
37,Levi Spellmeyer
39,Philip Hood
55,Cole Jennings
69,Blake Hagan
77,Malachi Johnson 
85,Zane Ransburgh
93,Evan Snyder
96,Lyle Cox
99,Collin Temple
99,Carson Jones
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Second Nature,Cookie Mon$terz,0,0,"07/27/2024, 09:00",Pool A,Scheduled
Battleship,Watchmen,0,0,"07/27/2024, 09:00",Pool A,Scheduled
Alliance 2,Golden Triangle Ultimate,13,4,"07/27/2024, 09:00",Pool A,Final
Second Nature,Battleship,0,0,"07/27/2024, 10:45",Pool A,Scheduled
Cookie Mon$terz,Alliance 2,0,0,"07/27/2024, 10:45",Pool A,Scheduled
Watchmen,Golden Triangle Ultimate,9,13,"07/27/2024, 10:45",Pool A,Final
Second Nature,Alliance 2,0,0,"07/27/2024, 12:30",Pool A,Scheduled
Battleship,Golden Triangle Ultimate,13,12,"07/27/2024, 12:30",Pool A,Final
Cookie Mon$terz,Watchmen,0,0,"07/27/2024, 12:30",Pool A,Scheduled
Second Nature,Golden Triangle Ultimate,13,2,"07/27/2024, 14:15",Pool A,Final
Battleship,Cookie Mon$terz,0,0,"07/27/2024, 14:15",Pool A,Scheduled
Alliance 2,Watchmen,0,0,"07/27/2024, 14:15",Pool A,Scheduled
Second Nature,Watchmen,0,0,"07/28/2024, 08:00",Pool A,Scheduled
Battleship,Alliance 2,0,0,"07/28/2024, 08:00",Pool A,Scheduled
Cookie Mon$terz,Golden Triangle Ultimate,0,0,"07/28/2024, 08:00",Pool A,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
bracket,3rd Place
bracket,5th Place
b,r,e,a,k
