New England Open 2024 - Open Division,College - Men ,30,3,2024
Rehoboth,MA,2024-03-30,2024-03-31
https://play.usaultimate.org/events/New-England-Open-2024---Open-Division/schedule/Men/CollegeMen/
Bates,1
teamInfo,Orange Whip,"Lewiston, Maine",https://sites.google.com/bates.edu/batescollegeorangewhip/home,,https://twitter.com/bateso_whip?lang=en
0,Aidan Stark-Chessa
0,Benjamin Sparks
0,Benjamin Morse
0,Benjamin Bushley
0,Daniel Snider
0,Eno Little
0,Eric Treyz
0,Finn Sheehy
0,Jack Huysmans
0,Quinn Frank
0,Samuel Crawford
0,Sean Mathias
0,Thomas Davis
0,Tim Ruppert
0,Wade Intrator
0,Walker McGinley
0,Zach Van Dusen
0,Miles Miller
0,Noah Edmonds-Estes
10,Marco Willen
13,Owen Haddad
b,r,e,a,k
Worcester Polytechnic Institute,9
teamInfo,Whisper,"Worcester, Massachusetts",,,
coaches,Alexander Carli-Dorsey
0,Benjamin Haugsjaahabink
0,Benton Cutroni
0,Blake Burkey
0,Cole Parks
0,Dhaniel Ramos
0,Ethan Shaw
0,Greta Schmidt
0,Jake Burke
0,Joe Molder
0,Joshua Dunlap
0,Kai Nakamura
0,Kyle Doll
0,Nathan Brumble
0,Nathaniel Powers
0,Seamus Harte
0,Wyatt Harris
3,John Hall
11,William Burke
12,Evan Carmody
16,Eric Impink
18,Dillon McDermott
21,Ao Jiang
24,Jan Anthony
31,Josh Keselman
64,Eamon Worden
64,Robert (Brent) Weiffenbach
88,Qianchen Zeng
b,r,e,a,k
Colby,8
teamInfo,Men's,"Waterville, Maine",http://web.colby.edu/ultimate/,,https://twitter.com/cdc_ultimate
0,Alex Solano
0,Ben Kaiser-Bulmash
0,Brendan Althoff
0,Eric Hernandez
0,Grady Florance
0,Henry Landay
0,Jakob de Swaan Arons
0,Max Durand-Morris
0,Max Simon
0,Paul Calcagni
0,Rhodes Martinez
0,David Lizano
0,Tim Sandin
0,Tucker Reinhard
3,Sam Skiffington
6,Cogan Lawler
13,Jacob Tjaden
21,Cam Savory
56,Edward Wu
b,r,e,a,k
Harvard (B),16
teamInfo,BRed Line,"Cambridge, Massachusetts",https://soco.college.harvard.edu/258078/bred-line/,,https://twitter.com/HarvardBRedLine
coaches,Eliot Fenton,Abijith Krishnan
0,Clyde Smith
0,Connor Merritt
0,Darwin  Torrance
0,Eugene Chua
0,Harrison Warfel
0,Henry Huang
0,James McGlinchey
0,John Harrington
0,Justin Yichen Ye
0,Alexander Wu
0,Aryan Naveen
0,Benjamin Fisher
0,Kevin McLeod
0,Mark Rifkin
0,Mike Thomas
0,Nathan Gershengorn
0,Ronak Malik
0,Ryan Cheng
0,Theo Datta
7,Carlo Hensch
11,Kaden Zheng
17,Alex Buzali
b,r,e,a,k
Bowdoin,2
teamInfo,Clown,"Brunswick, Maine",,,https://twitter.com/stoned_clown?lang=en
0,Anders Larson
0,Henry Doerr
0,Jamie Roan
0,John Soeder
0,Paul Wang
0,Philip Spyrou
0,Sam Ralston
0,Spencer Sussman
0,Troy Kellerr
1,Benjamin Halperin
2,Cole Fairfield
2,Henry Anderson
7,Axel Hicks
10,Thayer Frankel
11,Grant Griesman
12,Dudley Holdridge
13,Homer LaBranche
23,Michael Martinez
24,Miles Berry
26,Zack Reynolds
36,Oliver Clachko
44,Eric Traub
44,Benjamin  Turnbull
51,Theodore Barton
55,Cameron Edgar
87,Loftin Propst
b,r,e,a,k
Amherst,10
