River City Witching Hour 2024,Club - Men ,29,6,2024
Richmond,VA,2024-06-29,2024-06-30
https://play.usaultimate.org/events/River-City-Witching-Hour-2024/schedule/Men/Club-Men/
Pittsburgh Stealers,1
teamInfo,,"Pittsburgh, Pennsylvania",,,@stealerspitt
coaches,Scott Olinger
0,Adam Assaad
0,Alexander Kirages
0,Ben Banyas
0,Jacob Sigeti
0,Ryan Harty
0,Will Meyer
2,Joseph Rowley
4,Joshua Morton
5,Tyler Riemer
6,Zachary Esakof
12,Max Sprigg-Dudley
18,Elliot Hare
22,Jackson Trone
23,Eliot Duncan
25,Graham Barton
29,Everitt Meer
69,Chris Chang
84,Nicholas Blair
b,r,e,a,k
Bomb Squad,4
teamInfo,,"Baltimore, Maryland",,,
0,Collin Stokes
0,Daniel Naiman
0,Dylan Leighton
0,Ethan Bomhardt
0,Francisco  Lopez
0,Gabriel Kritz
0,Garrick Clemente
0,Alexander Vasserman
0,Isaac Hawkins
0,Jensen Li
0,JiWon Woo
0,Patrick Leavey
0,Quinn Daly
0,Tyler Lehrfeld
0,Wolfgang Sulk
2,Charles Stokes
3,Erik Henn
4,Jed Cohen
10,Jason Teng
13,Logan Call
14,Zachary Greaver
21,Benjamin Davis
22,Lemuel Sun
77,Grady Riley
96,Zachary Cousino
b,r,e,a,k
NC Brickhouse,5
teamInfo,,"Raleigh, North Carolina",,,
0,Arjun Deshmukh
0,Ben Armstrong
0,Benjamin Saterbak
0,Daniel West
0,David Fengshi
0,Ethan Dadolf
0,Graden  O’Connor
0,Isaac King
0,James Chilton
0,James Carter
0,Marcel Atkinson
0,Robert McAllister
0,Thomas Teeters
8,Sam Prochnau
10,Nathan Khot
12,Hiatt von Alten
13,Brandon Cousar
14,Feliks Ciesielski
22,John Bradley
23,James Conley
24,Parker Shahdad
34,Ethan Burgess
95,Jack Hartingh
b,r,e,a,k
MOB Ultimate,8
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/MOB-Ultimate-114315757422122,https://twitter.com/MOBUltimate1
0,Aidan Thomas
0,Alan Nguyen
0,Brandon O'Rourke
0,Ethan Davis
0,Grant Sullivan
0,Jeremy Allen
0,Michael Romano
0,Jack Mountain
0,Jackson Klingenberg
1,Benjamin Guest
2,Jeremy Martin
4,Richard Forbes
7,Alexander Wright
9,Jason Hawkins
13,Manuel Miranda
16,Beryl Terry
18,Landon Jones
21,Ian Shull
22,Christopher Estes
56,William Dacey
95,Xavier Stewart
99,Liam Jones
b,r,e,a,k
Oakay,9
teamInfo,,"Raleigh, North Carolina",,,
2,Joshua Curtis
3,Ian Weimer
11,Nicolas Munsen
19,Zachary Benson
22,Ari Pena
25,Sassan Fahim
50,Kurtis Wang
64,Sky Kanoy
82,William Gulker
84,Joshua Lewis
90,Kevin Stroud
b,r,e,a,k
Triumph,2
teamInfo,,"Morrisville, North Carolina",https://rb.gy/6knme4,,
0,Adam Luthman
