San Diego Slammer 2024,Club - Men ,8,6,2024
San Diego,CA,2024-06-08,2024-06-09
https://play.usaultimate.org/events/San-Diego-Slammer-2024/schedule/Men/Club-Men/
SoCal Condors,1
teamInfo,,"Calico, California",,https://www.facebook.com/SantaBarbaraCondors,https://twitter.com/CondorsUltimate
coaches,Jonathan Helton
02,Matt Miller
03,Michael Tran
05,Bryce Lozinski
07,William Snyder
09,Maxwell Hume
10,Matthew Nelson
13,Peter Lenz
14,William Turner
16,Thomas Konogeris
17,Sander Fogarty
18,Kyle Rubin
23,Clark Wang
24,Reggie Sung
25,Marshall Wildmann
26,Calvin Wicks
27,Kenrick Koo
33,Benjamin Levinsky
69,Max Gibson
72,George Robert Halvorsen Jr.
81,Rhys Gretsch
87,Casey Shugarman
89,Milan Ravenell
99,Max de Visser
b,r,e,a,k
Drought,4
teamInfo,,"Phoenix, Arizona",,,https://twitter.com/DroughtUltimate
00,Austin  Cottarel
01,Brandon Varney
03,Joshua Saad
07,Tymur Vidyakin
08,Dustin Udall
10,Jeremy Harris
11,Kris Kaufman
12,Ethan Gaiser
15,Mason Varney
17,Alex Van Der Geest
21,Connor Garrison
21,Brendan Carriel
22,John Kuchachik
27,Cohen Nelson
31,Kellen Potocsnak
33,Phillip Samuels
43,Nicholas Kelly
54,Xander Shenberger
86,Mark Mendelevitz
88,Alvin Miles
99,Adam Whitton
b,r,e,a,k
Endless Sunset,9
teamInfo,,"SoCal, California",http://www.dudeultimate.com/t/endless-sunset/,,
0,Adam Katzenmeier
0,CHRISTIAN PARSONS
0,Christopher Ludwig
0,Daniel Williams
0,Dave Knight
0,Elliot Ling
0,Jason Chang
0,Jason Yip
0,Jeff Grobe
0,Julius Schaffer
0,Justin Goodman
0,Paul Wheaton
0,Rahmin Buckman
0,Michael Roberts
0,Steve Stratton
0,Toph Eggers
0,Warren Yee
7,Ryan Thoma
11,Aaron Jacobs
13,James Erdmann
13,Nick Hollon
14,Ross Lenta
16,Ryan Plant
18,Kyle Olson
49,Jake Hadziev
71,David Billings
b,r,e,a,k
Battery,8
teamInfo,,"San Francisco, California",,https://www.facebook.com/batteryultimate/,https://twitter.com/SF_Battery
00,Adam Koehler
00,Alex Zha
00,Alex Parikh-Briggs
00,Alex Rossmeissl
00,Brendan Mackel
00,Chad Villhauer
00,Cole Wilkinson
00,Dylan Rivers
00,Erik Anaya
00,Eugene Chong
00,Grayson Broderick
00,Hayden Mans
00,Ido Ofek
00,JB Smith
00,Joe McMinn
00,Ken Wei Tan
00,Kyle Marquis
00,Kyran Buggy
00,Raymond Li
00,Ryan Niizawa
00,Samuel Warren
00,Zachary Rosen
42,Manasven Grover
b,r,e,a,k
Offshore,5
teamInfo,,"Santa Barbara, California",https://linktr.ee/offshoreulti,,OffshoreUlti
01,Douglas Fox
05,Liam Ginsberg
06,Colin Baylis
07,Daniel Pham
11,Brendan McGuinness
26,Adam Spradley
