Ski Town Classic 2024,Club - Men ,17,8,2024
Salt Lake City,UT,2024-08-17,2024-08-18
https://play.usaultimate.org/events/Ski-Town-Classic-2024/schedule/Men/Club-Men/
Shrimp,1
teamInfo,,"Salt Lake, Utah",,,https://twitter.com/saltlakeshrimp
0,Travis Wright
01,Nathan Huff
02,Oscar Brown
05,Chase Stein
07,Elijah Watchalotone
09,Cole Stenseth
10,Alex Walker
11,Ethan Wimmer
12,Benjamin Ashton 
13,Henri de St. Germain
15,Alex Yannelli
17,Porter Oyler
18,Kimball Pew
22,Jace Duennebeil
25,Alex Forsberg
27,Malcolm Starr
29,Sam Pew
31,Nathan De Morgan
32,Derik Knighton
34,Kyle Weinberg
50,Patrick  Beckett 
55,Rainor Alin
77,Porter Stobbe
88,Christian Berger
94,Hayden McAdoo
99,Grayson Rettberg
b,r,e,a,k
OAT,5
teamInfo,,"East Bay , California",,instagram.com/OatUltimate,
coaches,Michael Peng
0,Charles Bitler
0,Cole Mires
0,Devin Hom
0,Gabriel Schwartz-Ketchner
0,Henry Garcia
0,Ian Geertsen
0,Kai Schniedergers
0,Lane Mires
0,Micah Fong
0,Nicolas Rusa
0,Otto Koops-Elson
0,Ryan Nguyen
0,Ryan Shephard
0,Wyatt Colburn
1,Charlie Jia
3,Finnegan Barr
10,Michael Peng
12,Jason Huang
17,Jason Gutstadt
18,Thomas Page
32,Reggie Masket
42,Emile Starkweather
77,Xavier Prochaska
b,r,e,a,k
ISO Atmo,4
teamInfo,,"Boulder, Colorado",,,
0,Brian Ward
0,Felix Feiger
0,Hayden King
0,Jacob Marsh
0,Christopher Ward
0,Daniel Williams
0,Max Van Sickle
0,Ryan Allenson
0,Sam Sincere
0,Shane Eckert
0,Theodore Carr
0,Vincent Chen
5,Addison Hanson
7,Anthony Rice
9,Preston Goulson
10,Zane Barber
11,Jordan  Huntoon 
13,Brett Prill
21,Sarang Mittal
25,Ryan Courtney
25,Chris Fox
42,Tyler Carr
44,Thomas McPherson
53,Jerry Swider
64,Eric Gillwald
86,Noah Sullivan
b,r,e,a,k
Green River Swordfish,8
teamInfo,,"Davis, California",,,
0,Alejandro Pagan
0,Austin Joseph
0,Cranston Johnson
0,John Butler
0,Nick Goelz
0,Nico Laurenson
0,Owen Welch
0,Scott Ballinger
0,Stephan Kim
0,Steven Swartz
5,Nick Shepard
11,Patrick  Morgan
12,Aaron Li
20,Jonathan Yeoh
29,Zack Thompson
37,Trevor Ryder
37,Logan Dolim
42,David Croft
50,Simon Kriech
62,Elliot Wilde
85,Mark Hazlebeck
86,Daniel Speer
95,Brandon Widner
b,r,e,a,k
Fungi,2
teamInfo,,"Denver, Colorado",,,
0,Dexter Luecke
0,Flynn Nyman
0,Greg Olson
0,James Miller
0,Jonathon Morris
0,Joshua Morris
0,Oliver Cunningham
0,Rory Lenny
0,Morgan Scott
0,Shaan Narayan
0,Spencer Hawkins
0,Will Wallace
5,Sam Keller
7,Sam Ruiz Harding
8,Matthew McLean
11,Colton Steiner
15,Abe Gambert
17,Mike Dehnbostel
21,Jasper Pearcy-Kahn
22,Daniel Sponaugle
24,Jorge Delgado
30,Sten Larson
33,Adam Federbusch
34,Cody Spicer
45,Nick Banks
80,Cade Colston
b,r,e,a,k
Hazard,6
teamInfo,,"Los Angeles, California",https://www.instagram.com/hazardultimate/,,
coaches,Julia Johnson
02,Louis Gosart
06,Royce Grundy
07,Andrew Padula
09,Thomas Anderson
11,Cy Toriello
12,Akilesh Swamy
13,James Ivey
16,David Gardiner
19,Garrett Yung
20,Adam Paicely
21,Connor Dowd
22,Ryan Van Hook
23,Everest Shapiro
24,Mateo Dominguez
25,Francesco Russo
27,Cory Oskardmay
33,Tucker Lemos
42,Edwin Finley
43,Kevin Goldberg
44,Remy Smith
46,Eric Owens
54,Jack Carmichael
61,Timothy Predmore
66,Garrett Santi
77,Hudson Stuck
b,r,e,a,k
Switchback,3
teamInfo,,"Seattle, Washington",https://switchbackultimate.com/,,https://twitter.com/Switchback_Ulti
4,Erik Johansson
6,Maxwell Sheffield
7,Bailey Wu
8,Samuel Hinson
10,Davis Wright
12,Brendan Wallace
14,Michael Fielden
15,Alex Semaca
16,Jacob Dreves
17,Max Bommarito
23,Bobby Eleveld
24,Steven Benaloh
26,Arthur Abbate
27,Aaron Glickman
30,CB Wolf
32,Souma Yabuki
33,Quinn Edgerton
37,Jack Landrigan
39,Phillip Korolog
42,Nolan Stoppel
47,Sawyer  Blair
52,Soren Dahl
92,Jacob Keister
95,Brendan Bogel
b,r,e,a,k
Brawl,7
teamInfo,,"Dallas, Texas",,,@dallasbrawl
0,Kyle Turner
1,Eric VerPloeg
2,Zachary Wenner
4,Lennon Dycus
5,Nand Patel
7,Samuel Garza
8,Mason Kelley
10,Andrew Maloney
11,Matthew Sutton
15,Frederick Christen
16,Aaron Smith
17,Darren Phillips
22,Scott Zachary
24,Ben Meister
30,Garrett Wilson
31,Thomas Trompeter
32,Jordan Penn-White
33,Drew Laird
42,Watson Anderson
48,Christian Parker
55,Matthew Hudspith
66,Jared Rojas
77,Willy Goal
89,Jack Wooldridge
98,Tanner Roberts
99,Benjamin Price
b,r,e,a,k
Riverside,9
teamInfo,,"Austin, Texas",http://riversideultimate.org,https://www.facebook.com/RiversideUltimate/,https://twitter.com/riversideulti
0,Ethan Ege
0,Johnny Chang
0,Kegan Wakefield
0,Kyle Jasany
0,Michael Clark
0,Thomas Hannie
1,Jack Ostrand
2,Matt Goldberg
3,Michael Huang
4,Sean Brady
4,Trenton Hebert
4,Andres Rodriguez
6,Scott Hearne
16,Jon Olson
28,Trevor Sawatzky
73,Mark Hansen
77,James Berry
80,Christopher Griego
86,Jordan Richter
b,r,e,a,k
Nighthawk,17
teamInfo,,"Phoenix, Arizona",,,
01,Dylan Irwin
02,Micah Gross
03,Jacob VanGerpen
04,Nikolas  Rivera
07,Jake Hageman
08,Elijah Salmon
10,Brayden Beeman
11,Shane Davidson
16,Austin Anderson
17,Jacob Dibley
18,Leonardo Echeverria
21,Nihaal Sidhu
22,Justin Thelen
34,Nathan Paauw
51,Nathan Page
81,Caden Sigerud
99,Martin Mason
b,r,e,a,k
Fat Stacks,16
teamInfo,,"St George, Utah",,,
0,Eric Willeitner
0,Grant Johnson
0,Jarom Bush
0,Jonah Roberts
0,Jose Espindola
0,Josh Bateman
0,Josh Smith
0,Nayland Stuart
0,Parker Smith
0,Raine Christensen
0,Ryan Logan
0,Saathvik  Koka
0,Sean Gray
0,Walker Heaton
0,Brycen Williams
7,Jacob Moody
8,Daniel Shannon Smith Davidson
9,Nichalas Neid
37,Jahmal Ruaporo-Namana
b,r,e,a,k
Sawtooth,10
teamInfo,,"Boise, Idaho",https://boiseultimatescene.com/sawtooth,https://www.facebook.com/Sawtooth-Boise-Ultimate-619500648417608/,https://twitter.com/SawtoothUlti
0,Benjamin Wilson
0,Caleb Christensen
0,Derek Liebich
0,Emmett Poole
0,Jacob Kemmer
0,Jason Burner
0,Joe Dawson
0,Matt Lieggi
0,Matt Stegemann
0,Matt Jerry
0,Scott Kaltenecker
0,Trenton Pearsall
4,John Martin
7,Mathew Gossard
11,Archey Charnou
16,Cooper Dean
23,Mike Beacham
28,Daniel White
31,Tanner Cleveland
44,Gus Downey
47,Daniel Kwok
55,Julian Collins
71,Harper Poole
b,r,e,a,k
Carbon,15
teamInfo,,"Broomfield, Colorado",,,
0,Ahanu Reiva
0,Alexander Zavoluk
0,Andreas Michalski
0,Carter Gonzalez
0,Drew Kaprielian
0,Joseph Dal Santo
0,Josh Hein
0,Micheal Giampaoli
0,Quinton Lorenz
0,Sovannareach  Yoeun
0,Tim McSweeney
0,Tyler Shepard
0,Will Sweeney
0,Zach Dalzell
0,Maxwell Bogue
5,Kevin Dunne
5,Kyle Mullin
12,Daniel Warner
13,Jacob Ploeger
14,Ziming (Josh) Shan
24,Micai Shoots
29,Matthew Dirkes
34,Jeremy Gordon
69,Christopher Baines
90,Kendrick Hougen
92,Kyle Follmer
b,r,e,a,k
Battery,18
teamInfo,,"San Francisco, California",,https://www.facebook.com/batteryultimate/,https://twitter.com/SF_Battery
coaches,Andrew Riggs
0,Cole Wilkinson
0,David Wang
0,Erik Anaya
0,Garrett Silski
0,Hayden Mans
0,Jacob Richey
0,Adam Koehler
0,Alex Zha
0,Kyle Marquis
0,Kyran Buggy
0,Maxwell Marion
11,Eugene Chong
16,Ricky Davis
19,Joe McMinn
31,JB Smith
39,Raymond Li
51,Jamie Kalb
55,Kosuke Hasegawa
86,Jordan Seaberg
99,Brendan Mackel
b,r,e,a,k
OC Crows,11
teamInfo,,"Irvine, California",https://www.instagram.com/crowsultimate/,,
coaches,Jacob Walsh
0,Brandon Howell
0,Christian Go
0,Christopher Reichel
0,Isaac Hsu
0,isaiah hernandez
0,Isamu Kawaguchi
0,Jack Denk
0,Lukmanafis Babajide
0,Mahmoud Morsy
0,Nathan Leslie
0,Shun Iwata
0,Spencer Sih
0,Tomas Fong
0,Trevor Walker
0,Tyler Emig
0,Wayne Lu
0,John Teague
0,Kobi McCracken
2,Cory Yonemura
3,Jacob Walsh
9,Liam Bestian
26,Zack Renick
31,Ethan Falat
42,Jacob Baumer
b,r,e,a,k
PowderHogs,14
teamInfo,,"Salt Lake City, Utah",,,https://twitter.com/powderhogs
0,Dakota Briggs
04,Hayden Lyu
10,Maxim Rassoul-Agha
13,Eli Wolk
17,Scott Grimm
18,Zachary Hillard
20,Russ Barr
21,Trong Nguyen
22,John Mismash
24,Matt Fredrickson
26,Forrest Vargyas
27,Sean Stackhouse
28,George Voellinger
29,Dominic Padilla
33,David Peterson
36,Thomas Harward
37,Aiden Coutin
42,Zak Diana
45,Nate Reavy
54,Mike Merzel
55,Carter Franklin
71,Lucas Reavy
77,Patrick Eikens
82,Andrew Elliott
97,Phineas Johnson
b,r,e,a,k
Anchor,19
teamInfo,,"San Francisco, California",,,
0,Daniel Heynen
0,Declan Cambey
0,Douglas Perez
0,Enoch Wang
0,Francisco Echavarria
0,Jack Noymer
0,Jasper Ward
0,Jonah Yee
0,Luke Billingsley
0,Micah Ward
0,Paul Gibbs
0,Robert  Ward
0,Tim Doan
0,Alexander Shim
0,Alexander Hopp
0,Brian Tripoli
0,Zev Gorfinkle
35,Byron Head
42,Charlie Tian
99,William Tang
b,r,e,a,k
Drought,13
teamInfo,,"Phoenix, Arizona",,,https://twitter.com/DroughtUltimate
02,Thomas Verner
07,Tymur Vidyakin
08,Dustin Udall
09,Joshua Saad
10,Jeremy Harris
11,Kris Kaufman
12,Ethan Gaiser
13,Sam Dreyfuss
16,Braden Distel
17,Alex Van Der Geest
21,Brendan Carriel
21,Connor Garrison
22,John Kuchachik
22,Andrew Ishikawa
23,Harrison Tucker
27,Cohen Nelson
30,Michael Simeone
31,Kellen Potocsnak
33,Phillip Samuels
43,Nicholas Kelly
49,Jake Hadziev
80,Paul Otto
86,Mark Mendelevitz
99,Adam Whitton
b,r,e,a,k
Sundance Kids,12
teamInfo,,"Provo, Utah",,,
0,Aleksei Felt
0,Brock Jensen
0,Evan Miller
0,Hunter Johnson
0,Jacob Boyce
0,Landon Walters
0,Mason Gordon
0,Matt Jamison
0,RJ Christensen
0,Ryan McCready
0,Jared Sorensen
0,Joshua Rust
0,Koven Card
0,Cade Barnes
1,Alex Merrifield
3,Kysen Lyons
5,Sam Pugh
5,Tate Laker
19,Zachary Saetrum
21,Devin Lewis
23,Trevor Kelley
23,Bryce Kerr
52,James Spencer
67,Benjamin McBride
b,r,e,a,k
Choice City Hops,20
teamInfo,,"Fort Collins, Colorado",,,
0,Amit Patel
0,Cole Turner
0,Daniel Lucas
0,Jackson Turner
0,Jonathan Bast
0,Nolan Pardyjak
2,Carl Matysek
9,Matt Standen
12,Andrew Statz
13,Alfredo Macha
16,Matthew Schoenwald
20,Grayson Ries
28,Brennan Reeves
34,Ben Moody
50,James Ross
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Shrimp,Green River Swordfish,12,3,"08/17/2024, 10:45",Pool A,Final
ISO Atmo,OAT,6,8,"08/17/2024, 10:45",Pool A,Final
Shrimp,OAT,13,6,"08/17/2024, 16:15",Pool A,Final
ISO Atmo,Green River Swordfish,12,8,"08/17/2024, 16:15",Pool A,Final
pool,Pool B
Fungi,Brawl,11,5,"08/17/2024, 10:45",Pool B,Final
Switchback,Hazard,4,7,"08/17/2024, 10:45",Pool B,Final
Fungi,Hazard,13,11,"08/17/2024, 16:15",Pool B,Final
Switchback,Brawl,13,9,"08/17/2024, 16:15",Pool B,Final
pool,Pool C
Fat Stacks,Nighthawk,11,13,"08/17/2024, 09:00",Pool C,Final
Riverside,Nighthawk,10,5,"08/17/2024, 10:45",Pool C,Final
Riverside,Fat Stacks,13,0,"08/17/2024, 16:15",Pool C,Final
pool,Pool D
Carbon,Battery,13,8,"08/17/2024, 09:00",Pool D,Final
Sawtooth,Battery,8,5,"08/17/2024, 10:45",Pool D,Final
Sawtooth,Carbon,13,2,"08/17/2024, 16:15",Pool D,Final
pool,Pool E
PowderHogs,Anchor,13,3,"08/17/2024, 09:00",Pool E,Final
OC Crows,Anchor,13,1,"08/17/2024, 10:45",Pool E,Final
OC Crows,PowderHogs,13,11,"08/17/2024, 16:15",Pool E,Final
pool,Pool F
Drought,Choice City Hops,13,7,"08/17/2024, 09:00",Pool F,Final
Sundance Kids,Choice City Hops,10,7,"08/17/2024, 10:45",Pool F,Final
Sundance Kids,Drought,11,12,"08/17/2024, 16:15",Pool F,Final
b,r,e,a,k
clusters,Crossover
cluster,3rd place pool finishers
Fat Stacks,Anchor,13,7,"08/17/2024, 18:00",,Final
Battery,Choice City Hops,10,9,"08/17/2024, 18:00",,Final
Fat Stacks,Choice City Hops,0,0,"08/18/2024, 08:30",,Scheduled
Battery,Anchor,0,0,"08/18/2024, 08:30",,Scheduled
b,r,e,a,k
brackets,Brackets
bracket,Championship
Shrimp,Brawl,0,0,"08/18/2024, 08:30",Quarters,Scheduled
Hazard,ISO Atmo,0,0,"08/18/2024, 08:30",Quarters,Scheduled
Fungi,Riverside,0,0,"08/18/2024, 08:30",Quarters,Scheduled
Switchback,OAT,0,0,"08/18/2024, 08:30",Quarters,Scheduled
Shrimp,Nighthawk,13,9,"08/17/2024, 18:00",Pre-Quarters,Final
Brawl,Sawtooth,12,11,"08/17/2024, 18:00",Pre-Quarters,Final
Hazard,PowderHogs,13,4,"08/17/2024, 18:00",Pre-Quarters,Final
ISO Atmo,Drought,13,8,"08/17/2024, 18:00",Pre-Quarters,Final
Fungi,Carbon,13,7,"08/17/2024, 18:00",Pre-Quarters,Final
Green River Swordfish,Riverside,10,12,"08/17/2024, 18:00",Pre-Quarters,Final
Switchback,OC Crows,13,8,"08/17/2024, 18:00",Pre-Quarters,Final
OAT,Sundance Kids,13,4,"08/17/2024, 18:00",Pre-Quarters,Final
bracket,Third
bracket,Fifth
bracket,Seventh
bracket,Ninth Place
Nighthawk,Sawtooth,0,0,"08/18/2024, 08:30",9 Qtrs,Scheduled
PowderHogs,Drought,0,0,"08/18/2024, 08:30",9 Qtrs,Scheduled
Fungi,Green River Swordfish,0,0,"08/18/2024, 08:30",9 Qtrs,Scheduled
OC Crows,Sundance Kids,0,0,"08/18/2024, 08:30",9 Qtrs,Scheduled
bracket,13th Placement #1
bracket,13th Placement #2
bracket,Eleventh
bracket,Fifteenth #1
bracket,Fifteenth #2
b,r,e,a,k
