TCT Elite-Select Challenge 2024,Club - Men ,17,8,2024
Indianapolis,IN,2024-08-17,2024-08-18
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2024/schedule/Men/Club-Men/
Doublewide,1
teamInfo,,"Austin, Texas",https://wellnasty.com/,https://www.facebook.com/DoublewideTX/,https://twitter.com/doublewidetx
0,Evan Swiatek
0,Gavin Babbitt
0,Hayden Stone
0,John (Jack) Dowling
0,Mason Zetsch
0,Matt Chambers
0,Noah Powell
0,Saaketh Palchuru
2,Jacob Kaplan
4,Samuel Morrall
5,Jacob Radack
9,Jackson Potts
10,Xavier Fuzat
10,Owen Smith
16,Timothy Mosher
20,Chase Cunningham
22,Taylor Masterson
33,Aaron Barcio
45,Kade Morris
50,Matthew Armour
88,Duncan Fitzgerald
b,r,e,a,k
Sprout,7
teamInfo,,"Amherst, Massachusetts",,,
b,r,e,a,k
Sub Zero,10
teamInfo,,"Minneapolis, Minnesota",,https://www.facebook.com/Sub-Zero-Ultimate-105463586149513/,
b,r,e,a,k
Tanasi,16
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
b,r,e,a,k
Chain Lightning,2
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
1,Brett Hulsmeyer
2,Austin Taylor
01,Andrew Thai
03,Patrick Earles
05,Michael Fairley
06,Aidan Downey
07,Parker Bray
08,Lukas McClamrock
09,Kenni Taylor
10,Max Thorne
11,Tyler Randall
17,Hayden Austin-Knab
18,Adam Miller
19,Tannon Hedges
20,Jeremy Langdon
21,Coleman Tappero
22,Tanner Robinson
23,Francisco Fernandez
24,Nikos Verlenden
36,Nick Spiva
44,Mike Kobyra
55,Chris Youngblood
83,Michael-Angelo Humm
b,r,e,a,k
Furious George,8
teamInfo,,"Vancouver, British Columbia CA",,https://www.facebook.com/FuriousGeorgeUltimate,https://twitter.com/FuriousUltimate
b,r,e,a,k
Garden State Ultimate,9
teamInfo,,"New Brunswick, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
b,r,e,a,k
H.I.P,15
teamInfo,,"Texas City, Texas",,,https://twitter.com/hip_flatball/
0,Carlos Vargas
0,Casey LeMay
0,Cody Holloway
0,Jess Browder-Long
0,Joe Emery
0,Kolby Janzen
0,Matthew Bierschenk
0,Robert McDonald
0,Robert Lewis
0,Steven Kelly
0,Peter Ngo
0,Alexander Janelle
0,Brendan Keith
2,Matthew Bennett
7,Jordan Taylor
9,Peter Clarke
13,Nash Mock
14,Reid Bacon
18,Kevin Land
25,Sharief Moghazy
30,Mick Walter
37,Travis Carpenter
69,Evan Parizot
b,r,e,a,k
Sockeye,3
teamInfo,,"Seattle, Washington",https://www.seattlesockeye.org/,https://www.facebook.com/SeattleSockeye/,https://twitter.com/SeattleSockeye/
0,Alexander Belfiore
0,Assaf Golan
0,Daniel Chen
0,Geoffrey Tucker Kalmus
0,Jak Lin
0,Jasper Dean
0,Max Ramstad
0,Ocean Hines
0,Parker Howard
0,Shane Worthington
0,Stanley Birdsong
0,Asher Lantz
2,Brice Dixon
5,Elijah Diamond
6,Phil Murray
8,Max Gade
9,Spencer Lofink
15,Garrett Martin
21,Lucas Chen
22,Declan Miller
23,Xander Cuizon Tice
28,Grant Harris
38,Manuel Eckert
66,Ryan Shigley
73,Chackgarin Brown
b,r,e,a,k
Blueprint,5
teamInfo,,"New York, New York",,,https://twitter.com/nyc_blueprint
b,r,e,a,k
Mallard,12
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.facebook.com/mplsmallard,https://twitter.com/mplsmallard
0,Connor Anderson
0,Eli Schaberg
0,Ellis Newhouse
0,Gabriel Jagt
0,Abraham Boardman
0,Alex Tsvetkov
0,Kenji Her
0,Trevor Graham
0,William Johnson
0,Austin Gin
0,Erik Aadalen
0,Joe Bosshardt
1,Ryan Osgar
4,Akos Konkoly
5,Owen Gin
10,Anthony Jirele
13,Josh Kautz
14,Michael Kovash
15,Max  Dehlin
17,Mark Roos
20,Blake Trantina
29,Josh Klane
30,Becker Mathie
71,Nicholas Simonelli
73,Jordan Wright
86,John Helgeson
b,r,e,a,k
Zyzzyva,14
teamInfo,,"Berkeley, California",,https://instagram.com/berkeleyzyzzyva,https://twitter.com/BerkeleyZyzzyva
b,r,e,a,k
Raleigh-Durham United,4
teamInfo,,"Raleigh, North Carolina",https://www.instagram.com/rduultimate/,,https://twitter.com/rduultimate
b,r,e,a,k
Vault,6
teamInfo,,"Hampton, Virginia",,,https://twitter.com/vaultultimate
coaches,Thomas Owen
02,Jarrod Banks
03,Tyler Husband
04,Casey Mann
05,Joseph Dokken
06,Dane Warner
07,Steven Wartinbee
08,Jacky Chung
09,Sean Plunkett
10,Joshua Lightner
11,Peter Mancini
12,Xavier Schafer
13,Gregory Cho
18,Kevin O'Malley
19,Colin McLaughlin
20,David Zimmerman
23,Jacob Loveranes
24,Josh Solomon
25,Torrin Stokes
27,Cal Nightingale
30,Cam Barnhardt
31,Alex Turney
36,David Shields
48,Ryan Weaver
77,Matthew Callen
78,Leo Pierson
98,Kees Humes
b,r,e,a,k
Dark Star,11
teamInfo,,"Eugene, Oregon",http://www.darkstarultimate.com,,https://twitter.com/eugenedarkstar
b,r,e,a,k
Beacon,13
teamInfo,,"Grand Rapids, Michigan",,,https://twitter.com/BeaconUlti
00,Jacob Felton
01,Gabe Ecenbarger
03,Jackson Willits
04,Trevor Polisuk-Balfour
06,Jordan Gabrielse
07,Ryan Lee
08,Cameron Thatcher
11,Michael Mansfield
13,James Baker Jr
14,Sawyer Fil
15,Alex Bertoia
18,Malachi Neil
21,Justin Von Kulajta Winn
27,Colin Fremeau
30,Austin Masselink
32,Elliot Davis
34,Colin Beauregard
35,Mitchell Savage
41,Gregory Moreno
45,Aiden Rudy
51,Joseph Cubitt
54,Aaron Schwieterman
61,Caleb Stanish
81,Alec DenBraber
84,Michael Weber
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Doublewide,Sub Zero,0,0,"08/17/2024, 09:00",Pool A,Scheduled
Sprout,Tanasi,0,0,"08/17/2024, 09:00",Pool A,Scheduled
Doublewide,Tanasi,0,0,"08/17/2024, 10:50",Pool A,Scheduled
Sprout,Sub Zero,0,0,"08/17/2024, 10:50",Pool A,Scheduled
Doublewide,Sprout,0,0,"08/17/2024, 14:30",Pool A,Scheduled
Sub Zero,Tanasi,0,0,"08/17/2024, 14:30",Pool A,Scheduled
pool,Pool B
Chain Lightning,Garden State Ultimate,0,0,"08/17/2024, 09:00",Pool B,Scheduled
Furious George,H.I.P,0,0,"08/17/2024, 09:00",Pool B,Scheduled
Chain Lightning,H.I.P,0,0,"08/17/2024, 10:50",Pool B,Scheduled
Furious George,Garden State Ultimate,0,0,"08/17/2024, 10:50",Pool B,Scheduled
Chain Lightning,Furious George,0,0,"08/17/2024, 12:40",Pool B,Scheduled
Garden State Ultimate,H.I.P,0,0,"08/17/2024, 12:40",Pool B,Scheduled
pool,Pool C
Sockeye,Mallard,0,0,"08/17/2024, 10:50",Pool C,Scheduled
Blueprint,Zyzzyva,0,0,"08/17/2024, 10:50",Pool C,Scheduled
Sockeye,Zyzzyva,0,0,"08/17/2024, 12:40",Pool C,Scheduled
Blueprint,Mallard,0,0,"08/17/2024, 12:40",Pool C,Scheduled
Sockeye,Blueprint,0,0,"08/17/2024, 14:30",Pool C,Scheduled
Mallard,Zyzzyva,0,0,"08/17/2024, 14:30",Pool C,Scheduled
pool,Pool D
Raleigh-Durham United,Dark Star,0,0,"08/17/2024, 09:00",Pool D,Scheduled
Vault,Beacon,0,0,"08/17/2024, 09:00",Pool D,Scheduled
Raleigh-Durham United,Beacon,0,0,"08/17/2024, 12:40",Pool D,Scheduled
Vault,Dark Star,0,0,"08/17/2024, 12:40",Pool D,Scheduled
Raleigh-Durham United,Vault,0,0,"08/17/2024, 14:30",Pool D,Scheduled
Dark Star,Beacon,0,0,"08/17/2024, 14:30",Pool D,Scheduled
b,r,e,a,k
brackets,ESC Championship
bracket,Championship
b,r,e,a,k
brackets,ESC Placement Brackets
bracket,Third Place
bracket,Fifth Place Bracket
bracket,Seventh Place
bracket,Ninth Place Bracket
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
bracket,Fifteenth Place
b,r,e,a,k
