2025 Florida Men's Sectional Championship,Club - Men ,6,9,2025
Orlando,,2025-09-06,2025-09-07
http://play.usaultimate.org/events/2025-Florida-Mens-Sectional-Championship/schedule/Men/Club-Men/
Florida Untied,1
teamInfo,,"Ocala, Florida",https://www.instagram.com/untiedultimate?igsh=MWVmYTJtcDJ2YjB4cQ==,,https://twitter.com/UntiedUltimate
01,Brendan Keith
02,William OBryan
03,Ricardo DeLeon
04,August Specht
05,Justin Montalbano
06,Daniel McNamara
07,Ryan Hiser
08,Jaime Perez
09,Clayton Partlow
10,Michael Arbutine
12,Bradley  Paul
13,Bhagya Patel
15,Dustin Travaglini
18,Jacob Gaines
19,Bodie Cole
20,Joshua Webb
24,Stephen Krajeski
25,Unmil Patel
26,Scott Sakow
28,Ryan Thomas
29,Andy Chiang
32,Jonathan Holladay
53,Wazan Hoshino
55,Moses Jaffa
85,Cody Coates
91,Garrett Knobel
b,r,e,a,k
UpRoar,6
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
0,Bradley Gonzalez
0,Dario Milano
0,Dominic Pawlusiak
0,James Sanders
0,Jon Drawdy
0,Joseph Dininger
0,Kyle Krukowski
0,Mohammed Judeh
0,Roger King
0,Ronald Peterman
0,Russell Paul
0,Sam Bonillas
0,Thomas Kiefer
0,Tyler Hebert
1,Christopher Pitillo
2,Matt Ryan
10,Ryan Watson
11,Dustin McKee
12,Howard Le
15,Donovan Murphy
21,Trevorn Hodge
22,Jacob Lane
29,Acero Liang Li
42,Clayton Marshall
81,Sean Messer
85,Eric Tumelty
b,r,e,a,k
Players Into Serious Sports,7
teamInfo,,"Tampa, Florida",,,
4,Troy Guinther
5,Aidyn Rosochowicz
00,William Cobb
03,Ian Tsubooka
09,Ian Chee
10,Nathaniel Smith
13,Isaiah Garcia
13,Jamal Taylor
13,Adam Wells
15,Derek Babb
17,Nicholas Greenwell
18,Nicholas Kovacs
21,Logan Joy
23,Jason Guerrero
27,Bryce Stalter
27,Shana-Marie Ziegler
30,Ian Filippi
42,Godlove Nkembo
50,Austin VanLoon
54,Tri Do
69,Ryland Kane
73,Paul Dempsey
77,Adam Costello
88,Ian James
90,Maxwell Twitmyer
