AMP Invite,Club - Mixed ,2,8,2025
Philadelphia,PA,2025-08-02,2025-08-02
https://play.usaultimate.org/events/AMP-Invite/schedule/Mixed/Club-Mixed
AMP,1
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
0,Chris Zaleski
1,Robert Roos
2,Ryan Cornelius
3,Rachel Alfano
5,Lindsay McKenna
9,Erica Collin
10,Neena Kashyap
11,Leo Warren
15,Marta Lynch
18,Emily Shields
21,Linda Morse
23,Allan Michel
24,Danielle Walsh
25,Sabrina Bonaci
27,Luke Greenley
33,Will Zamsky
36,Alison Joyce
45,Zoe Costanza
66,Nolan McCloskey
70,Jake Butrica
73,Chelsea Semper
91,Ethan Sarles
99,Eric Nardelli
b,r,e,a,k
Anthem,2
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/profile.php?id=100090895539227&mibextid=LQQJ4d,https://twitter.com/AnthemUltimate/status/1617652961299279872?s=20&t=gFOPhZpWzglqQWxTQUxcTA
coaches,Andrew Creighton
0,Alexis Faccone
0,Christopher Leung
0,Claudia Wang
0,Destiny Lim
0,Jessica  Oh
0,Kaitlyn Harper
0,Margaret Zuelsdorf
0,Nate Harnish
0,Sean McDermott
0,Sesha McMinn
0,Stephanie Creighton
0,Tanner Marshall
0,Trevor Collins
0,Warner Brockman
5,Jack Engle
10,Elias White
11,Isabella Wahl
12,Shai Brown
18,Stacy Lu
29,Jesse Moore
42,Tanner Lee Gesell
73,Mark Flores
b,r,e,a,k
Grand Army,3
teamInfo,,"Brooklyn, New York",https://linktr.ee/grandarmyultimate,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
1,Martin Bustamante
2,Antonio Brewer
3,Zella Sahar
5,Emily Wang
6,Jae Lee
8,Benjamin Zhu
9,Yvonne Tang
10,Connor Chin
11,Mark Gazzerro
12,Thomas Wu
13,Dena Behar
14,Kayla Seeger
15,Ella Park-Chan
19,Pasta (Max) Weiler
20,Emily Harris
24,Hannah Gmach
26,Sonia Amaya O
27,Geoffrey Zheng
28,John Watters
32,Kate Nelson
33,Lily Gould
41,Dylan Leitner
73,Gavin Zhao
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
AMP,Grand Army,15,8,"08/02/2025, 10:30",Pool A,Final
Anthem,Grand Army,15,8,"08/02/2025, 12:15",Pool A,Final
AMP,Anthem,15,12,"08/02/2025, 14:00",Pool A,Final
b,r,e,a,k
