Cooler Classic 36,Club - Mixed ,16,8,2025
Milwaukee,WI,2025-08-16,2025-08-17
https://play.usaultimate.org/events/Cooler-Classic-36/schedule/Mixed/Club-Mixed
No Touching!,1
teamInfo,,"Twin Cities, Minnesota",,,https://twitter.com/notouchingult
0,Alex Kensgaard
0,Alyson Gagner
0,Arthur Harris
0,Brenna Sund
0,Kathryn Cleveland
0,Katie Godfrey
0,Patrick Cashman
0,Rebekah Swanson
0,Roberto Caballero Jr
1,Jeffrey Trosvig
4,Andrew Lawrence
4,Tony Michaelson
5,Daniel Schultz
7,Jeremiah Gagner
8,Alison Ling
9,Tyler McKean
16,Lindsay Trosvig
17,Kristina Golling
17,Taylor Van Oosbree
33,Jaime Glader
41,Jenni Konigsburg
44,Sarah Meckstroth
78,Jeremy Keiser
88,Patrick Jensen
96,Brian Edgerton
97,Megan Asturias
b,r,e,a,k
Toast!,11
teamInfo,,"Grand Rapids, Michigan",,https://www.facebook.com/toastultimate/,https://twitter.com/toastultimate
2,Nicholas Paternoster
3,Jesse Cwengros
5,Connor Concannon
7,Audrey Jesue
11,Stephanie Heger
12,Grace McGlynn
13,Anniken Holm
14,Norah  DeYoung
15,Jaidyn Choi
16,Megan Isherwood
19,Quinn Garner
23,Laura Lyons
24,Tessa Williams
25,Collin Hill
27,Lillian Mattern
30,Austin Masselink
33,Tillie Fagan
36,John Akers
54,Aaron Schwieterman
60,Connor Wozniak
61,Ryan Fattal
64,Stephen Grondin
66,Xiao Chen
88,Andrzej Porter
98,Logan Kroczaleski
b,r,e,a,k
Bird,4
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
0,Rachel Katzovitz
1,Grace Milhaupt
4,Katherine Wilmes
5,Benjamin Fjetland-Souza
6,Lucas Bulger
9,Eva Clements
11,Nora Mitchell
12,Aidan Clements
13,Nolan Bessler
15,Ella Mullin
17,Katie Fan
18,Ryan Harvey
19,Eva Fischer
23,Molly Watson
24,Nathan Phillips
27,Isabel Clayter
27,Josh Yira
30,Leona DeRango
33,Jacob Markus
34,James Briscoe
38,Noah Johnson
39,Adelaide Mahler
40,Rebekah Reason
44,Jonathan Lovagnini
73,Jordan Wright
96,Max Hanscom
b,r,e,a,k
Steamboat,3
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://x.com/cincysfb
01,Meg Zeng
03,Lauren DeMarks
04,Michael Horner
05,Ryan Gorman
10,Brennan Nelson
13,Kristin Baxter
14,Kyle Romard
15,Nicholas Kaiser
16,Elizabeth Burkhardt
17,Elsa Mabey
21,Julia Desrosiers
22,Brittany Winner
23,Jade Link
28,Jeff Haney
29,Jocelyn Palyo
42,Zach Thompson
44,Landon Sagle
48,Ryan Grabowski
50,Ryan Walker
51,Zion Oh
54,Jacob Fields
59,Maple Adkins-Threats
70,Carter Malott
72,Jake Montgomery
78,Aidan Stevens
88,Samantha Montgomery
b,r,e,a,k
Fatal Attraction,6
teamInfo,,"Omaha, Nebraska",,,
0,Brad Ashley
0,Thomas Sitorius
1,Emily Anderson
2,Luke Walsdorf
3,Sean Rock
4,Richelle Rock
7,Isaiah  Moore
8,Grant Maynard
9,Ellie Stone
12,Christa Fisher
14,Shania Hass
16,Andy Woolard
17,Min Sze Ewe
18,Cassi Vallis
19,Stewart Buckley
23,David Forsyth
27,Cat  Henning 
30,Aaron Bowles
31,Michaela Ott
32,Nicole Lenczowski
55,Derek Vallis
77,Kayla Anderson
87,Reid Sindelar
b,r,e,a,k
Frostbite,8
teamInfo,,"Milwaukee, Wisconsin",https://linktr.ee/frostbiteult,https://www.facebook.com/FrostbiteUlt/,https://twitter.com/FrostbiteUlt
0,Joseph Blankenheim
02,Oliver Rytman
03,Carly Serketich
04,Jason Moens
05,Andrew Sheehan
07,Jared Peyer
08,Charlette Peyer
09,Hayes Barry
13,Taylor Jacobsen
14,Jeff Schubert
15,Aubrey Motherwell
16,Claire Lo
17,Yvonne Heller
18,Belle Vining
20,Lauren Gilmartin
21,Peter Kuenzle
22,Alicia Sprecher
27,Kensington Naze
28,Allison Garza
30,Tyler Ignatowski
34,Grant Wagner
36,Lilliana Ruggini
42,Daniel Burss
83,Noah Katz
99,Riley Johnson
b,r,e,a,k
Northern Comfort,9
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
9,Joshua Wilson
01,Elliott Blackburn
03,Jeanluc Rivas
05,Robbie McChesney
06,Allison Neumann
07,Matt Maksimoski
08,Rozelynn Becker
11,Hanna Leight
12,Mackenzie Carpenter
14,Jackson Seltzer
14,Finwe Wiedenhoeft
15,Josephine Strauss
18,Asa Hatcher
19,Ryan Waller
22,Max Carpenter
24,Andrew Fischer
27,Ben Hanson
28,Liam VandeZande
47,Olivia Casper
51,Hayden Kozmer
77,Peyton Miller
80,Easton Dobson
87,Leann Malenke
99,Amanda Bartz
b,r,e,a,k
Columbus Chaos,16
teamInfo,,"Columbus, Ohio",,,https://twitter.com/cbusmixed/
0,Jacob Rathjens
0,Lucas Antoszewski
0,Mary Doherty
0,Xena Vilevac
2,Nick Becker
2,Clark Seese
6,Jordan Morrison
7,Mark Fedorenko
7,Alizah Barker
8,Haleigh McDougal
14,David Butz
17,Sky Gill
20,Ian Vilevac
21,Rachel Hasseltine
22,Haley Morman
23,Ryan DeGeeter
23,Walker Branson
31,Chetan Gomatam
44,Chelsea Ardle
55,Carter Limbert
69,Cat Turney
72,Shane Spiegel
73,Adam Zinkon
95,Allyson Perkins
98,Brian Griffiths
99,Christian Colon
b,r,e,a,k
Stackcats,18
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,@stackcatsultimate
0,Alicia Skulsky
0,Alyson Prom
0,Anthony Oplawski
0,Benjamin Golz
0,Caden Canavan
0,Daniel Lore
0,Haili McConnell
0,Isaiah Cochran
0,Jocelyn Gonzalez
0,Joseph Roarty
0,Lauren Levinson
0,Matthew Mayorga
0,Mia Fischel
0,Monica Oplawski
0,Rachel Hunt
0,Ryan Kantor
0,Valentina Flores
3,Frank Ontaneda
12,Vanessa Tran
14,Dennis Gisler
14,Claire Szilagyi
17,Daniel Grosch
24,Dylan Mcgarr
26,Matthew Golz
30,Ryan Shore
37,Carolina Szoepe
b,r,e,a,k
The Chad Larson Experience,23
teamInfo,,"Ames, Iowa",https://clx-ultimate.com,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Ben Masterson
0,Charlie Hubbard
0,David Dalton
0,Emily Wilson
0,Jayna Wanamaker
0,Kaitlyn Gehrels
0,Kate Blankenship
0,Lucy Leither
0,Michael Stevens
0,Peter Rethwisch
2,Logan Grothus
6,Tara Lamb
11,Jacob Badger
13,Evan Ford
14,Cole Davis
14,Taylor Hanson
15,Marissa Lyon
20,Rebecca Crown
22,Nick Culver
28,Alex Gustafson
41,Brian Goode
69,Jacob Thomae
71,Dayton Wright
99,Kaira Carter
b,r,e,a,k
Arms Race,24
teamInfo,,"Iowa City, Iowa",,,
0,Nathan Bielecki
0,Sumner Wallace
3,Max Swinton
7,James Hean
8,Jordan Keller-Wilson
10,Tony Abdel-Malek
