Lehigh Valley Invite,Club - Mixed ,2,8,2025
Allentown,PA,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Lehigh-Valley-Invite/schedule/Mixed/Club-Mixed
UNION,1
teamInfo,,"Toronto, Ontario CA",https://www.instagram.com/union_ultimate/,,
coaches,Warren Tang
0,Jonathan (Caden) Markle
0,Jeff McClelland
0,Leah Tackaberry-Giddens
0,Rhea Palmer
2,Ryota Udo
3,Daiana Spataru
4,Devan Pearson
6,Sarah Burke
7,Jacqueline Man
8,Emilija Rudzitis
11,Nelson Le
12,Thomas Panayiotopoulos
13,Kelsi Mallany
20,Kira Cheer
20,Ian Hanson
22,Samantha Mok
23,Eelavan Jeevarajah
24,Jamee Nepom
66,Mackinley Szumlanski
71,Bryan Yue
81,Kathleen McMullen
96,Oren Binnun
b,r,e,a,k
Farm Show,8
teamInfo,,"Harrisburg, Pennsylvania",,https://www.facebook.com/farmshowulti,
0,Abigail Maguire
0,Kenny Johns
00,Lily Nong
00,Maggie Conklin
00,Marissa Palumbo
00,Matt Burkhead
00,Meg McCracken
00,Tylee Stauffer
00,Zachary McIntire
00,Zachary Sizemore
00,Zack Hunsberger
00,Ashlynn Jimenez
00,Brianna Smith
00,Brittney Brown
00,Ethan Krokonko
00,Evan Novacek
00,Gloria Boronow
00,Isaiah Herr
00,Jake Ritchey
00,Jeremy Mack
00,Jordan Roof
00,Spencer Whitcomb
00,Theresa Diffendal
02,Thomas Preston
43,Nicholas Diehl
b,r,e,a,k
Mashed,9
teamInfo,,"Syracuse, New York",,,
0,Ancilla Marie Inocencio
0,Andre Short
0,Andrew Gotham
0,Bailey Moorhead
0,Braden Santaguida
0,Adam Rigdon
0,Adelaide Sprague
0,Cianna Burr
0,Ethan Beardsley
0,Nadia Stojanovski
0,Sara  Kronenberg 
0,Sean O'Malley
0,Sofia Sinta
0,Tim  Ha
1,Danielle Dattler
9,Brian Guntharp
22,Maddie Muckey
27,Jeremy Klein
35,Alex Blomfield
47,Martin Sak
69,Joey Marzocchi
b,r,e,a,k
Heavy Flow,16
teamInfo,,"Columbia, Maryland",,https://www.facebook.com/heavyflowulti/,https://twitter.com/heavyflowulti
0,Dani Haverkamp
0,Ellen Rauck
0,Evan Comisac
0,Grace Mazur
0,Jarod Kuether
0,Kensey Katz
0,Liliana Daugherty
0,Sean Hill
0,Winnie Yang
5,Stephen Nichols
6,Molly Fisher
7,Larissa Sakaria
7,Sean Walsh
8,Allison Woodring
11,John Buell
12,Sai Priyatam Tayi
13,Brandon Turnbaugh
15,Marissa Hauser
20,Noah Wallack
22,Lemuel Sun
35,Adam Weingast
39,Christina Pannullo
42,Heather Wenz
88,Justin Chu
b,r,e,a,k
Jumbo Slice,10
teamInfo,,"Washington, District of Columbia",https://t.co/YsrsJQD7yb,,https://twitter.com/jumbosliceulti
coaches,Joe (Peanut) Dweck
0,Araba Tawiah-otoo
0,Ian Decker
0,Isabella Burns
0,John McGrath
0,Katherine deCourcy
5,Micah Rothkopf
7,Joshua Simpson
01,Shawna Zielstorff
05,Grant Kunkel
06,Luke Pascale
10,Conor Tidgewell
14,Joshua Bransford
15,Kylie Auble
16,Charlotte Lin
18,Jade Salamey
21,Matt McGoogan
25,Grace Sisel
32,Sasha Frank-Stempel
34,Lexi Robbins
42,Madalyn  Sica
43,Jake Rovner
45,Erin Kemp
63,Jon Pressimone
84,Daniel Friedman-Brown
87,Carl Johnson
b,r,e,a,k
HVAC,7
teamInfo,,"Washington DC, District of Columbia",,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
0,Ayla Volante
0,Ben Frattini
0,Ellie Ngo
0,Erica Yee
0,Helen Turvene
0,Josh Levin
0,Julian Delamaza
0,Karen Shim
0,Krista Woodward
0,Patrick Kenney
0,Paul Taylor
0,Levi Crossan
0,Maya Collins
0,William Strang
11,Emily Andre
17,Landrum Beard 
18,Has Bhatti
20,Sean Mizoguchi
23,Jonathan Tiernan
24,Eleni Kauffman
24,Zuzanna Rybicka
27,Nora Wagner
27,Tyler Coleman
28,Kyle Duffy
29,David Leibert
42,KiKi Kenneally
b,r,e,a,k
Funk,2
teamInfo,,"Newburgh, New York",,https://www.facebook.com/HudsonValleyFunk/,https://twitter.com/HVFunk
0,Matt Latvis
01,Isaiah Casiano
02,Allison Case
03,Melissa Torchio
04,Meta Learey
05,Patrick Voorhees
07,Isabelle Vandamme
10,Robert (Bobby) Owens
11,Lily Anninger
12,Jasper Smith
14,Anastasia  Mamkin
15,Kriti Arunkundrum
17,Liam McCarthy
19,Cheyenne Mallo
24,Jordan Acker
30,Ava Harnick
32,Christopher Losapio
33,Alexa Gwyn
36,Lindsay Ork
41,James  O'Connell
43,Sam Pastore
44,Ari Solomon
47,Lucas Murphy
80,Christina Chin
88,Christina Farrell
99,Zachary Schiff
b,r,e,a,k
NY Swipes,15
teamInfo,,"New York, New York",http://www.swipesultimate.com,https://www.facebook.com/swipesultimate/,https://www.twitter.com/swipesultimate
0,Aimee Teplitskiy
0,Alana Hughes
0,Allie Hinsberg
0,Allie Mundis
0,Brian Oluwo
0,Chris Pliszak
0,Clarence Huang
0,Annie Brandstrade
0,Julie Ha
0,Laura Jowett
0,Marisa Schwartz
0,Patrick Sheil
0,William Xu
0,Wilson Chen
0,Wing Huen (Megan) Shing
9,Samuel Butler
13,Antonio Valentin
21,Benjamin Korman
23,Everest Shapiro
41,Luke Holtzman
54,Anna West
69,David Wingate
b,r,e,a,k
Jughandle,3
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
0,Cara Silvestri
0,Cole Stevens
0,Damon Luk
0,Marissa Coolidge
0,Maya Karl
0,Philip Iaccarino
0,Philip Aufiero
0,Robert Altieri
0,Jana Graham
0,Janet  Ro
0,Jason Schwartz
0,Jeffrey Zhou
0,Kate Witzgall
0,Vedant Sachdeva
8,Alex Greene
9,Gerard Bryson
9,Dean Klimek
9,Ryan Lee
9,Sam Gilden-Weiner
10,Ayaaz Versi
10,Benish Benjamin
17,Eileen Peach French Regan
30,Jadin Stoffel
36,Tanner Yuhas
41,Kalea Dodge
97,Kelly Skewis
b,r,e,a,k
Delabear,14
teamInfo,,"Wilmington, Delaware",,,
0,Andrea Anger
0,Chor In Lam
0,Dan Graham
01,Angela Campanella
02,Jillian Cohen
03,Eric Hoover
04,Dustin Damiano
05,Rory Smith
06,Jessica Brand
07,Caitlin Gleason
09,Steven Broome
10,Ryan Dealy
12,Rachel Owrutsky
13,Hunter Weibley
14,Matt Reenstra
15,Graham Coughlin
16,Jonathan Cohen
17,Elise Colomb
20,Andrew Klarner
22,Hailey Braunstein
24,Alice Laughlin
26,Suzanne Sirianni
27,Patrick Shannon
32,Jeffrey Andrews
42,Catherine Mollmann
b,r,e,a,k
FLI,6
teamInfo,,"Long Island, New York",https://discny.org/t/fli-1,https://www.facebook.com/FLIultimate,https://twitter.com/fliultimate
0,Aaron Damsky
0,Aistis Boertje
0,Anna Jao
0,Charlotte Pearlman
0,Christopher Kizis
0,Grace Aderibigbe
0,Joseph LaMacchia
0,Julia Mills
0,Dustin Wall
0,Matthew Lemar
0,Matthew Nieto
0,Nicole Luparello
0,Thomas Graham
0,Toniann Guerreiro
0,Tristan Morlock
0,Meghan Grimes
4,Mira Sherif
9,Laura Marrin
9,Avery Girsky
21,Christopher Cabot
31,Collin Bartoldus
46,Elizabeth Kuzman-McRae
54,Daniel Stern
67,May Patino
b,r,e,a,k
Spice,11
teamInfo,,"Charlottesville, Virginia",,,https://twitter.com/SpiceUltimateVA
0,Chloe Schueman
0,Christopher Messmore
0,Andrew Kennedy
0,Elisabeth Doty
0,Emma Colavincenzo
0,LeeAnn Dempsey
0,Lynn Mandeltort
0,Nicolas West
0,Olivia Bearman
0,Parham Ghassemi
0,Phillip Johnson
0,Ray Varner
0,Jaxon Boudreau
0,Josh Rosenberg
0,Ryann Boudreau
0,Sabrina Combs
0,Tristan Shafer
3,Franklin Ahrens
7,Joseph Terrana
24,Christopher Letai
25,Katelyn Birchfield
31,Ben Aunins
40,Dyon Vega
47,Rhiannon Begley
b,r,e,a,k
Buffalo Lake Effect,4
