Monument Melee 2025,College - Men ,22,2,2025
Washington DC,DC,2025-02-22,2025-02-23
https://play.usaultimate.org/events/Monument-Melee-2025/schedule/Men/CollegeMen/
George Mason,1
teamInfo,Meteors,"Fairfax, Virginia",,https://www.instagram.com/georgemasonultimate/,https://twitter.com/MasonUltimate
0,Matt Thomas
01,David Thornton
02,Eli Zhowandai
04,Jackson Meakins
06,Asad Merchant
09,Jack Maly
12,Alexander Cullen
13,Gabe Brinza
14,Cole McDonald
15,Lincoln Buethe
17,Alexander  Parish
19,Joshua Lightner
21,Samuel Fitzhugh
22,Shuba Barua
23,Olivia Arellano
24,Sean Perdue
25,Nolan Smith
27,Cameron McKay
32,Andrew London
35,Sean Riehman-Murphy
36,Alonzo Mendoza
69,Gavin  Buckowski
77,Gabriel Fulwood
99,Tyler Eom
b,r,e,a,k
Johns Hopkins,4
teamInfo,Dangerzone,"Baltimore, Maryland",http://jhudangerzone.com,https://www.facebook.com/Dangerzone-Johns-Hopkins-University-Ultimate-180573762009844,https://twitter.com/dangerzoneulti
01,Abel Widiss
03,David Sullivan
04,Jed Cohen
07,Daniel Naiman
08,William Song
10,Tyler Lehrfeld
11,Ishmeal Lee
13,Aviel Rosen
14,Collin Gonzales-Tapley
18,Julian Ching Hei Chow
22,Alan Chen
23,Travis Tran
24,Rui do Rosario
26,Gene Weng
28,Martin Thierry Geissinger
31,Josiah Power
34,Jackson Guo
42,Andy Wang
50,Caleb Mahle
77,Jayvik Joshi
99,Patrick Li
b,r,e,a,k
Maryland-Baltimore County,5
teamInfo,Booya,"Baltimore, Maryland",,https://www.facebook.com/BooyaUltimate/?ref=bookmarks,https://twitter.com/UMBCUltimate
0,Antonio Lazzaro
0,Benjamin Choe
0,Brandon Yackulak
0,Ethan Dudash
0,Gavin Carson
0,Johann Bacarisas
0,Jonah Rubenstein
0,Michael Hauf
0,Noah Larsen
0,Stephan Yoseph
0,Trevor Stepp
0,William Simon
1,Benjamin Guest
7,Ethan Pollock
8,Cary Gerhardt
9,Patrick Corkum
21,Alan Nguyen
33,Luke Maloy
43,Joseph Chastain
77,Samuel Du
79,Ethan Au
b,r,e,a,k
Virginia Commonwealth,8
teamInfo,Biscuit Villains,"Richmond, Virginia",,,https://twitter.com/vcu_villains
0,David Rocco
0,Eric Dominguez-Martinez
0,Evan Fagen
0,JALIN GORDON
0,Aidan Totten
0,Jason Dresen
0,Matthew Mitrani
0,Morgan Living
0,Selvaganesh Jeyamani
0,Trevor Franklin
0,Korey White
11,Chance  Hollingsworth 
22,Justin Carpenter
27,James White
28,Larkin Steenstra
44,Cole Snavely
69,Liam Dunn
b,r,e,a,k
East Carolina,3
teamInfo,Irates,"Greenville, North Carolina",,https://www.facebook.com/ECUUltimateFrisbee,https://twitter.com/ECUUltimate
0,Tanner Plentl
6,Connor Rowand 
01,Elliot Meyer
02,Nick Carter
04,Blake Bostic
05,Terrence Johnson
08,Connor Wood
10,Aaron Gregory
14,Isaiah  Faulkner
19,Quinn Scott
22,Alexander Solimene
23,Kaden Labor
28,Emory Petro
29,Joseph Laliberte 
45,Colton Atkinson
55,Daniel Scalf
69,Nathan Hecht
72,Deashawn Taylor
97,Stephen Gregg
b,r,e,a,k
George Washington,6
teamInfo,George Washington Men’s Club Ultimate,"Washington, District of Columbia",,,https://twitter.com/Gdub_Ultimate
coaches,Jackson Gode,Bridgette Heine
0,Alexander Winnett
1,Levi Crossan
2,Ben Brown
3,Connor Walsh
4,Joshua Lench
6,Keaton Dudley
9,Jonah DiGiacomo
11,Koen Kyer
12,John Ronel
15,Raphael Kellner
17,Evan Campbell
18,Lucas Lesburg
22,Zachary Brody
23,Charles Walters
24,Daniel Davis
25,Myles Wasserman
27,Travis Lee
28,Moses Mann
30,Maxwell Katz
32,Chris Briggs
37,Dill Eisendrath
56,Mason Levitt
78,Eytan Carolan
83,Thomas Dillon
b,r,e,a,k
American,7
teamInfo,Stall 11,"Washington, District of Columbia",http://www.americanultimate.com/main-site#!__main-site,https://www.facebook.com/stall11,twitter.com/AU_Ultimate/
0,Ara Rosenhyslop
0,Asher  Rosen
0,David Baron
0,Dru Dunn
0,James Dietterich
0,Jason Berchuck
0,Miles Hahn
0,Moses Weitzman
0,Nathan Hardaway
0,Noam Kelner
0,Paul De Bord
0,Solomon Katz
0,Julian Delamaza
0,Thomas Brown
1,Theodore Odom
6,Elliot Gerlach
7,Avi Paulson
12,Henry Smith
18,David Joubran
22,Joshua Barshay
28,Kyle Duffy
55,Jacob Pellett
71,Felipe Dombkowski
b,r,e,a,k
Villanova,2
teamInfo,Main Line Ultimate,"Villanova, Pennsylvania",http://villanovaultimate.weebly.com,,https://twitter.com/VUMainLine
02,Nicholas Guenther
04,David Pinkowsky
05,Conner Morris
06,Tommy Cruz
07,Ryan Murphy
08,Zachary Wagner-Pizza
10,Evan Schwarzmann 
11,Ethan Lewis
13,Evan Stockmal
20,Joseph Kalamarides
21,Jordan Humdy
24,John Boland
26,Nicholas Guillet
27,Carl Soderman
33,Max Allen
34,Peter Texter
39,Jack Tobin
40,Robert Downes
42,Sean Reiner
45,Patrick Gill
75,Ryan Apple
79,Stephen Collins
99,Benjamin Berlin
b,r,e,a,k
Richmond (B),9
teamInfo,Spider Pigs,"Richmond, Virginia",https://sites.google.com/view/richmondspidermonkeys/home?authuser=0,,https://mobile.twitter.com/urspiderpigs
0,Brenton Dolan 
0,Conor Morrisroe
0,Devon Shepherd
0,Eli Amantia
0,Finn Garside
0,Foster McConnell
0,Gabriel Gehtland
0,Garrett Jay
0,Griffin Newhouse
0,Ian Silver
0,Jack Healey
0,Jackson Carbonier
0,Jeyaraj Keeley
0,Kyle Bjornson
0,Owen Smith
0,Ryan Casey
0,Theo Burdick
0,Will Sharpe
23,Ben Edelman
b,r,e,a,k
Georgetown (B),10
teamInfo,Black Squirrels,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,,https://twitter.com/GeorgetownUltiB
0,Benjamin Ralph
0,Kevin Jay Umali
0,Miguel Soares
6,Nicholas Tanzi
9,Andrew Cimmino
11,George Currie
12,Ryan Li
20,Josh Berman
25,Ryan Shea
26,Samuel Arthur
30,Maxwell Bassin
31,Thomas Forbes
35,Michael  Santos 
55,Aymeric Guillemin
73,Gabriel McClure
b,r,e,a,k
American (B),11
teamInfo,Revolution,"Washington, District of Columbia",http://www.americanultimate.com/main-site,https://www.facebook.com/stall11,
0,Amanuel Howard
0,Giacomo Ceccarelli
0,Jamie Hennessey
0,Jonah Kroft
0,Jonathan Gould
0,Liam England
0,Simon Bober
0,Theo Smith
0,Theodore Ames
20,Young Min Miller
22,Kyle Brown
70,James Branning
90,Eli Kerber
97,William Jacobs
b,r,e,a,k
George Washington (B),12
teamInfo,George Washington Men’s Club Ultimate B,"Washington, D.C., District of Columbia",,,https://twitter.com/GDub_B
0,Declan Garvey
0,Erick  Torres 
0,Henry O'Boyle
0,Henry Lin
0,Isaac Adler
0,Marc Battista
0,Alexander Remington
0,Andrew McCoy
0,Spencer Sacks
0,Ty Buffington
0,Yashaswin Shivaprasad
0,Yonah Cohen
0,Benjamin Voliva
8,Andrew Horton
