2026 Vermont Invite,Club - Mixed ,20,6,2026
Williston,VT,2026-06-20,2026-06-21
https://play.usaultimate.org/events/2026-Vermont-Invite/schedule/Mixed/Club-Mixed
Odyssée,1
teamInfo,,"Montréal, Quebec CA",,https://www.facebook.com/profile.php?id=100064273916081,
0,Catherine Bélanger-Khoury
0,Juliette Sanseigne
0,Jacynthe Fleurant
0,Jonathan Baril
0,Henry Rodriguez
0,Matt O'Brien
0,Lilaya Henriquez
7,Maude Brodeur
8,Sandra Williams
10,Julie Landry
12,Emmanuelle Veci
15,Janick St-Cyr
19,Felix Leonard
22,Christian Mathieu
22,Eric Preseault
26,Caroline Cadotte
37,Emile Philibert
69,Alexandre Dubois
76,Orphée P. Schoofs
88,Zakarie Massi
b,r,e,a,k
Townies,4
teamInfo,,"Ithaca, New York",,https://www.facebook.com/towniesultimate,
0,Annabella Wardle
0,Brian Crimmins
0,Emma Ignaszewski
0,Kevin Tran
0,David Menard
0,Maxwell Majersik
0,Gabriel Curran
0,Meris Goldfarb
0,Sophia Hulbert
0,Yi (Jenna) Li
0,Sofia Taberski
0,Milo Rappoport
0,Tyler Sprague
0,Craig Still
0,Olivia Tarmina
1,Simon Alford
4,Dave Tedeyan
9,Lili Sprague
13,Claudia Miner
19,Elizabeth Lee Johnson
26,Ryan Rockett
77,Sophia Reed
91,Daniel Vandam
b,r,e,a,k
Bench,8
teamInfo,,"albany, New York",,,
coaches,Mitchell Wohl
0,Alon Brown
0,Chris Lavery
0,David Koch
0,Kaitlyn Clay
0,Garrett Clay
0,Mary Fucci
0,Megan Giamei
0,Rebecca Brown-Weinstock
1,Eva Bassallo
2,Jonathan Kelly
3,Michael Ising
5,Nicholas Kochersperger
6,Sam Phippen
9,Antonia Williams
15,Diane Dreifuss
26,Chelsea Leeder
34,Ava Champitto
36,Billy Daniels
74,Ian Daughton
b,r,e,a,k
Zero Strategy,5
teamInfo,,"Burlington, Vermont",,,
0,Abby Ferrara
0,Jon Cox
0,Jordan Kaufman
0,Evan Hollar
0,Jonah Boucher
0,Jack Conant
0,Grace Thompson
0,Michael West
0,Quinn Ledak
0,Maxwell Mirabile
0,Oscar Jacobsen
0,Ruby Opton
0,Sophie Smith
1,Benjamin Weinstein
2,Akash Patel
3,Brenda Hoang
9,Evan Maynard
11,Stephen Donahue
14,Izzy Laramee
15,Sarah Rose
17,Madison Reagan
23,Mariz Mangundayao
30,Anna Purtell
37,Danielle Callard
55,Klara Calderon-Guthe
b,r,e,a,k
Lampshade,9
teamInfo,,"Cambridge, Massachusetts",,,
0,Bobby Lovitch
0,Hannah Laibinis
0,Liz Anusauskas
0,Maya Kalmus
0,Walden Ng
0,Sean Cheng
0,Zoe Colman
3,Kyle Roke
6,Abigail Skerker
6,Justinne Guarin
9,Abe Kielar
12,Cynthia Chang
13,Tomer Poole-Dayan
15,Nicholas Kaiser
17,Robert Shapiro
18,Rachel Swindell
20,Kevin Murphy
21,Emily Wanzer
37,Anna Shorb
39,Victoria Zhang
69,Man Nguyen
72,Joseph Sadok
b,r,e,a,k
Big Rig,2
teamInfo,,"Burlington, Vermont",,,
coaches,Beorn Morrow-Caron
0,Amy Felice
0,Bryce Lublin
0,Evan Benoit
0,Maren Hennessy
0,Max Hemeon
0,Mateo Bolen
0,Maximilian Fontana
0,Willa Morales
0,Nevaeh Parrish
3,Zoe Bishop
3,Nico Gabby
4,Wyatt Smith
9,Meribel Collin
14,Tatum Cubrilovic
15,Layla  Wissink
16,Seamus Dailey
17,Scout Harper
18,Ella Polli
22,Rita Narbonne
23,Nika Rockafeller
28,Declan Kervick
43,Vance Mader
50,Krane Davis
52,Jovan Strange
67,Innocent Ndikuriyo
b,r,e,a,k
Garbage Plates,6
teamInfo,,"Rochester, New York",,,https://twitter.com/gplatesulti?s=17
0,Carolyn Duttweiler
0,Christine Purtell
0,Dan  McCune
0,Dana Dale
0,David Leder
0,Marisa Wilson
0,Ken (KJ) Dziak
0,Kathryn Toffolo
0,Mary  MacAdam
0,Marala Perinpanayagam
0,Sarah Sheldon
0,Tay Harvey
0,William Stone
3,Matt Bandes
4,Matthew Hall
5,Rainier Naylor
9,Marlena Berger
17,Michael Sheldon
17,Skylar Abruzese
20,David Brown
23,Raleigh Haskins
24,Sopheakdey  Bov
24,Maggie MacAdam
32,Timothy Loftus
88,Nate August
95,Peter Carter
b,r,e,a,k
Harfang ultimate,10
teamInfo,,"Saint-Jean-sur-Richelieu, Quebec CA",,https://www.facebook.com/search/top?q=harfang%20ultimate,
0,Allistaire Guertin
0,Cassandre Moreau
0,Catherine Croussette
0,Jacob Gagne
0,Andréanne Fortin
0,Olivier Deschamps
0,Laurent Martin
0,Nathan Pigeon
0,Pascal-Olivier Dumont
0,Sabrina Dumont
17,Philip Corriveau-Pelletier
31,Alexandre Marion
b,r,e,a,k
Darkwing,3
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Adrian Staples
0,Alicia Chang
0,Elle Burstein
0,Conor Dowling
0,Emet Schwartz
0,En Le Samborski
0,Evan Hu
0,Nikki Chang
0,Jacob Arwe
