Cascadia D-I Women's Conferences,College - Women ,11,4,2026
Portland,OR,2026-04-11,2026-04-12
https://play.usaultimate.org/events/Cascadia-D-I-Womens-Conferences-2026/schedule/Women/CollegeWomen/
British Columbia,1
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
coaches,Edward Guo,Jonathan He
0,Mijoo Lee
02,Abigail Grunenberg
03,Claire Weng
05,Kathy Huang
06,Isabella  Lin
07,Noor Al-Tabbaa
08,Samantha Quan
09,Shaelyn Woo
10,Adeline Hui
11,Liza Ng
12,Audrey Nichols
13,Nina Tsai
15,Ella Bolan
17,Elisa  Ekeland
19,Mandy Li
21,Emily Ma
22,Makenzi Basas Harris
23,Grace Liu
27,Phoebe Chen
33,Arisa Gilbert
34,Madoka Wowk
35,Amelie Marshall
36,Bryelle Wong
51,Meagan Chau
73,Jamie Jung
93,Mika Kurahashi
98,Lauren Szeto-Fung
b,r,e,a,k
Oregon,4
teamInfo,Fugue,"Eugene, Oregon",http://oregonfugue.weebly.com/,https://www.facebook.com/Fugueultimate/,https://twitter.com/OregonFugue
coaches,Katherine Wilson,Yausi Khajavei,Angela Lin,Morgan Caldwell
0,Chloe Isaacman
0,Jasmine Tea
0,Meena Shah
0,Molly Talbot
0,Neala Anderson
0,Olive Weyrens
0,Sarah Ross
0,Syris Linkfield
2,Acacia Hahn
3,Shea Lily Whelan
4,Lily Ellsworth Yow
5,Lillian Hodges
10,Nghia Warren
11,Mara Hindery-Glasinovic
12,Cecilia Seldera-Bahnson
13,Anna Carlson
17,Keira Lanegraff
18,Bee Marquiss
21,Samaya Madrone
22,Elizabeth Nelson
23,Brielle Ramsdal
40,Sophia Faucher
72,Ezra Weybright
73,Eli Donohue
92,Michiko Ishii-Magnant
b,r,e,a,k
British Columbia (B),6
teamInfo,Thunderwolves,"Vancouver, British Columbia CA",,,
0,Angelina Yu
0,Anna Koh
0,Emi Benson
0,Emily Yi
0,Grace Uy
0,Juliana Chen
0,Kaia Ho
0,Kaitlyn  Chan
0,Kieran Ferguson
0,Kiyah Cho
0,Lisa Liu
0,Lydia Craemer
0,Madilyn Cantrel
0,Natasha Quan
0,Olivia Atkinson
0,Ore Anibaba
0,Phoebe Chu
0,Stephanie Dai
0,Teagan Nichol
0,Victoria Li
0,Wendi Liu
0,Alicia Hu
27,Michelle Ma
35,Mia Krezeski
