D3 Grand Prix 2026,College - Men ,14,2,2026
Portland,OR,2026-02-14,2026-02-15
https://play.usaultimate.org/events/D3-Grand-Prix-2026/schedule/Men/CollegeMen/
Lewis & Clark,1
teamInfo,Bacchus,"Portland, Oregon",https://www.instagram.com/bacchusultimate/?hl=en,https://www.facebook.com/bacchusultimate/,https://twitter.com/BacchusUltimate?lang=en
coaches,Avery Laliberte
0,Robert Kalnbach
9,Elliot Deleger
01,Orlando Impas
03,Ren Salisbury
04,Charlie Wagner
06,Sam London
07,Zach Hungerford
08,Joniah Helperin-Lange
10,Jonas Kra-Caskey
12,Gianni Caiazzo
13,Finn Sporrer
14,Levi Stahl
15,Henry Dodd
16,Lachlan Myers
18,Eytan Zakai
19,Theodore Peterson
20,Daniel Corbo
21,James Fishman-Morren
23,Aidan McPheeters
24,Benjamin Blackmun
25,Joseph  Woessner
26,Aiden Jacobs
28,Jedidiah Friendly
29,Vincent Allen-Lyons
31,Lorenzo Holben
33,Miles Samant
35,Liam Bass
36,Dustin Berck
60,Uri Boaz
69,Geordie Van Witbeck
82,Kahlil Gould-Bayba
88,Trevor Mills
89,Emery Slothower
99,Jorge Rodriguez
b,r,e,a,k
Carleton College-CHOP,2
teamInfo,Carleton House of Pancakes,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/chop_rocks
0,Owen Montes
0,Max Nelson
0,Henry Horstman Olson
0,Thomas Frazelle
2,Miles Collins
3,Tomomi Perry
4,Nicholas McGlashan
5,Dashiell Brenner
6,Jonah Barer
7,James Texter
8,Andrew Yeh
9,Max Resnik
12,Liam Atkins
13,Julian Kägi
14,William Anderson
18,Benjamin Garcia
19,Jonah Tannen
21,Danny Shope
30,Adam Ali
40,Chris Eppley
42,Linyi Liu
43,Nathan Wang
68,Cameron Dolbow
69,Koa Klose
85,Henry Nieckarz
87,Kyle Dolbow
b,r,e,a,k
Macalester,9
teamInfo,Flat Earth,"Saint Paul, Minnesota",https://macalesteropenulti.weebly.com/,,https://twitter.com/macalesterulti
0,Austin Flatness
0,Brayden Mathias
0,Caleb Bartlett
0,Erik Lindell
0,Kyle Suelflow
0,Sanjeev Sridhar
0,Spencer Hazleton
0,Theo Zuckerman
0,Julian Ricco`
0,David Eduardo Juvera Noriega
0,Matthew Berg
0,Rowan Boyd
0,Xinzhe Li
0,Xander Hall
0,Martin Bernsten
0,Ezra Korn-Meyer
2,Addison Zheng
3,Ezra Cohen
11,Stellah Marienthal-Legendre
14,Andrew Dong
36,Gavin Davis
77,Owen Suelflow
81,Gen Whitelaw
b,r,e,a,k
Whitman,3
teamInfo,Whitman Sweets,"Walla Walla, Washington",,https://www.facebook.com/Whitman-Sweets-Mens-Ultimate-236959183065222/,https://twitter.com/MWhitman_Sweets
0,Colin Pfister
0,Cooper Andersen
0,Daniel Sutton
0,Elan Gorham Siegler
0,Eldon Nichols
0,Eliot Stockman
0,Grant Andersen
0,Hans Frautschi
0,Jay Senstra
0,Benjamin Bell-de Rivera
0,Joseph Weimholt
0,Josiah Holmberg
0,Max Fleming
0,Nico Darringer
0,Owen Alvord
0,Sawyer Linehan
0,Scott Hayes
0,Kjell Peters
9,Brodie Monohan
35,Lyle Hahn
