Grand Rapids Invite 2026,College - Men ,14,3,2026
Holland,MI,2026-03-14,2026-03-15
https://play.usaultimate.org/events/Grand-Rapids-Invite-2026/schedule/Men/CollegeMen/
Wisconsin (B),11
teamInfo,Fauxdags,"Madison, Wisconsin",,,https://twitter.com/FauxdagLove
0,William Noguera
01,Alexander Yu
02,Aidan Garvey
03,Aidan Euclide
12,Allen Lathrop
13,Dimitri Nevers
15,Eli Denenberg
16,Joseph Miller
18,Max Dinkin
26,Elliot Tutaj-Blaz
31,Aaron Casey-Fix
35,Lachlan Barber
45,Adam  Jasensky
52,Patrick Baldinger
64,Jacob Manor
b,r,e,a,k
Central Michigan,12
teamInfo,Chippewas,"Mount Pleasant, Michigan",,,
04,Grant Conger
07,Mason Green
09,Michael Goto
10,Jonathan Coffman
13,Nicholas Borsh
14,Brendan Borsh
16,Henry  Steiner
18,Adam Williams
24,Ben Chmielewski
29,Evan Knechtges
66,Christopher Grant
88,Hayden Chatman
b,r,e,a,k
Eastern Michigan (A),8
teamInfo,Fighting Hellfish,"Ypsilanti, Michigan",,,
0,Braylen Pawluk
0,Brendan Moore
0,Brendan Clancy
0,Collin Henig
0,Evan Bender
0,Robert Cann
0,Sacha Scarabello
0,Seth Furr
13,William Middlin
76,Collin Schoeberlein
b,r,e,a,k
Wisconsin-Milwaukee (B),15
teamInfo,Blizzard,"Evanston, Illinois",https://www.nutultimate.com,,
0,Danish Galebotswe
0,Du Chen
0,Eric Tang
0,Jonathan Wu
0,Nathaniel Allen
0,Raymond Fang
0,Thomas Surridge
12,Tomasz Slusarczyk
36,Owen Handelman
b,r,e,a,k
Luther,13
teamInfo,Elephantitis,"Terre Haute, Indiana",,,http://@rhitultimate
0,Cole Bontrager
0,Emilio Zanovello
0,Evan Pellegrini
0,Gabe  Wood
0,Grant Gusukuma
0,Shawn Riedling
0,Wade Moseley
0,William Baker
0,Zachary Phillips
5,Katherine Fletcher
7,Cale Everroad
15,Alex Carpenter
30,Luca Nicoli
42,Palmer Schmidt
81,Samuel Geelhood
83,Austin Daly
99,Matthew Rudolph
b,r,e,a,k
Michigan State (B),10
teamInfo,LUFDA,"Decorah, Iowa",https://www.luther.edu/mens-ultimate/,https://www.facebook.com/lutherultimate,https://twitter.com/LutherLUFDA
0,Ansel Kowitz
0,Beau Newhouse
0,Carter Sommerness
0,Connor  Sandman
0,Drew Weidemann
0,Huy Nguyen
0,Jackson Loomis
0,Olivia Tainter
0,Peter McBride
0,Riley Sommerfeldt
0,Sean Medcalfe
0,Liam Chamberlain
0,Tanner Peters
0,William Coffey
0,Zachary A Watson
2,Karlton Anderson
13,Muhammad Mughees Akbar Warraich
28,Charles Jetton
32,Liam Edberg
33,Simon McDonald
b,r,e,a,k
Rose-Hulman,14
teamInfo,Elephantitis,"Terre Haute, Indiana",,,http://@rhitultimate
0,Cole Bontrager
0,Emilio Zanovello
0,Evan Pellegrini
0,Gabe  Wood
0,Grant Gusukuma
0,Shawn Riedling
0,Wade Moseley
0,William Baker
0,Zachary Phillips
5,Katherine Fletcher
7,Cale Everroad
15,Alex Carpenter
30,Luca Nicoli
42,Palmer Schmidt
81,Samuel Geelhood
83,Austin Daly
99,Matthew Rudolph
b,r,e,a,k
Northwestern (B),9
teamInfo,Riot Control,"East Lansing, Michigan",,,
0,Andrew Denney
0,Cameron Black
0,Jude Badreddine
0,Mason Dreizen
0,Nathan Hansen
0,Nicklas Geraci
0,Ran Zheng
0,Sam Ebihara
2,Gavin  Gutiérrez
2,Hung Nguyen
4,Callum Mellish
5,Gavin Lee
09,Trenton O'Dea
14,Lucas Venegas Cabrera
18,Tristan Bakker
24,Landon Gardella
41,John Eaton
64,Cameron Dick
81,Finn Weinstein
87,Naythan McKuras
b,r,e,a,k
Davenport,1
teamInfo,Panthers,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,,
coaches,Mike Zaagman
0,Aidan Williams
0,Bryan Lopez-Juarez
0,Connor Lodholtz
0,Connor Concannon
0,Gregory Moreno
0,Ian Neal
0,Juraj Hurny
0,Mikush Malimban
0,Mitchell Savage
0,Noah Schade
0,Noah Callewaert
0,Richard Dragicevich
7,Kai Creed
11,Kale Peterson
11,Jacob Felton
12,Rowan Jamieson
25,Collin Hill
52,Ian VanOrder
77,James Thomas
86,Andrzej Porter
b,r,e,a,k
Wisconsin-Milwaukee,3
teamInfo,Swarm,"Cedarville, Ohio",,,https://twitter.com/cedarvilleuf
3,Austin Hubble
5,Caleb Dyer
6,Leo Bolton
7,Ezra Diggle
8,Gabriel Hieter
9,Blake Douglass
10,Elijah Otto
12,Henry Hedstrand
14,Drew Eachus
15,Jackson Poelzer
22,Gregory Von Eiff
23,Matt Buriok
24,Jacob Milne
25,Andrew Deets
27,Zachary Johnston
28,Tyler Kuhns
31,Matthew  Kilareski
32,Asher Hilden
36,Joshua Hedstrand
41,Liam Herschberger
42,Zachary Milne
51,Josh Kenniv
52,Joshua Shearer
88,Owen Ball
b,r,e,a,k
Cedarville,6
teamInfo,,,,,
b,r,e,a,k
Michigan State,2
teamInfo,ARC,"East Lansing, Michigan",,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
0,Elton Howard
0,Harrison Keathley
0,Hayden Monk
0,Jacob Crosby
0,Jake Adcock
0,Langston King
0,Lucas Wade
0,Marc Canellas-Salles
0,Matteo Capodivacca
0,Noah Sawyer
0,Robert Wisniewski
0,Rocco Barbera
0,Sayato Henney
0,Shane Mclaughlin
0,Spencer Melms
0,Tomokai Timmer
0,Truth Young
0,Turner Strickland
0,Aiden Rudy
0,Alexander Scholl
0,Andrew Crosby
2,Drew Scznsny
32,Elliot Davis
69,Connor Griffin
86,Carter Petzke
