Northwest D-I College Men's Regionals,College - Men ,2,5,2026
Burlington,WA,2026-05-02,2026-05-03
https://play.usaultimate.org/events/Northwest-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Oregon,1
teamInfo,Ego,"Eugene, Oregon",,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Connor Matthews,Braedon Petrus,Trevor Smith,Christopher Strub
04,Alex Hall-Witt
06,Emanuel Berson
08,Adam Wulkan
09,Marcus Beidler
11,Lucas Terzic
11,Beckett Sessums
13,Owen Sprague
14,Nicholas Cao
17,Reggie Masket
18,Marco Muralles
21,Jonah Hammes
23,Julian Saunt
24,Mica Glass
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
38,Jude Small
48,Ben Horrisberger
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
84,Owen Shaff
89,Isaac Blumklotz
99,Will Dillender-Kinast
99,Daniel Collier
99,Akash McMinnn
99,Nathan Williams
b,r,e,a,k
Utah,8
teamInfo,Zion Curtain,"Salt Lake City, Utah",https://www.zioncurtainultimate.com/,,https://twitter.com/zioncurtainulti
00,Cooper Bost
01,Daniel Watson
02,Oscar Brown
03,Solan Honore-Jones
04,Henri de St. Germain
05,Rainor Alin
07,Elijah Watchalotone
08,Will Selfridge
09,George Shelby
11,Gerry McManus
14,Ian Cunningham-Ward
17,Connor Lund
18,Lucas Reavy
19,Dustin Schrader
21,Dane Giessler
22,Isaiah Klepfer
23,Finley Wills
30,Jack Valentine
34,Malcolm Starr
39,Max  Dehlin
40,Grant Newkirk
44,Ben Sumrall
45,Nate Reavy
54,Maxwell White
77,Jackson Hammond
87,Max DeBroux
97,Phineas Johnson
99,Grayson Rettberg
b,r,e,a,k
Utah State,9
teamInfo,Scotsmen,"Logan, Utah",,https://www.facebook.com/profile.php?id=100089442176571,https://twitter.com/USUMensUltimate
0,Bracken Nielson
0,Harrison Treat
0,Tyler Bateman
0,Merick Moar
00,Paul Koch
00,Matthew Peña
00,Isaac Anderson
00,Cameron MacAleese
00,Jeffrey Koch
00,Benjamin Hoffman
01,Elijah Huber
08,Scott Jackson
10,Henry Nguyen
16,Boston Musgrave
17,Jackson Egbert
24,Jonny Hoffman
45,Alan Poulsen
66,Truman Phillips
99,Jared Waite
b,r,e,a,k
Oregon State,2
teamInfo,Beavers,"Corvallis, Oregon",,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
coaches,Andrew Buermeyer,Christopher Graham
0,Andrew Thoennes
0,Erwan Pare
0,Samuel Harrington
0,Micah Harter
0,Miles Renbarger
00,Matt Rix
00,Rio Long
00,Jackson Henry
00,Quinn O'Connor
00,Henry Wayte
00,Seiji Koenigsberg
00,Elliot Trimbur
00,Callahan Bosworth
00,Ethan Fodor
02,Jack Nelson
04,Ben Thoennes
06,Sam Anderson
07,Felix Moren
08,Leo Wolf
09,Challis Holloway
10,Akira Koenigsberg
11,Gus Serff-Roberts
18,Alesh Fremouw
21,Benjamin Lodahl
22,Ben Brochard
26,Forrest Vargyas
42,Collin Kaperick
97,Leo Renzema
99,Owen Poissant
b,r,e,a,k
Utah Valley,7
teamInfo,Utah Valley Ultimate,"Orem, Utah",,,
0,Cameron Tadje
0,Jaden Pyne
0,Jonathan Hicken
0,Wyatt Sorenson
0,Zachary Belnap
00,Jared Sorensen
00,KJ Park
00,Sammy Pew
00,Porter Oyler
00,Jordan Barrus
00,Kimball Pew
00,Porter Stobbe
00,Kale Winterton
00,Derik Knighton
00,Jackson Allen
00,Jonah Erb
00,Aleksei Felt
00,Alex Trottier
02,Spencer Barney
03,Curtis Lund
03,Brock Jensen
09,Gregory Stout
13,Andrew MacIsaac
13,Jonas Kirk
26,Sam Lancaster
b,r,e,a,k
British Columbia  (B),10
teamInfo,B-Birds,"Vancouver, British Columbia CA",,,
coaches,Shintaro Tsukamoto
0,Beck Morissette
0,Colin Byler
0,Graeme Hanks
0,Eric Zhang
0,Eugene Bahia
0,Tim Yang
0,Nicholas Shum
0,Shilin Gao
0,Isaac Lee
0,Rayhan Shaikh
00,Brendan Fellows
00,Caleb Lee
05,Ding-Han Yan
06,Duncan Murch
07,Peter Riegle
08,Justin Rao
10,Mu Han Li
