PLU Mens+BBQ 2026,College - Men ,21,2,2026
Parkland,WA,2026-02-21,2026-02-22
https://play.usaultimate.org/events/PLU-MensBBQ-2026/schedule/Men/CollegeMen/
Parkland - PLU Alumni,1
teamInfo,,"Parkland, Washington",,,
0,Andrew Page
0,Ian Kinder-Pyle
0,Ryan Mitchell
10,Dylan Rivers
16,Nicholas Domenichini
17,Josiah Colby
35,Jeffrey Abeshima
64,Joseph Cannistraro
88,Eleanor Hoekman
91,Little Dipper
b,r,e,a,k
Seattle,9
teamInfo,Throbots,"Seattle, Washington",,,
0,Emerson Hickman
0,Matthew Sakima
19,Darius Taylor
31,Hiram Helliwell
33,Levi Kuhn
54,Eric Lillo
56,Maika Nucci
64,Cameron Kazimour
b,r,e,a,k
Willamette,13
teamInfo,Asylum,"Salem, Oregon",,,
00,Alexzander  Rasmussen
10,Corey Margerum Margerum
11,Nathan Nevarez
14,Aveline Allport
16,Gabe Blaney
24,Nate McKee
33,Lev Kleinman
55,Elliott Lewenstein
67,Conor Vahey
69,Esper Nyiri Klein
99,Oscar Yaun
b,r,e,a,k
Reed,12
teamInfo,Hoot,"Portland, Oregon",,,
0,Blix Bloomfield
0,Brayden Puchtler
0,Caleb Fishman Miller
0,David O'Connor
0,Ding Shi
0,Evan Kirmse
0,Heath Nevis
0,Henry Sullivan
0,James Aas
0,Aaron Hailey
0,Quincy Nash
0,Wade Sterns
0,Will Stevens
12,Andrew Sakahara
51,Rhys Lewis
74,Michael Hubbard
b,r,e,a,k
Gonzaga,2
teamInfo,GURU,"Spokane, Washington",,,
0,Christian Miller
01,Calvin Ansari
04,Will Kane
06,Jamie Wright
07,Luke Entwistle
09,Maggie Shane
10,Orion DeJong
13,Josh Albers
15,Isaac Lyon
20,Inman Becker
23,Brad Vega
24,Conner White
24,Michael Chapman
25,Lee Mason
29,Nicholas Hylen
32,Jakob Gates
36,Ava Blakeney
37,Ryan Lee
61,Otis Linkfield
69,Breslin Nichols
81,Lucas Butcher
88,Benjamin Sikes
96,Nate Carpenter
b,r,e,a,k
Portland,7
teamInfo,Uprise,"Portland, Oregon",,,
0,Alex Kersell
0,Alex Contreras
0,Joshua Greenbaum
0,Kenneth Taylor
0,Kian Craig
0,Mason Choy
0,Diego Basham
0,Eric Duong
0,Remington Reinking
0,Wyatt Ashley
7,Brennen Gibbins
10,Nick Jacobsen
11,Jonah Talmadge
18,Quinn Grove
28,Matthew Boland
42,Troy Carpenter
51,Charlie DeKlotz
b,r,e,a,k
Portland State,10
teamInfo,Juicy,"Portland, Oregon",https://www.instagram.com/portlandstateultimate/?hl=en,https://www.instagram.com/psu.womensultimate/?hl=en,
0,Jack Jaworski
0,Jeffrey Sterling
0,John Bednarek
0,Jules Messersharp
0,Leana Girton
0,Riley Wunderlich
0,River Sheppard
0,Calder  Kibben
0,Dalia Samouilidis
12,Hank Munro
b,r,e,a,k
Pacific Lutheran,14
teamInfo,Reign Men,"Parkland, Washington",https://www.plu.edu/recreations/club-sports-teams/mens-ultimate-frisbee/,,https://twitter.com/ReignMenPLU
00,Ashton Benes
00,Ben Bernhagen-Marston
00,Dylan Rodger
00,Lucas Briggs
00,Theodore  Stringer
00,Thomas Mitchell
00,William Foley
14,Kai Kindem
17,Riley Judd
21,Kellen Gonsalves
99,Nicholas Minch
b,r,e,a,k
University of Oregon  (B),3
teamInfo,Bucks,"Eugene, Oregon",,,
0,Brennan Lee
0,David Pearce
0,Ethan Ebbers
0,Jack Steinman
0,Jack Caldwell
0,Jake Ramey
0,Maksim Zykov-Chisholm
0,Maximus Melner
0,Samuel Williams
0,Theo Kojan
0,Toby Platt
0,Aiden Janeczko
0,Asher Clark
0,Wyatt Aichele
6,Whittaker Donovan
11,Benjamin Keigwin
77,Lewis Sisler
85,Kieran Wagner
b,r,e,a,k
Washington State,6
teamInfo,Air Raid,"Pullman, Washington",,https://www.facebook.com/wsuultimateclub,https://twitter.com/WSU_Ultimate
0,Alexander Sowers
0,Andrew Sowers
0,Carter Huffman
0,Jacob  Lyster
3,Michael Hantelman
6,Oliver Voss
14,Lars Moreland
19,Daniel Chinn
22,Noah Ryan
28,Ben Wright
42,Etienne Redpath
82,Christina MacPherson
88,Colin Cerise
b,r,e,a,k
Lewis & Clark (B),11
teamInfo,BBacchus,"Portland, Oregon",,,
0,Luis Engel
0,Zach Hungerford
2,Leo DiNola
03,Ren Salisbury
08,Joniah Helperin-Lange
09,Elliot Deleger
12,Gianni Caiazzo
15,Henry Dodd
16,Lachlan Myers
18,Eytan Zakai
19,Theodore Peterson
25,Joseph  Woessner
28,Jedidiah Friendly
29,Vincent Allen-Lyons
31,Lorenzo Holben
33,Miles Samant
35,Liam Bass
36,Dustin Berck
54,Benjamin Blackmun
69,Geordie Van Witbeck
72,Eugene Ahoudji
77,Daniel Corbo
89,Emery Slothower
99,Jorge Rodriguez
b,r,e,a,k
Central Washington,15
teamInfo,CWU Ultimate,"Ellensburg, Washington",,,
0,Ashley Garcia Gonzalez
0,Dashiell Conlen
0,Jose Vasquez-Sanchez
0,Rihanna Sahnow
6,Ryan McGuckin
7,Robert Kendig
8,Max Wilwand
11,Riess Magee
12,Aiden Aho
14,Dylan Davis
b,r,e,a,k
Washington (B),4
teamInfo,Washington B,"Seattle, Washington",https://www.instagram.com/undodgers/?hl=en,,https://twitter.com/undodgers
0,Noah Droker
0,Noam Avrahami
0,Ryan Kinder
0,Sawyer Conklin
0,Sevens Baertsch Kovalchick
0,Simon Colleran
0,Skye Pratley
0,Slava Trifonov
0,Tyler Watkins
0,Varun Iyer
0,William Yik
0,Ethan Chen
0,Ian Tuski
0,Isaac Cardwell
0,Jackson Ayers
0,Anderson To
0,Anthony Soeung
0,Antonio Franada
0,Arni Hoang
0,Asa Norman
0,Case Thissell
0,Charles Craemer
0,Clay Kuran
0,Corey Mack
0,Dexter Stevens
0,Jalen Li
0,Jamie Overbay
0,Jaron Casio
0,Kaiden Whitmore
0,Leo Andrade
0,Marcus Hinderman
0,Max Scheer
0,Jacob Boyce
