Cat Fight III,College - Men ,28,2,2015
Indiana
00,Clark Barco
00,Forrest Levy
00,Caleb Ritchey
00,Jackson Sills
00,MARK YELLON
00,Joshua Duncan
00,Charles Lowe
00,Steven Eakle
00,JAMES AUDRETSCH
00,Paul Bean
00,William Kasprzycki
00,Adam Schobinger
00,Austin Lieberman
00,Zephyr Wenrich
00,Patrick Nieto
00,Steven Anderson
04,Ryan Opal
05,Connor Regan
06,Eric Johnson
11,MACKENZIE CONRAD
13,JAKE FRIEDLY
28,Samuel Sohn
30,Wally Kasprzycki
51,Chris Ginet
b,r,e,a,k
Southern Indiana
 ,Joseph  Cowser
 ,Eric Gehlhausen
 ,DREW COLES
 ,Nathan Sevenish
 ,Dustin Young
 ,Josh Hammett
0,Cecil Sullivan
0,Nathaniel Mull
12,Chapin Kelley
14,Zachary Wilderman
17,Aaron  Costlow
18,Kyle Wood
20,Wesley Haub
20,Luc Prevost
24,Ryan Fehrenbacher
31,Brian Wilson
37,ABRAHAM MAZE
45,SAMUEL ENGELS
49,Derek Berggren
73,Noah Rickelman
84,alexander rockman
97,EDUARDO RODRIGUEZ
b,r,e,a,k
Michigan
 ,Noah Lybik
0,Jake Moyer
0,Wesley Chen
0,Matthew Orr
0,Jesse Haji-Sheikh
0,Robert (Bobby) Moyer
0,Alexander Gaggino
0,Dan Calabrese
0,ALEXANDER HEATLIE
0,Daniel Lee
0,JORDAN MACOCHA
0,Zachary Goulson
0,Noah Backer
0,ELI LEONARD
0,Samuel Vetromile
0,Vikram Mathias
0,Travis Compo
0,Andrew Uggeri
0,Andy Yu
0,Josh Becker
0,Sam Greenwood
0,Jake Steslicki
0,Jesse Buchsbaum
0,MICHAEL ROBERTS
0,Nicholas Gerber
0,CHARLES HYDE
0,Benjamin Page
0,Krishna Mahajan
0,Max Teener
b,r,e,a,k
Kentucky
 ,Michael Rudy
0,Conner Cloyd
0,Brandon Guyton
0,Andrew Fulkerson
0,MARK RUDY
0,Jacob Cameron
0,Adam Houk
0,Derek Thomas
0,ROBERT GAGALA
0,Logan Graham
0,Austin Obenauf
0,Pramod Venkatesh
0,David Mathews
0,LANCE RILEY
0,Adam Garner
0,Larry Farmer Jr
0,Eric Lesmeister
0,Christopher Empie
0,STEPHEN CHAN
0,Christopher Meriwether
0,DAVID HENSON
0,Kyle Anderson
0,Kyle Cornell
0,Brandon French
0,DEVIN DAVIDSON
0,Wei Yang
19,Stephen Hendrickson
b,r,e,a,k
North Carolina-Asheville
00,Carrie  Fisher
02,Kyle Noel
04,Jacob Warshauer
06,Jonathan (Hugo) Sowder
11,Noah Decker
12,Alex Hanamean
14,Ryan Loll
18,Jeremy Gage
20,Buck Bowman
24,James Belza
33,Nicholas Carl
40,Gabriel Matza
47,Hunter Scaggs
69,Cory Oskardmay
71,Clint McSherry
83,SHAWN SPITZER
87,Chad Gerber
b,r,e,a,k
Ohio
 ,Lloyd Furuta
 ,Anthony Buran
 ,Justin Riles
 ,Nathan Moncrieff
 ,Cameron Haldin
 ,CONNOR HUNT
0,Jonathan Snowden
0,Blace Haviland
0,Mike Dios
0,Adam Hock
0,Wally Gaida
0,NATHAN BROWN
0,Kyle Bayes
0,ROBERT LEBAIR
0,Luke Fikaris
0,Aaron Musser
10,thomas stargell
11,KELLEY MCANDREWS
12,Daret Spradley
15,Logan Kruger
17,Conner Parthemore
19,NOAH TONDARI
23,CAMERON HEIGHTLAND
30,Brian Boehmke
33,Matthew Olson
41,Cody Petitt
42,P. Mike Rattanasengchanh
45,Michael Malito
47,Karlis Walsh
99,Andrew Grogan
b,r,e,a,k
Wisconsin-Stevens Point
 ,John Holty
 ,Robert Lyke
 ,Zach Hendzel
 ,KARL PLOECKELMAN
0,KYLE LOVEGROVE
0,David Horgan
0,Coty Guenther
0,Logan Lopas
0,Alex Pasciak
0,Jack Spadafore
03,Daniel Rowan
17,Kirk Prince
22,JAMES LIMA
23,Adam Swanson
25,Cody Sevcik
31,JACOB OLSON
39,thomas norwood
42,Elijah Johnson-Breimeier
45,Thomas Mattimiro
45,ROBERT IHSSEN
88,Dustin Oetzman
b,r,e,a,k
Missouri
 ,BRENDON WOODY
 ,MATT ERBES
 ,COLIN OBRIEN
 ,Thomas  Kulczak
 ,JORDAN MCGHEE
 ,CLARK GRIBBLE
 ,SCOTT KARCHER
 ,Jay Froude
 ,CHRISTIAN GOEKE
 ,Zachary Gase
0,ERIC ZVANUT
0,Arvin Bustos
13,Alexander Staelens
18,Cody Curran
22,Evan Thornberry
24,Jesse White
25,Sean Campbell
28,Chase Johnson
99,Michael Brooks
b,r,e,a,k
West Virginia
 ,Kenneth Headley
 ,Kazu Negri
0,Justin Lee
0,Eric Lehn
0,Matthew Sabato
0,DANIEL BLOCK
0,Giovanni Gaito
0,Ryan Dennis
0,Mike Seppi
13,THOMAS SANDERS
17,Samuel Munnis
24,Ian Inchausti
25,Glen Smithberger
31,Chandler Smith
52,DANIEL BELL-GARRISON
81,Kyle Robertson
99,Dan Fisher
b,r,e,a,k
Cincinnati
 ,Nicholas Betsch
 ,Kyle Romard
 ,ALEXANDER MARK
 ,Kevin Parker
 ,Michael Raabe
 ,Kieran Kelly
0,Sophainara Long
0,Stephen Kenny
0,Alex Flamm
0,SCOTT ALVERSON
0,Zachary Ford
0,Joshua Fisher
0,Adam Turner
0,Ryan Adams
15,Zachary Radcliff
21,Daniel Latz
22,ZACHARY WARNER
23,Steven Kolp
28,JOSHUA BRUGGEMAN
29,Grant  Dinan
31,Gregory Dinan
33,Justin Latz
b,r,e,a,k
Purdue
 ,Justin Bowling
 ,JOSHUA ALGREM
0,Dylan Neff
0,RYAN FERGUSON
0,Mike Dehnbostel
0,Trevor Kyle
0,Nick Loughran
0,Todd Miller
0,Collin Koury
b,r,e,a,k
Notre Dame
0,DAVID TERRY
0,Joseph Norby
0,JASON WASSEL
0,PETER HALL
0,Kyle Hill
0,JEREMY DOYLE
0,MATTHEW FARRELL
0,Patrick McMahon
0,Daniel Verzuh
0,Andrew Geisel
0,JOHN KEOUGH
0,KEITH PODGORSKI
0,PATRICK HANSEN
0,Steven Zurawski
0,TIMOTHY HOSTY
0,Jacob Scobey-Polacheck
0,Samuel DeTrempe
0,Luke Brennan
0,DANIEL KEREKES
0,Daniel Fitzgerald
0,Joseph Fisher
0,ERICH KEREKES
0,William Schell
0,JONATHAN CERNANEC
0,Joe Nolan
0,Charles Labuz
0,Collin Klenke
b,r,e,a,k
Indiana,Southern Indiana,15,5,"02/28/2015, 09:00"
Michigan,Kentucky,15,6,"02/28/2015, 10:30"
Michigan,Indiana,11,10,"02/28/2015, 12:00"
Kentucky,Southern Indiana,13,9,"02/28/2015, 12:00"
Indiana,Kentucky,13,8,"02/28/2015, 13:30"
North Carolina-Asheville,Kentucky,8,10,"02/28/2015, 23:00"
North Carolina-Asheville,Southern Indiana,10,11,"03/01/2015, 12:30"
Michigan,North Carolina-Asheville,12,8,"03/01/2015, 03:30"
North Carolina-Asheville,Indiana,8,11,"03/01/2015, 05:00"
Ohio,Wisconsin-Stevens Point,15,6,"02/28/2015, 09:00"
Missouri,West Virginia,13,3,"02/28/2015, 09:00"
Missouri,Wisconsin-Stevens Point,13,8,"02/28/2015, 10:30"
Ohio,West Virginia,12,7,"02/28/2015, 10:30"
Wisconsin-Stevens Point,West Virginia,12,2,"02/28/2015, 12:00"
Missouri,Ohio,11,8,"02/28/2015, 12:00"
Cincinnati,Purdue,14,8,"02/28/2015, 09:00"
Notre Dame,Purdue,6,8,"02/28/2015, 17:30"
Cincinnati,Notre Dame,15,3,"02/28/2015, 19:00"
Missouri,Cincinnati,10,12,"02/28/2015, 13:30"
Ohio,Purdue,8,10,"02/28/2015, 13:30"
