Huckfest 2015,Club - Men ,11,7,2015
Chain Lightning
 ,JACK KRIEGER
0,Timothy Stapleton
02,Austin Taylor
03,Matthew Knowles
07,Jason (Jay) Clark
09,Samuel Little
10,Tyler Conger
12,Frank Wooten
13,Michael Fairley
18,Michael Spear
19,Mark Poole
21,David Berendes
22,Brian Moore
22,Parker Bray
25,Sun Choi
55,Blake Hannah
60,JOLIAN DAHL
81,Joseph Burns
87,Trenton Spinks
88,TAYLOR GOFORTH
b,r,e,a,k
UpRoar
00,Stuart Richards
06,Cody McAlpine
07,Jack Dupell
10,Brian Shinners
11,Austin Simpson
14,Boe Quisenberry
15,Matthew Eady
16,JONATHAN STREETMAN
17,Aron Andino
19,Forrest Hannahs
21,Jonathan Beilan
22,Peter Masone
24,Stephen Ierardi
27,Anthony Gutierrez
31,Keith Patterson
33,JESSE GOLDSMITH
36,Stephen  Muir
37,Osvaldo Velez-Martinez
40,KEITH PENU
42,KEVIN ORNER
52,Josh McKisic
54,Nick Fletcher
57,Benjamin Israel
69,Lawrence (Larz) Hanselman
77,Nick MacLeod
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
Freaks Uv Nature
 ,Andy Sieja
 ,Ryan Manning
 ,Jason Williams
 ,Chris Brackbill
0,Danny Yates
0,Michael Venezia
0,Nathan Burch
0,Brian Newsom
0,Garris Bugg
0,Tannon Hedges
0,Collin Orcutt
0,Clark Missildine
0,Tim Hoggard
0,Jason Cunningham
0,Stephen Brandon
0,Blake Waldron
17,Michael Robie
19,Matthew Radcliffe
24,Ethan Hodges
25,"Michael Guiles, Jr"
27,Michael Volz
34,Isaiah Radcliffe
37,Keith Mize
39,PETER WILKERSON
44,Jordan Matthews
96,Mark Ullom
b,r,e,a,k
Jockamo
0,Dylan Zeringue
0,Mark Graham
0,Ory Aguillard
0,Wesley Freeburgh
0,ZACHARY FRUGE
0,MICHAEL SCHULZ
0,Hilliard Chesteen
0,William Steindorf
0,Grant Odenwald
0,Destin Tate
0,Thomas Hannie
0,Patrick Thang
0,Daniel Nan
0,Eric Reviere
0,Omer Wolff
0,Kyle Wilson
b,r,e,a,k
Southern Hospitality
0,Tanner Robinson
0,Patrick Dougherty
0,Andrew Francis
0,Timothy Martin
0,DAVID  MONDSCHEIN
0,Cody Smith
0,Ryan Landry
0,Jackson Cochran
0,Gabriel Bidot
0,Blake Galloway
0,Nathan Oaks
0,Brian Walsh
0,Evan Boecking
0,Samuel Murphree
0,ANDREW WICK
0,Kenta Kawaguchi
0,Craig Anderson
0,DANIEL GILSTRAP
0,MONTEZ JONES
0,ANDREW GROSS
0,Eric Sjostrom
0,Andrew Galiger
0,Benjamin Lamport
0,Matthew Hardman
b,r,e,a,k
CaSTLe
 ,Chaz DeBord
 ,Thomas  Kulczak
0,Stephen Hawkins
0,Rett Hooper
0,Parker Quinn
0,Sean Campbell
0,E.C. Gibbs
0,Cody Curran
0,Aaron Bryant
0,Michael Mills
0,BRENDAN KELLY
0,Nathaniel Mahieu
0,ZACHARY LOU
0,Kelly Caldwell
0,Zachary Gase
0,Devin Belvin
0,Evan Karson
0,Robert (Bobby) Castille
0,John (Christian) Lukas
06,DANIEL ELFANBAUM
16,Ben Gibson
98,Matthew Beers
99,Kyle Hill
b,r,e,a,k
Ironmen
 ,Reid Thackerson
 ,Tevon Edwards
 ,Matthew Smith
0,Alexander Cape
0,Patrick Philbin
0,Hank Womble
0,Christopher McBride
0,Kevin Shrestha
0,Michael Burke
0,Hill Balliet
0,Ethan Downs
0,Dane Jorgensen
0,Will Newton
0,Taylor Hide
0,James  Poe
0,Ray Davenport
0,Jason Russell
0,Matthew Sledge
11,Kelvin Williams
12,Jordan Quinn
22,Brandon Deihl
24,Travis Midkiff
32,JUSTIN THIGPEN
72,Wesley Bullock
b,r,e,a,k
Smokestack
 ,Amir Kaghazwala
0,John Marotta
0,David Picone
0,Steven Her
0,Zach Johnston
0,Jon Deamicis
0,Jeffrey Brauning
0,Weston Miller
0,Adam Davenport
0,KEVIN WAYNER
0,DANIEL LEHMAN
0,Brandon Thomas
0,Tarik Akyuz
0,Erik Lindberg
0,Daniel Young
0,Jared VanLandingham
0,Jonathon Grgat
0,Nathan Buddemeyer
0,Anthony Davis
0,BENJAMIN JESIONOWSKI
0,Daniel Lynch
0,Jacob Lunn
10,Eric Zarobila
82,Dutch Kirkman
b,r,e,a,k
Crude Ultimate
 ,Michael Berman
 ,Travis Bieda
 ,Jonathan Nicholson
 ,Evan Garner
 ,Daniel Thai
 ,BRANDON KORBEL
0,Eric Wilkins
0,Javier Oliver
0,Gabriel Valdes
0,Gabriel Hernandez
10,Daniel Figueroa
12,Greg Hulet
14,Jonathan Conway
16,JOEL FIGUEROA
19,Ashton Lewis
21,NICK LAREDO
31,BRIAN GINSBURG
33,Darius Nicholson
41,James Robarge
45,Daniel Tipton
46,Jonathan Lawrence
56,Brian Bittner
86,KHAI NGUYEN
99,CEDRIC ATWOOD
b,r,e,a,k
Torch
 ,CARLTON SEARCY
 ,Matthew Groendyke
0,Kevin Dopatka
0,TAYLOR BECKETT
0,Ben  Smith
0,Tommy Cianciolo
0,Christopher Calhoun
0,Charles Cianciolo
0,Alan Pezeshki
0,ZAC MUSGROVE
0,Grant Bauman
0,ALEX BOWMAN
0,Richard Lavosky
0,Anthony George
0,Samuel Feldman
0,Evan Alexander
0,Clay Leach
0,Stefan Dopatka
b,r,e,a,k
Cerberus
 ,AUSTIN DECUIR
0,Victor Pria
0,Nate Washington
0,Sam Batson
0,Michael Belongia
0,RYAN PAPPAFOTIS
0,Jonathan  Pabon
0,REUBEN RIVAS
0,BEN WEINTRAUT
0,Thomas Watts
0,CHRIS ROGERS
0,Jay Norton
0,Adam Burgess
0,David William Petmecky
0,Rommel Rana
0,Mike McGinnis
0,Neal Raines
0,Sean Diller
0,Wright (William) Dickerson
0,John Langstaff
81,Jim Heneghan
b,r,e,a,k
NRG
0,Tanner Cherry
0,Andrew Hicks
0,Stephen Lewoczko
0,Riley Pope
0,NATHAN PARKE
0,Jesse Dahms
0,BRADEN SMITH
0,Jeff Williams
0,Dalton DeLuca
29,Harrison Hayes
b,r,e,a,k
Blade
0,Nathaniel Rosenberg
0,Ian Mack
0,Daniel Caplan
0,Will Mims
0,Scott Soule
0,Leekon Wang
0,CALEB GOFF
0,Bryan Brooks
0,Andrew Hayslip
0,Patrick Doyle
0,Joseph Mayes
0,Brandon Awh
0,Jody Packer
0,Jared Fletcher
23,Robert Johnson
b,r,e,a,k
Memphis Belle
0,Matt Bledsoe
01,Nicholas Brackley
02,Nathan Wiemers
04,Joseph Walter
07,Andy Ballard
08,ROB BRICE
09,Josh Moore
10,Shannon Allen
11,BENJAMIN LANG
12,Robert Langley
13,John (Jack) Dowling
13,Richey Ward
14,MARK ALLMON
16,ANDREW WILLIAMS
17,Matthew Riddle
21,John Laubscher
22,Ben Branson
27,Jacob Griffin
28,COLE FARMER
33,Brantley Davidson
44,Robert Stroup
51,MATTHEW FARRELL
85,Brian Sherry
91,David Hilgeman
97,Samuel Williams
99,John-Michael Leppert
b,r,e,a,k
Nashvillains YCC U19 Open
01,JONATHAN ANDERSON
02,Christian Campbell
03,Joseph Brown
04,Grant Waldron
06,Dawson Fox
07,Beau Waldron
09,Jacob Bell
10,BOONE MCCLELLAN
11,Matthew Freels
15,Coleman Davis
18,Jacob Flowers
19,Joshua Gabella
20,Miguel Hector
21,Tanner Niles
22,Luke Layton
23,Cody Baldwin
24,Matthew Sui
28,Nicholas Baldwin
43,BLAKE HAGAN
b,r,e,a,k
Rocket City Rampage
 ,Jonathan Lee
 ,Kevin Kanzelmeyer
 ,Riley Mog
 ,Adam Redmon
0,Nick Werline
0,Matthew Street
0,Robert Alongi
0,todd archer
0,Evan Dial
0,James Gauldin
0,RICKY GRAY
0,Matthew Knaupp
0,Anthony Lowther
0,Danny Lee
0,David Vossel
0,Michael Mobley
0,FORREST SILLIVANT
0,Nathan Smeal
11,Jack Missildine
12,Justin Pearson
14,WILL STEVENSON
21,Wesley Seat
34,George Bekken
34,Jordan Walters
77,John Boyer III
89,ANDREW MONTGOMERY
99,Mark Daigle
b,r,e,a,k
SouthBeast
0,Chase Maze
0,Cameron Elmore
0,Mark Sandefur
0,Jason Teng
0,Trey  Leonard
0,Liam Holthaus
0,HUNTER MARTIN
0,ADRIAN CLARK
0,OMAR YASSIN
0,Daniel Conner
0,Terren Moore
0,Tucker  Griggs
0,JAKE MOORE
0,Douglas Caulfield
0,Payton Garlington
0,Ben Caldwell
0,KADEN FRAMES
b,r,e,a,k
BaNC
0,Ryan Werkmeister
0,Nathan Hill
0,Cliff Totherow
0,Graydon Miller
0,MITCHELL HALLORAN
0,Wesley Dudas
0,DAVID CRESPI
0,Jason Hudson
0,Bryce McAvoy
0,MATTHEW HUYNH
0,Andrew Hager
34,Daniel Lee
b,r,e,a,k
Voodoo
0,Greggory Downing
01,Guillermo Iturriza
02,Larry Brad Smith
03,Josh Hunley 
04,Nathan Kenner
05,Daniel Epperson
06,Robert Miller
07,MARK HERZFELDT-KAMPRATH
15,James Hunter
17,Melvin Lu
18,Austin Whedbee
25,Justin Badgett
31,Josh Mayor
33,Miciah Clay
47,Jacob Thress
69,Thomas Loveday
77,Jeremy Yuill
99,Brett Coleman
b,r,e,a,k
Hammer Bros
 ,JOSH MARTIN
 ,Adam  Sellers
 ,Andrew Mauroner
 ,Chase Dunaway
 ,Shannon Ammons
 ,Benjamin Leiker
 ,NICHOLAS WIEBELT
 ,JOSEPH STIEFFEL
 ,Carter Kittrell
 ,WILLIAM MILLER
 ,RYAN WAGEMANN
 ,Jordan Gosnay
 ,Bryan Waites
 ,Evan Young
 ,Daniel Beck
 ,Matthew Franszvzak
 ,Gary Lee
 ,Abraham Dabit
 ,Nicholas Ferguson
 ,GARY DAUBERT
 ,Jordan Richter
b,r,e,a,k
Jello Yackets
 ,PARTHA UNNAVA
 ,Quinn Dagley
0,Patrick McGannon
0,Luke Willis
0,Evan Davies
0,John Dugan
0,Andrew Bogle
0,Daniel Gempesaw
0,Nicholas Chen
0,Howard Tong
0,Brandon Chen
0,PETER LYONS
0,Aidan Rogers
0,Nicholas Button
0,Stephen Cook
0,Brydan Rogers
0,Andrew  Rushing
0,Sanjay Sridaran
0,ANDRE IRIZARRY
0,NEEL KOTRA
0,Richard Bragg
0,Patrick Davidson
0,RICHARD REMBERT
0,Ashwin Anantharaman
14,Lucas Maurer
20,Zach Hsu
b,r,e,a,k
Pocket City Approach
0,Jesse Wyatt
02,Nathaniel Mull
03,Uriah Alldredge
05,Donald Bhe
06,DREW COLES
07,Noah Rickelman
12,Andrew Martin
15,DOUG WHEATON
17,Aaron  Costlow
18,Kyle Wood
19,Josh Hammett
20,Joseph  Cowser
21,Anthony Goth
24,Nathanael Sparks
28,Ryan Bell
33,Dana Granholm
40,Ryan Fehrenbacher
49,Derek Berggren
b,r,e,a,k
Dreadnought
0,Lorenzo Bohl
0,Taylor Stamps
0,Jacob Moore
0,GERALD ETHEREDGE
0,Drew Taylor
0,CHRISTOPHER GENHEIMER
0,AARON WEBB
0,KYLE DYER
0,Devin Benson
0,STEPHEN TREANOR
0,Derek Richards
0,Luc Sutherland
0,Travis Duwe
0,DAVIS PRUETT
0,Aric Powers
0,Ethan Penner
0,Frank Macon
0,Taren Goins
0,KEVIN WILLIAMS
0,Brian Trussell
0,Casey Hooper
0,William Gallian
01,Luke Dockery
02,Thomas Dockery
b,r,e,a,k
Chain Lightning,UpRoar,15,7,"07/11/2015, 09:00"
Freaks Uv Nature,Jockamo,13,8,"07/11/2015, 09:00"
Chain Lightning,Jockamo,15,4,"07/11/2015, 10:45"
Freaks Uv Nature,UpRoar,15,9,"07/11/2015, 10:45"
Chain Lightning,Freaks Uv Nature,15,11,"07/11/2015, 13:30"
