Stanford Invite 2015,College - Women ,7,3,2015
Oregon
 ,Jesse Shofner
 ,Gabrielle Aufderheide
 ,Angela Tocchi
 ,Alex Ode
 ,Ashley Young
 ,OLIVIA BARTRUFF
 ,LAETITIA GUILLET
0,Emily Loo
0,Ella Hansen
0,Jaydra Rotolante
0,Madison Lostra
11,Bethany Kaylor
13,Amelia (Molly) Lanning
14,Sarafina Angstadt-Leto
19,Lillian Weaver
20,Hope Zima
22,Rachel Hershey
25,Foley Galvin
27,Hayley Wahlroos
44,KAITLIN BRUNIK
b,r,e,a,k
Victoria
03,Patricia Massel
05,Olivia Chow
06,Kimberly Hansen
07,Naomi Redmond
08,KATE SCARTH
11,Daisy Petrucci
12,KIRA BEUKEBOOM
13,CORINNE DUNWOODY
15,Haijia Zuo
18,Alix Shuparski 
20,Katrina MacLean
21,ALEXANDRA OMAND
22,TASHA CAMERON
23,Emily Garner
25,Katherine Simons-Lane
26,Paige Quinn
27,Natasha Wong
28,Alicia Fall
34,MAIRIN BEREZAN
35,Sarah von der Weid
81,Lillian Pham
88,maya hamel 
92,MONICA WHITNEY-BROWN
96,Audrey Piper Arroliga
b,r,e,a,k
Colorado
03,Amy Elizabeth Leder
04,Nhi Nguyen
05,Leilani Nelson
08,Jean Russell
09,Kirstin Johnson
11,Megan Henderson
13,Jessica Chesnut
15,Dorothe Franklin
16,Megan Cousins
17,Melinda Alvey
19,EMMA CARR
20,Kenzie Weed
24,Hilary Egan
29,Lisa Doan
32,Alana Chen
42,KATHARINE HEIL
65,Megan Ives
69,Sarah Ferraro
90,SONIA SZETON
97,Celeste Havener
99,Kelsey Bennett
b,r,e,a,k
California-San Diego
0,Elizabeth Cowan
01,Kylie Shen
02,RACHEL KATE HOMER
03,BRIDGET ZEIGER
04,Shelby Triplitt
05,Rachel Ling
10,Maria Zavala
11,Julia Salvacion
16,Jorie Moore
19,Juliana Jordan
22,Sheliemae Reyes
23,Cynthia Yee
24,Tabetha Ridgway
33,Eimear Keyes
43,Stacy Tran
45,Maryjo Sampang
47,Dena Elimelech
54,Alyssa Lopez
73,Maria Peterson
78,Rebecca Jones
88,Christina Huynh
b,r,e,a,k
Stanford
 ,Veronica Cruz
 ,Amanda Somvilay
0,Annee Rempel
0,Deanna Abrams
0,Rachel Gianforte
0,Freya Chay
0,Courtney Gegg
0,Michela Meister
0,Natasha Field-marsham
0,Shayla Harris
0,Michelle McGhee
0,Francesca Olguin
10,Halsey Hoster
11,Rosemarie Sandino
13,Stephanie Lim
14,Monisha White
16,CHRISTINA LI
17,Jennifer Thompson
24,Pooja Desai
60,Caitlin Go
b,r,e,a,k
Carleton College
 ,LEAH CROMER
 ,EMILY BUCKNER
 ,Caroline Sheffield
0,Megan Chavez
0,Madeleine Preiss
0,Ellen Jacobus
0,Camila Flowerman
0,Elaine Sundberg
0,Laura Soter
0,Naomi Price-Lazarus
10,LUCIA CHILDS-WALKER
12,ELIZABETH BORDEN
14,Claire Rostov
15,Nami Sumida
21,Ahna Weeks
23,Emily Kampa
35,Claire Thallon
45,Katie Ciaglo
63,Jamie Johnson
b,r,e,a,k
Western Washington
 ,Jendy Edgerton
 ,Tiffany Phan
 ,JESSIE THORESON
 ,Kaitlin Webster
 ,Rosemary Widenor
 ,Alea Clymer
0,Anna Nakae
0,Maggie Graves
0,Madeline Gilbert
0,Tian Qing Yen
0,Rilke Rutenbeck
0,Alana Hall
0,ANNIE PADEN
0,Cori Schleich
12,Chehala Andriananjason
18,Kylie Miyata
20,Mary Nozykowski
21,MICHELLE HANNEMAN
24,Allie Sanchez
33,Colleen Horntvedt
44,Abbie Abramovich
b,r,e,a,k
California
 ,Thi Hoai Thanh Nguyen
 ,Sharon Lin
0,Danielle Gendron
0,Danielle Murray
0,KATHERINE MEYER
0,Kimberly Long
0,GRACE FLINTERMANN
0,LINNEA DELUCCHI
0,Alexandra Hasan
0,Mathilda Farrell
0,Alison Griffith
0,Anjile An
0,Christy Jarman
0,Mackenzie Bailey
0,Ziyue Chen
0,Hannah Ellis
0,Krystal Ching
0,Allegra Mayer
0,Jackelyne Nguyen
0,Kira Lou
0,Elizabeth Runte
0,Marisa Rafter
0,Allyson Lutz
14,Molly Barlow
b,r,e,a,k
British Columbia
 ,Janelle Siwa
 ,Evelyn Chan
 ,VICTORIA LAM
 ,Camille Chanoine
 ,Naomi Morcilla
 ,Serena Tam
10,Joanna Lo
11,Naomi Johnson
16,Judith Yeo
19,Amy Luo
21,Ellen Au-Yeung
22,LEAH MULHOLLAND
25,Esther Au
27,TERYNN CHAN
30,Svenja Kemmer
31,Jessica Chung
33,Kailin Chang
34,Zoe Suche
36,Emma  Madden-Krasnick
44,Erin Bussin
47,Victoria McCann
48,Lisa Wong
50,Elise Caron
88,Megan Leong
91,MIRA DONALDSON
b,r,e,a,k
Colorado College
 ,Rachael Maxwell
00,Katia Krupa
00,Emily Komie
00,Caitlin Hegg
01,VIRGINIA  HILL
04,MADISON ANDRES
05,Robin Fassett-Carman
06,Chloe Rowse
08,RACHEL KATZOFF
12,Anna Doctor
14,Jennifer Grossman
16,Abigail Lew
17,Patty Weicht
18,Audrey Mills
22,JESSICA BADGELEY
27,Maggie Bailey
28,Monica Weindling
32,ALEXIE MILLIKIN
81,Corey Baron
b,r,e,a,k
UCLA
02,MEGAN BECK
03,Jamie Lam
04,Kristen Pojunis
05,Lauren Kean
07,KELLYANNE TANG
08,Tiana Rangchi
10,Melissa Kan
11,Sylvia Liang
13,Alexis Whitaker
14,Julia Tang
15,Claire Simpson
16,Alyssa Worsham
17,Margot Stert
18,Camille Wilson
19,Rachel Wilson
20,Vivian Griffey
21,Kerrie Tonking
22,Caroline McKee
23,BREANNA DIRKSE
25,Han Chen
31,Kathleen Lo
41,Ann Lee
99,Maria Kazantsev
b,r,e,a,k
California-Davis
 ,JEANETTE TRUNK
0,EMILY WILSON
0,Zhimin Xie
0,Moeko Hirata
0,Veronica Chan
0,Cheryl Hsu
0,Hannah Cheng
0,Olivia Hart
0,Lindsay Hedgecock
0,JAZMIN JORDAN
0,LAUREN YAMAMOTO
0,Kimberly Nguyen
0,Christine Truong
0,Christina Debowski 
0,Kelsey Clausen
0,Maureen Murphy
0,Cariann Perumal
0,ELISE ZARRI
0,Amanda Meroux
b,r,e,a,k
Whitman
04,Nina Finley
05,Sarah Finger
06,Jessica Shatkin
07,Arianne Lozano
09,Brenna Bailey
10,Julia Bladin
11,MARLENA SLOSS
13,Lindsey Scott
14,SERENA SANDERS
15,Alex Hardesty
16,Julia Gesenway
17,Kaitie  Dong
19,CARLY BUSCH
20,Annie Want
22,Melanie Jochheim-Atkins
23,Linnea Soo
25,Caitlin Scott
28,Claire Revere
32,Alissa Soo
33,Margo Heffron
39,Jessica Kostelnik
42,Elissa Picozzi
b,r,e,a,k
California-Santa Barbara
 ,Talia Barth
0,Amanda Murillo
0,Cynthia Jiang
0,Ria Sager
0,Madeleine Shade
0,Audrey Horn
0,Leilani Borrego
0,Stefani Henderson
0,Jessica Pham
0,Julia Kwasnick
0,LYLY TRAN
0,Wendy Alvarran
11,WINNIE LAM
12,Angela Dong
16,Joy Kang
16,Dana Patterson
17,KRISTIN ARAKAWA
18,SHELBI THOMPSON
26,Lisa Pitcaithley
27,Kelsey McClung
34,Kristen Snyder
36,Rachel Johnston
45,Kieran Hughes
89,Samantha Kretchmar
b,r,e,a,k
Washington
 ,Samantha Hing
0,Lauren Sadler
0,Liz Conway
0,Tessora Young
0,Kristin Poinar
0,Andrea Willson
0,EDRIENNE  CHAN
0,Bailey Bonaci
0,Eugenia Prezhdo
0,Emma Kahle
11,Nora Landri
13,Kit Meyer
14,Nicole Cramer
16,Kate Wilburn
