Southwest Mixed Regionals,Club - Mixed ,10,9,2016
Ursa Major
 ,GLENN CARROLL
 ,Michael Corley
 ,Adam Berman
 ,Pradeep Nair
0,Eli Menaker
0,Alice Walton
0,STEPHEN STRADLEY
0,SIDDHARTHA PENAKALAPATI
0,Shadrick Small
0,Jacqueline Bonner
0,Jonathan Martindill
0,Timothy Reilly
0,WILLIAM CHANEY
0,Sarah Tenpas
0,Peter Zellman
0,Chris Godek
0,Suk lyn Lim
0,FINLEY BABA
10,Dave Kavulak
11,Jon Schlosberg
12,Dana Manochi
15,Whitney Hannah
18,Charles Stratton
21,Kaitlin Marin
24,SHANNON SPEAKER
39,Kelsey Hermann
43,COLIN HOY
b,r,e,a,k
Groove
 ,Jason Edelman
 ,Nick Buccelli
 ,Andrew Rodman
 ,ALEX WATERMAN
 ,Nick James
 ,NICOLE JOHNSON
 ,Joseph Schindler
 ,Alyssa Olson
 ,Cameron Amey
 ,Corinne Hanson
0,Alex Eacker
10,Halsey Hoster
21,Nicole Love
21,Adah Shih
22,Eric Rivera
24,Andrew Riggs
25,Samantha Applegate
26,Anthony Havens
28,KYLE SALASKO
29,Eric Shaw
30,Jee Witt
33,ELI LEVENSON-FALK
36,MEGAN NORR
44,Gianna Tesler
73,Mara Saltzman
86,Jannon Frank
99,HOLLY SCHWARZ
b,r,e,a,k
Family Style
 ,ALEX CHIN
 ,Felicia Yang
0,Glenda Marshall
0,NOAH TOMASZEWSKI
0,Ted McClure
0,Myisha Tarvin
0,Eric Owens
0,Andrew Dunn
0,Charlie Capron
0,Joanne Chong
0,Joyce Chen
0,Thomas Lin
0,Elliot Davis
0,Joseph Bobman
0,SUZANNE IWANICKI
0,Sarah Kibler
0,Erika Ye
0,Deanna Iff
0,Paul Kempler
0,Junno Tseng
10,Brian Leung
19,Andrew Bustle
33,Christopher Weyers
40,Veronica Yee
66,Jennifer Norris
b,r,e,a,k
Platypi
0,Georgina Tetlow
0,JAZMIN JORDAN
0,Tyler Grenier
0,Ryan Watson
0,Kathleen Johnston
0,Stephen Nacis
0,Ellen Sampson
0,Henry Whitney
0,Nicholas Dahms
0,Lindsay Hedgecock
0,Russell Helms
0,BRIAN BEEMAN
0,Jessep Macfarlane
0,Elizabeth Buhler
0,Marié Weverka
0,Jeff Croshal
0,Kendra  Higgins
0,Alyssa Rodriguez
0,Austin Barden
0,Krista Smith
0,Kyle Harper
0,Amanda Costa
0,Loren Bloom
0,Nicholas Jackson
0,Derek Miller
0,Peter Van Pelt
0,Matthew Kissmann
b,r,e,a,k
Mischief
 ,Adam Brown
 ,Preeti Nalavade
 ,DREW KIM
 ,Youngsoo (Ellen) Rim
 ,Jessica Madding
 ,Andrew Berry
0,Ari Weitzman
0,Evan Boucher
0,Robert Yeagle
0,Matt West
0,Gina Schumacher
0,Jacob Trivisoserrano
0,Devon Williams
0,Evan Brydon
0,Nathan Young
0,James Hansell
0,Catherine Chen
0,Jackie Wang
0,GRACE FLINTERMANN
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
18,Caitlin Rugg
20,Jenny Wang
36,Matthew Heffernan
80,Kevin Smith
b,r,e,a,k
Polar Bears
 ,SCOTT ROEDER
 ,Gregory Marliave
0,Michael Dirda
0,Sean Childers
0,Mia Greenwald
0,Ryan Takayama
0,Aaron Hom
0,Marlena Hartman-Filson
0,Ian Sweeney
0,Brandon Fein
0,Bob Madden
0,Margot Stert
0,Sara Nolan
0,Anne Gordon
0,Nicholas Alexander
0,Andrew Ouyang
0,James Sheridan
12,Ziyue Chen
14,Kate Schlag
21,Dulcy Docken
24,Alexander Max
25,Daniel Naruo
27,Morgan Greenwood
30,Anchi Tsou
31,Ethan Falat
40,Linh Hoang
b,r,e,a,k
Dorado
 ,JAMES LAI
 ,Carlo Mosca
 ,Julia Salvacion
 ,Gavriel Gelbart
 ,Peter Osseward
 ,Jeremy Cho
 ,Alistair McIntyre
0,Rebecca Zangaro
0,Maria Zavala
0,Elizabeth Cowan
10,Nate Pascale
11,Daniel Cox
12,Christopher Liu
13,Aimee Speaker
16,Jorie Moore
19,Juliana Jordan
22,Cody Kirkland
24,SAMANTHA LUI
26,Sheliemae Reyes
27,NICK MINYEN
32,Luke Sanford
34,Emily Baker
47,Dena Elimelech
77,Auralee Walmer
80,Micah Blazar
94,Zachary Spidell
b,r,e,a,k
Blackbird
02,Corey Lee
03,Castle Sinicrope
04,Deanna Bjorkquist
05,Thomas Hendrickson
06,Scott Mahr
07,Rachel Holz
09,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Lauren Casey
12,Casey Ikeda
13,Sally Mimms
14,Mia Smucny
17,William Finn
21,ADAM SCOW
22,NICHOLAS SLOVAN
23,Remy Schor
24,Daniel Daniel Gillick
28,Sheeva Slovan
29,VY Chow
30,Megan Schoellhamer
40,Mac Taylor
42,Jeremy Norden
51,Ryan Scribner
64,Justin Norden
99,Tim Gilligan
b,r,e,a,k
Donuts
0,Jeffrey Voss
03,Davin Lyons
04,Daniel East
05,Alexandra Taipale
07,Audrey Lyman
08,Adam Koren
10,Alexander Morris
13,MICHAEL LOPEZ
14,Anjile An
17,Claudia Arquero
19,Phoebe Hopp
20,Sarinah Samsudin
23,Nikki Chang
24,Margaret Rosano
26,KENDRA CONRAD
27,Danielle Gendron
28,Stephanie Pritchard
29,Alexander Mitra
30,Grant Farrington
32,Eric Richardson
33,Donnya Ajdari
37,Daniel Zakaria
55,Kwai Philpott
65,Erik Urban
77,Alec Surmani
88,Bill Liu
b,r,e,a,k
Rubix
01,Ryan Bleam
02,PATRICK FRANCIA
03,Kylie Capite
04,JEREMY EMERY
05,Dakota Lippincott
07,Alan Bowers
08,Aaron Harczynski
09,Brett Carr
10,Alex Wendt
12,Cole Cairl
13,Adam Carberry
14,Dan Brauch
16,Samantha Myland
17,Erin Donahue
19,Mariana Lopes
20,Maressa Mistretta
21,Tim Camper
22,Lindsey Doyle
24,GREG SCALIA
25,Kate Cairl
29,Mike  Hall
30,Anthony Acer
32,HUNTER YOUNG
33,Kaetlynn Daoust
34,Trevor Smith
37,John Barber
40,Breanna Bryant
b,r,e,a,k
American Barbecue
00,Maxwell Friedmann
00,Kevin Manss
00,Teresa Feng
00,LYUDA GRIGORIEVA
00,Nicholas Murphy
00,Dan Parker
00,Brandon Kwock
00,Katrina Kalantar
00,GRACE LAIDLAW
00,Molica Anderson
00,KEVIN AHA
00,THOMAS LASSETTER
00,Nicholas Weiss
00,Georgia Tse
00,Kyle Smith
00,Caroline Loh
00,Patricia Anderson
00,Alex Pien
00,Philip Chang
00,ALLISON FINK
00,Jason Seidler
00,Robert Bruggner
00,Jessalyn Siu
00,Cory Fauver
00,JACK MOXON
00,Noel Arsenault
b,r,e,a,k
Alchemy
0,Nami Sumida
02,Crystal Alton
03,Jeffro Valeros
04,Elizabeth Leon
05,Evan Hoyt
06,Kristina Geddert
07,Emily Paris
09,Jennifer Pashley
10,Simon Margolis
11,Claire Leichter
12,Jeff Grobe
13,Brett Naul
20,Eric Hartge
21,Jesse White
22,EDWARD PARSONS
23,Sylvia Liang
26,Daniel Keller
27,CHASE BOWMAN
32,Damian Park
33,Kyle McBard
35,Ashley Blackshore
40,Michelle Levinson
44,Alexander Lloyd-Evans
51,Brandon Tomlin
54,Nick Riker
75,Riley O'Neill
99,Amanda Karakoudas
b,r,e,a,k
Long Beach Legacy
 ,Justin Reinhardt
 ,Brianna Harris
 ,RACHEL SMITH
 ,Emily Harrington
 ,RYAN Vermilion
 ,ASHLEY Landry
 ,DANIEL LANDRY
 ,ARMAND DEBOSE
 ,NICK SAUER
 ,Enrique Carranza
 ,Ivana Monson
 ,Douglas Wolf
 ,RYAN LEPORE
 ,RORY COHEN
 ,Zach Theodore
00,Jacob Baumer
00,YVETTE  HERZFELD
06,Sarah Davisson
44,Daniel Davisson
b,r,e,a,k
7 Figures
0,Alyssa Perez
01,Peter Zhou
02,Daniel Oettinger
03,Brian Zid
04,Gary Molano
05,Joe Forbes
06,Shereen Rabie
