TCT Pro Flight Finale 2016 (Cascadia Classic),Club - Men ,20,8,2016
Sub Zero
 ,Ben Feldman
 ,Josh Klane
 ,Grayson Pangburn
0,Benjamin Jagt
0,Matt Burkhardt
0,Ethan Rasmussen
0,Anthony Poletto
0,Eric von Kampen
0,Ryan Osgar
0,Jason Tschida
0,CONOR KLINE
0,Nicholas Vogt
0,Tristan Van De Moortele
13,Colin Berry
14,Gregory Cousins
15,Logan Weiss
18,Brandon Haus
22,Renante onlayao
32,Sam Hammar
48,Wyatt Mekler
61,Brandon Matis
71,Nicholas Simonelli
77,Elliot Trotter
78,Harper Garvey
81,Cole Wallin
88,Patrick Jensen
b,r,e,a,k
Inception
0,Sandy Brown
01,Michael Kapoor
02,Andrew Priester
04,Jack Drumright
07,Kelly Moses
09,Dillon Whited
10,Joseph Anderson
11,Thomas Barry
12,Christopher Bonuel
12,Joe Emery
15,Gabe Goodhart
18,Mo Scott
21,Andrew Thompson
23,Vincent Ciaramitaro
24,STEPHEN GROSS
25,Gabe Stump
28,Joel Crandall
29,Andrew Larocque
30,Jonathan Stirk
31,John Dunlop
34,BRUCE TUSCHHOFF
36,Ryan Lacy
40,Samuel Hotaling
81,Dylan Salzman
87,Tim Hopp
88,Wil St. Charles
b,r,e,a,k
Doublewide
 ,Jeff Loskorn
 ,Michael Matthis
0,Jack Wooldridge
0,Andrew Amerson
0,Brandon Malecek
0,Luke Simerly
0,Jason Best
0,David Brooks
0,Jake Reinhardt
0,Doug Richardson
0,Andrew Lord
0,Brett Gramann
0,Parker Howard
0,Kamron Daftari
0,Jason Holleran
0,Paul Starkel
12,Andrew Walch
13,Matthew (Skip) Sewell
19,Ethan Pollack
20,Chase Cunningham
24,Rory Orloff
28,Daniel Emmons
52,John Walden
b,r,e,a,k
Rhino
00,Kristian Grobecker
01,Tyler Cable
02,Camden Allison-Hall
04,Kevin Minderhout
05,Peter Woodside
07,Eli Friedman
08,Benjamin Whitenack
09,Chris Hancock
10,Jacob Janin
11,Matt Melius
13,Timmy Perston
17,Raphael Hayes
20,James Shaw
21,Benjamin McGinn
22,Grant Cole
23,Xander Cuizon Tice
24,Eli Janin
27,Trevor Smith
30,Sam Franer
45,Robert Korbel
52,Christopher Vandervoort
55,Dylan Freechild
64,Leandro Marx
65,Topher Davis
67,Steven Rice
70,Christopher Strub
77,Brian Penner
b,r,e,a,k
Truck Stop
 ,Keven Moldenhauer
 ,Delrico Johnson
 ,David Cranston
 ,Bradley Scott
 ,Peter Prial
 ,Tom Doi
0,Sean Keegan
0,John Wodatch
0,Jacob Smith
0,Jackson Cochran
0,DANIEL KANTOR
11,Jonathan Neeley
15,Nathan Castine
16,Tyler Monroe
17,Eric Miner
21,John Agan
22,Brian Marshall
28,Matthew Rowan McDonnell
34,David Boylan-Kolchin
36,Nick Spiva
45,Jeff Wodatch
61,Erik Salmi
88,Calvin Oung
90,Markham Shofner
99,Alan Kolick
