Club Terminus 2017,Club - Men ,22,7,2017
Chain Lightning
00,Conor Brownell
00,Micah Jo
02,Austin Taylor
03,Matthew Knowles
04,Jaime Perez
08,Matthew Smith
09,Timothy Stapleton
10,Danny On
11,Kelvin Williams
13,Josh Turner
16,Anders Olsen
19,Stanley Birdsong
20,Joshua Bush
21,David Berendes
22,Sean Sears
22,Parker Bray
24,Christian Olsen
25,Sun Choi
27,Paul Lally
29,Sam Gainer
30,Martin Newman
32,Karl Staber
55,Blake Hannah
81,Joseph Burns
85,Evan Boecking
87,Trenton Spinks
b,r,e,a,k
BaNC
01,Adam Crews
02,Geffen Agasi
03,Andrew Hager
04,Danny Chao
05,DAVID CRESPI
06,Patrick McKendry
07,Nicholas Headden
10,Taylor Crotts
11,Adam Russell
12,Reid O'Brien
14,Kartik Sethuraman
15,Juan Castaneda
19,Benton Bailey
20,Joseph Chen
21,Nathan Silvestri
24,Cliff Totherow
27,Alex Berro
28,Andrew Gruninger
33,Samuel Lee
34,Daniel Lee
42,Dorian Barrier
50,MATTHEW HUYNH
80,Ari Livanos
99,George Bumgardner
b,r,e,a,k
Rush Hour
 ,Aaron Claytor
 ,Andrew Benton
 ,DANIEL  PRICE
 ,Zaki Durry
0,Richard Bragg
0,Andrew Harkins
0,Jacques Perivier
0,John Boezi
0,Kevin DeMarco
0,Kiran Potula
0,Chunghyun Kim
11,Jackson McHugh
12,Andrew Chung
13,David Egbert
14,Matt Wasson
15,Blake Michal
18,Zachary Hollis
19,Sean Finlay
25,Morgan choi
27,RYAN CROSS
27,Lucas Maurer
44,Michael Tillotson
50,Howard Tong
70,Robert Patten
77,Daniel Gempesaw
82,Michael Price
99,WILLIAM NALLEY
b,r,e,a,k
Shrimp Boat
0,Avery Van Brussel
0,Carlito Que
0,Connor Howell
0,Daniel Miller
0,Driss Ziane
0,Dylan Claerbout
0,Gabe Azarcon
0,Jeremy Christian Stowers
0,Michael Green
0,Riley Robertson
0,Robert Larsen
0,Ryan Coker
0,Zane Barber
b,r,e,a,k
Florida United
02,Jeremy Langdon
04,Bradley Seuntjens
05,Michael Fairley
06,Michael Fioramonti
07,Ryan Hiser
08,Tyler Kunsa
09,Bobby Ley
11,Mischa Freystaetter
12,Travis Catron
13,Alton Gaines
15,Dustin Travaglini
18,Chris LaRocque
23,Billy O'Bryan
28,Josh McKisic
30,Chris Gibson
31,Andrew McKelvey
32,Brian Casey
33,Mark Lin
36,Stephen  Muir
37,Peter van de Burgt
39,Jordan Huston
75,Ryan Chard
89,Cardinal Clarke
b,r,e,a,k
Cerberus
 ,Conner Stoll
 ,Ashwin Anantharaman
 ,Brandon Chen
 ,Brandon Li
0,Chidike Iromuanya
0,David William Petmecky
0,Foster Boales
0,Hunter Cutts
0,Jeffrey Minowa
0,Jim Heneghan
0,Jon Ross Ingley
0,Jordan Hill
0,JORDAN MCGHEE
0,Kyle Devins
0,Logan Bonds
0,Luke Willis
0,Nate Washington
0,Neal Raines
0,Nicholas Chen
0,Noah Li
0,Olivier Poulin
0,Patrick Trent
0,Sam Batson
0,Victor Pria
0,Vinny Nguyen
0,William Syre
b,r,e,a,k
Kentucky Flying Circus
 ,Chris Gallagher
 ,Curtis Pederson
 ,Dan Cunningham
 ,Ian Mack
 ,LOGAN HYMAN
 ,Luke Byron
 ,Trevor Gingrich
0,Xavier Payne
0,Benjamin Petrey
0,Stephen Hendrickson
0,Jonathan Rosen
0,Kane Olson
0,Evan Mack
0,Chris Ginet
0,Corey Hardesty
b,r,e,a,k
H.O.G. Ultimate
0,Logan Ogletree
01,Jeffrey Oravic
02,Andrew Coats
04,Christopher Tucker
05,Rusty Watson
06,Galen Ramsey
07,AARON FOWLER
08,David Kandler
09,Parker Rhinehart
10,Samuel Sumner
11,Stephen Cook
12,Jake Boothby
14,Jonathan Spencer
17,Jerome Jackson
18,Thai-Binh Le
20,Sean Kelley
22,Caleb Myatt
23,Matthew Cook
24,Elliott Park
25,Naomi Anderson
30,Hal Robinson
31,Kyle Tolbert
35,Will Flournoy
37,Caleb Posey
40,Nigel Hagley
42,Ryan Thompson
44,Will Burke
b,r,e,a,k
Cash Crop
 ,Chathan Driehuys
 ,Conor Chickos
 ,Danny Schmitt
 ,David Jones
 ,Jacob Mouw
 ,Jesse Kovacs
 ,John Watters
 ,Johnnie Lynch
 ,Kevin Lin
 ,Andrew Cohen
 ,Rashaad Saunders
 ,Taek Lee
 ,Thomas Williams
 ,Vikram Sethuraman
0,Rhys Gretsch
0,Spencer Beck
0,Andrew Mouw
0,Aaron Coble
0,Alex (Evan) Grosskurth
14,Kiron Allen
b,r,e,a,k
Chattanooga Gentlemen's Club 
0,Aaron Hazen
0,Andrew Mauroner
0,Brian Newsom
0,Bryan Sandidge
0,Clay Thomas
0,Corey Foster
0,Craig Wong
0,DANIEL EHRIG
0,GEORGE STANFORD
0,Jared Trevor
0,Jason Raymond
0,Jason Cass
0,Josh Johnson
0,Mathew Taylor
0,Matthew Smith
0,Matthew Miller
0,Nicholas Baldwin
0,Nicholas Whiteaker
0,Peter Vongsayarath
0,Phil Mantel
0,Roger King
19,Torre Hargett
b,r,e,a,k
Bullet
0,Adam Burgess
0,Andrew Francis
0,Andrew Fortier
0,Blaine Brown
0,Charles Loudermilk
0,Charles Robertson
0,Cole Flournoy
0,Dylan Whalen
0,Fernando Ortiz
0,Henry Laseter
0,Ian Agnew
0,James ONeal (Neal) Hollis
0,Kellen Gray
0,Madison Head
0,Matthew Caldwell
0,Mike McGinnis
0,Norman Cherry
0,Ross Barnes
0,Ryan Murphy
0,Sam Diffin
0,Samuel Trent
0,Scott Main
0,William Lindquist
25,Robert Hunt
b,r,e,a,k
ATLiens
0,Kendel Ridley
01,Jay Burnett
05,Bryson Levisay
06,Aidan Downey
07,Luke Smith
08,Krishan Chib
09,Miles Pearlstein
10,Travis Terrell
11,Matthew Shu
12,Jaden Medley-Fowlkes
17,Hayden Austin-Knab
20,Brian Hazelwood
21,Coleman Tappero
24,CHASE KLEBER
25,Evan Mapes
28,Mack Hodges
33,Drew Di Francesco
55,Sam Smith
72,Matthew Dacey-Koo
77,Govindan Veliyath
98,Wyatt Maher
b,r,e,a,k
Turbine
 ,Alex Taylor
 ,Charlie Muniz
 ,Matthew Rushing
0,Michael Avila
0,Nicholas Redmond
0,Player Pierce
0,Christian Forde
0,Jonathan Callahan
0,Brad Ward
0,Clayton Carey
0,Davis Mossman
0,Jacob McGoogan
0,Jeff Wiltgen
0,Jericho Barbour
0,Sean Stasiak
0,Tanner Barcus
0,Timothy Glover
0,Troy Miller
13,CJ Colicchio
17,Schuyler Kylstra
21,Cam Bellando
33,Jesse Lieberman
71,Clint McSherry
72,Benjamin Landry
80,Benj Thomsen
81,Michael Ball
b,r,e,a,k
Holy City Heathens
 ,Robert OBrien
 ,Mike Sasko
 ,Robert Nadeau
 ,Ziv Agasi
0,Brian Shonka
0,Jacob McCormick
03,Asa Julien
09,Mason Huebsch
10,Jonathon Chears
11,Hunter Nadeau
13,Max Streeter
15,Jonah Price
17,Matthew Hajek
18,Oddom Vong
21,E.C. Gibbs
22,William Swan
26,Ryan Pennell
27,Vincent James
28,Michael Baer
40,Michael Johnson
41,Mike Bordner
65,THOMAS SUGGS
85,Bernard Kendall
88,Michael Cox
b,r,e,a,k
Lost Boys
0,Adam Bailey
0,Alexander Cartledge
0,Andrew Brownlow
0,Andrew Perham
0,Brett Egger
0,Bryan Kohut
0,Christian Gaeta
0,Chuck Turner
0,Devin Waldrop
0,Devon Rogers
0,Dillon Denson
0,Hunter Hamvas
0,Jacob Evans
0,Joel Wooten
0,John Bonas
0,Jonhenry Allen
0,Joshua Wilson
0,Kenneth Peters
0,Lucas Tarnowski
0,Lucas Denson
0,Marshall Walker
0,Robert Huffman
0,Robert Locke
0,Robert Perry
0,Thomas Loar
0,Tom McGinley
0,Zach Mills
b,r,e,a,k
War Machine
0,Andrew Byers
0,Cameron Givianpour
0,Cody Dougherty
0,Fletcher Hare
0,Frank Cade
0,Immanuel drew
0,Jacob Lipford
0,Jacob Helf
0,Jacob Meredith
0,Jake Perkins
0,Jordan Quinn
0,JUSTIN THIGPEN
0,Landon Baker
0,Mac Harris
