Great Lakes D-III College Men's Regionals,College - Men ,27,4,2019
Knox
00,Mark Greaves
02,Ezra Schley
03,Alec  Auston
05,Joel Willison
06,August Lindberg
08,Ibrahim Sakrani
10,Aditya Siddharth
11,Dan Briggs
13,Garrett Trimble
14,Luis Borrero
15,Esteban Lopez
17,Charles Mennerick
18,Dmitri Chambers
19,Evan Economos
21,Jonathan Schrag
22,Isaac Hughes
24,Alexander Hegg
25,David Zavala
27,Jack Harman
29,Akash Patel
30,Fernando Medrano
37,An Ly Nguyen
38,Peter Driscoll
44,Robin Thompson
48,Aldo Portillo
63,Alan Gallo
64,Christopher Wong
66,Lake Luthy
81,Sam Beem
89,Connor Weeks
97,Benjamin Rutter
b,r,e,a,k
North Park
 ,Daniel Dwight
 ,Jack Redding
 ,Jun Seok  Chun
 ,Nathan Werling
 ,Ryan Almer
 ,Trent Cairns
0,Noah Swanson
10,Gavin Johnson
11,Andrew Kim
12,Justus Jagodzinske
13,Cory Wallace
19,Joshua Crozier
19,Derek Johnson
22,Benjamin Horstman
26,Isaac Torres
28,Noah Whitney
38,Justin Tuell
47,Payton Walles
88,Jonathan Madera
99,Joel Beyar
b,r,e,a,k
Valparaiso
 ,Benjamin Ratschan
 ,David-Paul Schulze
 ,James Rolland
 ,Kade  Kovarik
 ,Noah Niesen
 ,Tanner Lee Gesell
0,Braden Updike
11,Reid Gleason
12,Timothy Carpenter
17,Adam Albertin
21,Scott Stonis
23,Michael Boyajian
24,Adam Scheuman
24,Brian Barrett
28,Brian Schmit
34,John Readdy
37,Mike  Soldan
39,Nathaniel DeGoede
44,Samuel Rookstool
48,Vincent Leonard
63,Francisco Vazquez
97,Isaac Jauch
99,Kyle Langreck
b,r,e,a,k
Eastern Illinois
 ,Alek McMath
 ,Daniel Peterson
 ,Eli Ruter
 ,Nolan Webb
0,Samuel Damon
0,Jacob Lowe
0,Michael Barnes
0,Fisher Overstreet
0,Ben Nerad
0,Blake Eggleston
0,Craig Roberts
10,Tyler Rice
12,Jacob Jurasek
14,James Porzio
26,Tye Auton
40,Nicholas Bamert
46,Patrick Brady
59,Garrett Gerdes
b,r,e,a,k
Butler
 ,Matthew Dickett
0,Thomas Pierce
0,Toran Thompson
0,Aaron Conde
0,Dillon O'Donovan
0,Harry Winter
0,Jack Miller
0,Jonathan Courts
11,Sean Thomas
12,Richard Ware
16,Harrison Hensel
20,Robert Campbell
24,Alan Field
34,Ethan  Cunningham
48,Brendan Kelly
89,Colin Meade
99,Benjamin Rempfer
b,r,e,a,k
Wheaton (Illinois)
02,Carlson Chiles
05,Johnny Humphrey
06,Joel Armstrong
07,Grayson McCoy
08,Erik Ostrem
10,Ethan Fong
11,Donovan Gleeson
12,Ryan Jacobsen
13,Andrew Backer
15,Chris Eaker
16,Nathaniel Van Eeckhout
17,John Bayer
20,Will Huffman
