Nucci's Cup 2019,Club - Mixed ,10,8,2019
Farm Show
 ,Adam Callaghan
 ,Bradley Dussinger
 ,Corryn Vento
 ,Derek Bigley
 ,Jordan Roof
 ,Kristin Thomas
0,Tjia Ern Lau
0,Josiah Gamble
0,Hamilton Schlabach
0,Ian Preston
0,Jennifer Schlabach
0,Charis Wilcox
0,Bradley Wilcox
10,Matthew Stilley
11,Mitchell Lauer
13,Ashlynn Trimmer
15,Christopher Man
17,Kendra Smythe
18,Kerianne Durkin
19,Ruth Bigley
20,Timothy Holmes
22,Nicole Singiser
26,Angela Martin
43,Brianna Miranda
49,Jordan Winey
55,Kyle Bradley
94,Nate Harnish
b,r,e,a,k
Varsity
 ,Anna Lieberman
 ,Brittany Francis
 ,Justin Fabrikant
 ,Kevin Boyce
0,Ling Sun
0,Elizabeth Coe
0,Elizabeth Lee
0,Isabel Moroney
0,Jon Schlosberg
0,Carter Hartmann
0,Cullen MacDowell
0,Dana Miller
0,Abigail Cain
0,Sasinya Scott
0,Fia Hargil
0,Steven Homberg
10,Arleen Aguasvivas
12,Eri Okuma
17,Mark Popinchalk
23,Jordan Tippitt
27,PJ Niegsch
33,Matthew Delos Santos
33,Daniel Aronov
69,Adam Pin
89,Zachai Kalet-Schwartz
b,r,e,a,k
Stoke
0,Adora Zhang
0,Caroline Noone
0,Chris Schauble
0,Clerisse Lardieri
0,Daniel Arnold
0,Ben Crescenzo
0,Eric Lachance
0,Hannah Short
0,James Roop
0,Joseph Corcoran
0,Kaelyn  Cooper
0,Miriam Stein
0,Richard Barrett
0,Stephanie Coward
0,Tate Gugino
13,John Bocian
17,Nathaniel Hess
18,Sumi Onoe
19,Iris Wang
20,Austin Doucette
22,Ariana Bhatia
29,Calvin Green
36,Alison Joyce
42,Edwin Finley
45,Emily Smulowitz
72,Justin Creighton
b,r,e,a,k
Funk
 ,Caroline Turner
 ,Isaiah Casiano
 ,Katharine Bedrossian
 ,Kimsun Barber
 ,Victoria Robustello
0,Zachary Schiff
0,Jordan Acker
0,Justin Lamarche
0,Marisa Gargaro
0,Matthew Keegan
0,Mei Reffsin
0,Nicholas Rompala
0,Noam Fisherman
0,Olivia Ryder
0,Christina Pacella
0,Douglas Silverman
0,Gary Chasteen
10,Robert (Bobby) Owens
16,James  O'Connell
21,Briana Chanowitz
77,Meghan MacEnroe
80,Anthony Coppola
91,Ben Phillips
b,r,e,a,k
Farm Show,Varsity,12,8,"08/10/2019, 10:10"
Stoke,Funk,5,13,"08/10/2019, 11:50"
Stoke,Farm Show,9,10,"08/10/2019, 13:30"
Funk,Varsity,9,7,"08/10/2019, 13:30"
Stoke,Varsity,13,5,"08/10/2019, 15:10"
Farm Show,Funk,8,9,"08/10/2019, 15:10"
Funk,Stoke,12,13,"08/11/2019, 14:30"
Funk,Varsity,15,12,"08/11/2019, 12:30"
Farm Show,Stoke,7,12,"08/11/2019, 12:30"
Varsity,Farm Show,12,7,"08/11/2019, 02:30"
