North Central D-I College Men's Regionals,College - Men ,13,11,2021
Wisconsin
00,Andrew Paulson
00,Joe Leibforth
00,Luke  Youngdahl
00,Michael Yee
00,Nico Ranabhat
00,Noah Nicol
00,Oliver Walke
00,Oscar Felcan
00,Patrick LaVallee
00,Paul Mcallester
00,Pieran Robert
00,Mark Nelson
00,Ryan Yee
00,Saul Diaz
00,Stefan Caldararu
00,Thomas Walker
00,Zane Stein
01,Kevin Tan
04,Henry Goldenberg
19,Simon Brooks
22,Rami Paust
24,Jacob Wham
28,Harrison Bielski
32,Daniel Garlock
42,Maddox Hill
51,Matthew Grinde
66,Ted Schewe
71,Jake Rubin-Miller
b,r,e,a,k
Marquette
02,Brian Meyer
03,Robbie McChesney
04,Gabe Gonzalez
05,Vincent Ricciardi
06,Matthew Goetsch
08,Joseph Branca
11,Sean Bishop
14,Jackson Seltzer
16,Michael Donlin
20,Isaac  Shimek
23,Gunnar Thompson
25,Andrew Heffernan
27,Brendan Patnode
28,Kyle Reader
32,Kyle Pelan
39,Francis Nuguid
42,Zach Thompson
43,Tim Stirrat
80,JJ Mansour
84,Bruce Deal
85,John Wall
86,Alex Jenkins
87,David Castillo
95,Bryan Geenen
b,r,e,a,k
Carleton College
 ,Anders Shenholm
 ,Edwin Driver
 ,Michael Walsh
 ,Noah Hanson
 ,Robert Breyer
 ,Tim Jensen
 ,Tony Ngo
10,Elias Levey-Swain
12,Mauricio Badillo Moorman
12,Sam McCarty
13,Benjamin Preiss
14,Dillon Lanier
17,Elijah Babcock
19,Stanley Birdsong
21,Ethan Bloodworth
22,Austin Baxter
23,Alexander Kucich
24,Noah Cohen
25,Justin Washington
26,Ed Dowling
29,Jace Dean
30,Luke Webb
32,Andrew Roy
47,Sawyer  Blair
51,Jared Kannel
54,Michael Dreger
55,Leo Jordan
77,William Fleming
80,Conor Babcock O'Neill
81,Eric Wright
82,Will Troop
83,Adriel Barham
83,Colin Brown
84,Liam Holloway-Bidwell
84,Clay Haddock
89,Leo Xiao
92,Benjamin Scott-Lewis
95,George Lefkowicz
96,Cullen Baker
97,Adam Rothman
98,Bobby Eleveld
99,Daniel Chen
b,r,e,a,k
Wisconsin (B)
0,Aaron Zhu
0,Akhil Venkatesh
0,Benjamin Petersen
0,Brian Foran
0,Briar Putz
0,Cameron Stover
0,Cole Chambers
0,Derrick Houmey
0,Drake Miller III
0,Ethan Barsness
0,Haoyang Yan
0,James Quinn
0,John Derr
0,Jonathan Pizzo
0,Matthew Ruegsegger
0,Paul Scudder
0,Reid Watson
0,Ryan Mikol
0,Samuel Fronek
0,Simon Wu
0,Thomas Hotvedt
0,Yiran Li
42,Matthew Berkholtz
b,r,e,a,k
Minnesota
0,A.J. Larson
0,Alex Tsvetkov
0,Anthony Jirele
0,Austin King
0,Bela Konkoly
0,Brandon Macho
0,Charles Collinge
0,Dante Reminick
0,Drew Bonnabeau
0,Evan Ellis
0,Ian Mccosky
0,Ishaan Lukhey
0,Jack Walters-Medaris
0,Jackson Cade
0,John Helgeson
0,Joseph Pickens
0,Kenji Her
0,Levi Dohman
0,Matt Sweeney
0,Maximilian Dewberry
0,Noah Fogel
0,Owen Gin
0,Owen Schigiel
0,Paul Liang
0,Paul Krenik
0,Samuel Morris
0,Sebastian Brauer
0,Theo Mahaffey
b,r,e,a,k
Nebraska
0,Kameron Heyen
02,Isaac Cade
06,Matthew McMaster
07,Kellen Carney
07,Matt Glissmann
08,Zach Buhman
12,Ryan Dornbusch
13,Josh Sherer
14,Michael Kovash
15,Nich Rush
18,Jonathan Kaup
19,Josh Lickteig
21,Nolan Johnson
22,Kaden Perala
25,Noah Johnson
27,Alex Miller
28,Josh Kryzer
34,Joshua Adams
44,Zachary Martin
51,Dominic Vavala
52,Caleb Eiden
54,Eamon  Sughroue
55,Jacob Morrow
67,Nathan McCoy
69,Jia Yue Sum
85,Peyton Thurman
b,r,e,a,k
Iowa State
 ,Josh Poterack 
0,Stephen Mann
00,Michael Stevens
02,Daniel Neese
03,Collin Lamb
07,Andrew Grotenhuis
08,Joseph Kosterman
13,Evan Ford
14,Will Hager
15,Sam Stark
17,Jacob Raatz
19,Austin Lee
24,Zachary Lin
25,Chase Lemley
27,Wonsuk Jung
30,Becker Mathie
32,Matt Johnson
33,Peter Miller
36,Jackson Ferris
37,Jacob Thomae
39,Nate Cinnamon
41,Brian Goode
62,Justin  Hua
71,Dayton Wright
72,Thomas Glass
73,Jordan Wright
88,Benton Habel
99,Jacob Badger
b,r,e,a,k
Iowa
0,Tyler Barrett
02,Cole Polek
03,Ben Lange
04,Duncan Shay
05,Avery Bandstra
07,Nathan Bielecki
08,Luke Rubin
09,Joshua  Vierke
10,Robert Goode
11,Cade Zschiesche
12,Jason Chen
14,Cole Davis
17,Kaleb Owens
19,Michael (Max) Vinyon
20,Nick Culver
21,Ben Masterson
29,Luke Gnatkowski
30,Nolan Cochran
33,Ian Taylor
37,Greg Brock
52,Eric  Clifton
80,Nicholas Szimon
91,Thomas Helm
b,r,e,a,k
Wisconsin-Whitewater
 ,Bryan Husser
 ,Caden Grogan
 ,Calvin Newman
 ,Cooper Ehrgott
 ,Dylan Power
